qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|448245213|ref|YP_007392890.1|	338	921221331	WP_053166331	277	57.96	91	182	7e-51	1676617	hypothetical protein [Ralstonia sp. MD27]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia sp. MD27
0	gi|448245213|ref|YP_007392890.1|	338	502319134	WP_012762654	277	56.05	88	177	4e-49	329	hypothetical protein [Ralstonia pickettii]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia pickettii
0	gi|448245213|ref|YP_007392890.1|	338	948185462	WP_056843387	250	56.29	94	176	8e-49	1736268	hypothetical protein [Pseudomonas sp. Leaf129]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. Leaf129
0	gi|448245213|ref|YP_007392890.1|	338	740663925	WP_038449219	250	58.9	96	175	1e-48	1495331	hypothetical protein [Pseudomonas sp. WCS374]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. WCS374
0	gi|448245213|ref|YP_007392890.1|	338	1154090230	WP_078466881	250	58.9	96	175	2e-48	1960829	hypothetical protein [Pseudomonas sp. MF6394]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. MF6394
0	gi|448245213|ref|YP_007392890.1|	338	835977515	WP_047711384	250	58.9	96	175	2e-48	294	hypothetical protein [Pseudomonas fluorescens]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas fluorescens
0	gi|448245213|ref|YP_007392890.1|	338	734881207	WP_034127831	250	58.9	96	174	2e-48	294	hypothetical protein [Pseudomonas fluorescens]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas fluorescens
0	gi|448245213|ref|YP_007392890.1|	338	1051725677	WP_065936714	250	58.28	95	174	4e-48	1844102	hypothetical protein [Pseudomonas sp. 34 E 7]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. 34 E 7
0	gi|448245213|ref|YP_007392890.1|	338	939353776	WP_054899104	250	58.28	95	172	1e-47	1661052	hypothetical protein [Pseudomonas sp. NBRC 111137]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. NBRC 111137
0	gi|448245213|ref|YP_007392890.1|	338	984662049	WP_060765662	250	58.28	95	172	1e-47	294	hypothetical protein [Pseudomonas fluorescens]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas fluorescens
0	gi|448245213|ref|YP_007392890.1|	338	1051422360	WP_065887114	250	64.75	90	172	1e-47	1844101	hypothetical protein [Pseudomonas sp. 31 R 17]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. 31 R 17
0	gi|448245213|ref|YP_007392890.1|	338	817115567	WP_046488693	250	57.67	94	171	4e-47	76761	hypothetical protein [Pseudomonas veronii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas veronii
0	gi|448245213|ref|YP_007392890.1|	338	817112339	WP_046485566	250	63.31	88	169	1e-46	76761	hypothetical protein [Pseudomonas veronii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas veronii
0	gi|448245213|ref|YP_007392890.1|	338	1148849592	WP_077571981	249	53.7	87	168	5e-46	198620	hypothetical protein [Pseudomonas koreensis]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas koreensis
0	gi|448245213|ref|YP_007392890.1|	338	1222304317	WP_090357458	247	55.69	93	167	8e-46	1605838	hypothetical protein [Pseudomonas coleopterorum]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas coleopterorum
