qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|207270776|ref|YP_002261418.1|	430	1223449231	WP_091486979	417	45.06	187	337	4e-108	426703	PBSX family phage terminase large subunit [Alkalibacterium putridalgicola]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Alkalibacterium	Alkalibacterium putridalgicola
0	gi|207270776|ref|YP_002261418.1|	430	1223490851	WP_091528150	418	44.58	185	334	1e-106	753702	PBSX family phage terminase large subunit [Alkalibacterium subtropicum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Alkalibacterium	Alkalibacterium subtropicum
0	gi|207270776|ref|YP_002261418.1|	430	941701373	WP_055142794	423	44.81	190	327	9e-104	39492	PBSX family phage terminase large subunit [[Eubacterium] siraeum]	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium	[Eubacterium] siraeum
0	gi|207270776|ref|YP_002261418.1|	430	499663841	WP_011344575	420	44.53	183	320	4e-101	129958	PBSX family phage terminase large subunit [Carboxydothermus hydrogenoformans]	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Carboxydothermus	Carboxydothermus hydrogenoformans
0	gi|207270776|ref|YP_002261418.1|	430	754095006	WP_041734371	415	42.82	176	315	2e-99	1515	PBSX family phage terminase large subunit [Ruminiclostridium thermocellum]	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium	Ruminiclostridium thermocellum
0	gi|207270776|ref|YP_002261418.1|	430	1176878543	WP_082622499	415	42.75	177	315	3e-99	931533	PBSX family phage terminase large subunit [Lactobacillus saniviri]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus saniviri
0	gi|207270776|ref|YP_002261418.1|	430	1325656742	WP_101560410	426	42.51	176	314	6e-99	1376	PBSX family phage terminase large subunit [Aerococcus urinae]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus	Aerococcus urinae
0	gi|207270776|ref|YP_002261418.1|	430	490133225	WP_004033586	412	42.75	177	313	1e-98	97138	PBSX family phage terminase large subunit [Clostridium sp. ASF356]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. ASF356
0	gi|207270776|ref|YP_002261418.1|	430	1165738498	WP_079933434	424	42.58	178	313	1e-98	1926599	PBSX family phage terminase large subunit [Carboxydocella sp. ULO1]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XVI. Incertae Sedis	Carboxydocella	Carboxydocella sp. ULO1
0	gi|207270776|ref|YP_002261418.1|	430	953319213	WP_057979465	421	44.04	181	312	5e-98	908809	PBSX family phage terminase large subunit [Caloramator mitchellensis]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Caloramator	Caloramator mitchellensis
0	gi|207270776|ref|YP_002261418.1|	430	498451235	WP_010756744	431	42.49	181	312	5e-98	160454	PBSX family phage terminase large subunit [Enterococcus pallens]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus pallens
0	gi|207270776|ref|YP_002261418.1|	430	1175491527	WP_082034175	445	42.75	177	311	2e-97	1590652	PBSX family phage terminase large subunit [Cohnella kolymensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Cohnella	Cohnella kolymensis
0	gi|207270776|ref|YP_002261418.1|	430	1222678626	WP_090725293	437	44.93	186	310	2e-97	1884375	PBSX family phage terminase large subunit [Paenibacillus sp. PDC88]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus sp. PDC88
0	gi|207270776|ref|YP_002261418.1|	430	494210846	WP_007129567	415	43.03	182	310	3e-97	228574	PBSX family phage terminase large subunit [Paenibacillus lactis]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus lactis
0	gi|207270776|ref|YP_002261418.1|	430	1154748500	WP_078665693	422	42.72	176	310	4e-97	285110	PBSX family phage terminase large subunit [Carboxydocella sporoproducens]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XVI. Incertae Sedis	Carboxydocella	Carboxydocella sporoproducens
0	gi|207270776|ref|YP_002261418.1|	430	1330189342	WP_102364553	421	41.23	174	309	5e-97	1981510	PBSX family phage terminase large subunit [Monoglobus pectinilyticus]	Bacteria	Firmicutes	Clostridia	Clostridiales		Monoglobus	Monoglobus pectinilyticus
0	gi|207270776|ref|YP_002261418.1|	430	1207754280	WP_088109686	433	44.07	182	310	5e-97	1965545	PBSX family phage terminase large subunit [Tyzzerella sp. An114]	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Tyzzerella	Tyzzerella sp. An114
0	gi|207270776|ref|YP_002261418.1|	430	746158705	WP_039219220	419	42.11	176	308	8e-97	1542	PBSX family phage terminase large subunit [Clostridium novyi]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium novyi
0	gi|207270776|ref|YP_002261418.1|	430	746235423	WP_039283997	419	42.11	176	308	1e-96	1491	PBSX family phage terminase large subunit [Clostridium botulinum]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium botulinum
0	gi|207270776|ref|YP_002261418.1|	430	740750959	WP_038536243	414	41.69	173	308	2e-96	759620	PBSX family phage terminase large subunit [Weissella ceti]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Weissella	Weissella ceti
0	gi|207270776|ref|YP_002261418.1|	430	1214932378	WP_088935541	429	42.26	183	308	2e-96	1834178	PBSX family phage terminase large subunit [Enterococcus sp. 3H8_DIV0648]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus sp. 3H8_DIV0648
0	gi|207270776|ref|YP_002261418.1|	430	518108864	WP_019279072	419	41.87	175	307	2e-96	1491	PBSX family phage terminase large subunit [Clostridium botulinum]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium botulinum
0	gi|207270776|ref|YP_002261418.1|	430	503490760	WP_013725421	419	41.87	175	307	3e-96	1491	PBSX family phage terminase large subunit [Clostridium botulinum]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium botulinum
0	gi|207270776|ref|YP_002261418.1|	430	1203218349	WP_087677817	421	43.16	183	307	4e-96	218205	PBSX family phage terminase large subunit [Garciella nitratireducens]	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Garciella	Garciella nitratireducens
0	gi|207270776|ref|YP_002261418.1|	430	655939796	WP_028988040	412	42.35	180	306	6e-96	94009	PBSX family phage terminase large subunit [Thermicanus aegyptius]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillales Family X. Incertae Sedis	Thermicanus	Thermicanus aegyptius
0	gi|207270776|ref|YP_002261418.1|	430	1057302265	WP_068663652	445	43.55	179	307	6e-96	1850517	PBSX family phage terminase large subunit [Paenibacillus sp. 1ZS3-15]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus sp. 1ZS3-15
0	gi|207270776|ref|YP_002261418.1|	430	1196942405	WP_086372766	424	41.55	177	306	6e-96	1834180	PBSX family phage terminase large subunit [Enterococcus sp. 4E1_DIV0656]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus sp. 4E1_DIV0656
0	gi|207270776|ref|YP_002261418.1|	430	1039431527	WP_064795260	411	41.5	171	305	9e-96	1406	PBSX family phage terminase large subunit [Paenibacillus polymyxa]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus polymyxa
0	gi|207270776|ref|YP_002261418.1|	430	1325818568	WP_101699403	424	41.55	177	305	2e-95	2057791	PBSX family phage terminase large subunit [Enterococcus sp. CR-Ec1]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus sp. CR-Ec1
0	gi|207270776|ref|YP_002261418.1|	430	1200137052	WP_087570403	445	42.75	177	305	3e-95	302980	terminase [Paenibacillus sp. MY03]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus sp. MY03
0	gi|207270776|ref|YP_002261418.1|	430	1316763794	WP_101353476	446	42.65	177	305	5e-95	1707093	PBSX family phage terminase large subunit [Bacillus sp. 7578-1]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus camelliae
