qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|9627508|ref|NP_042032.1|	133	446854659	WP_000931915	133	99.25	132	270	3e-90	543	MULTISPECIES: protein gop [Enterobacteriaceae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		
0	gi|9627508|ref|NP_042032.1|	133	693081715	WP_032243533	133	98.5	131	268	9e-90	562	protein gop [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|9627508|ref|NP_042032.1|	133	1261175803	WP_097738304	133	98.5	131	268	1e-89	562	protein gop [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|9627508|ref|NP_042032.1|	133	1183855815	WP_085046996	133	96.24	128	262	4e-87	28141	protein gop [Cronobacter sakazakii]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter	Cronobacter sakazakii
0	gi|9627508|ref|NP_042032.1|	133	779886955	WP_045364804	133	93.23	124	254	5e-84	548	protein gop [Klebsiella aerogenes]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella aerogenes
0	gi|9627508|ref|NP_042032.1|	133	1043353903	WP_065369977	133	92.48	123	253	1e-83	1158459	protein gop [Kosakonia sacchari]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Kosakonia	Kosakonia sacchari
0	gi|9627508|ref|NP_042032.1|	133	746291652	WP_039338848	135	90.23	120	245	1e-80	66269	protein gop [Pantoea stewartii]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Pantoea stewartii
0	gi|9627508|ref|NP_042032.1|	133	1028125813	WP_063878217	133	90.23	120	245	1e-80	1835724	hypothetical protein [Pantoea sp. OXWO6B1]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Pantoea sp. OXWO6B1
0	gi|9627508|ref|NP_042032.1|	133	938516394	WP_054634572	135	89.47	119	245	2e-80	66269	hypothetical protein [Pantoea stewartii]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Pantoea stewartii
0	gi|9627508|ref|NP_042032.1|	133	685315785	WP_031617196	126	62.41	83	173	2e-52	28901	hypothetical protein [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|9627508|ref|NP_042032.1|	133	1016957459	WP_063157511	126	62.41	83	173	2e-52	550	hypothetical protein [Enterobacter cloacae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter cloacae
0	gi|9627508|ref|NP_042032.1|	133	1154867102	WP_078774331	126	62.41	83	172	5e-52	299767	protein gop [Enterobacter ludwigii]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter ludwigii
0	gi|9627508|ref|NP_042032.1|	133	950816244	WP_057519996	126	61.65	82	172	6e-52	28901	hypothetical protein [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|9627508|ref|NP_042032.1|	133	1112923870	WP_071994595	126	61.65	82	171	2e-51	573	protein gop [Klebsiella pneumoniae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
0	gi|9627508|ref|NP_042032.1|	133	1103709554	WP_071672265	126	61.65	82	171	2e-51	28901	protein gop [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|9627508|ref|NP_042032.1|	133	1231913446	WP_094461034	126	62.79	81	170	3e-51	615	protein gop [Serratia marcescens]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia	Serratia marcescens
0	gi|9627508|ref|NP_042032.1|	133	1180745932	WP_084228314	126	60.9	81	168	3e-50	73010	protein gop [Aeromonas encheleia]	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas encheleia
0	gi|9627508|ref|NP_042032.1|	133	640683000	WP_025107475	126	59.4	79	167	4e-50	1134687	protein gop [Klebsiella michiganensis]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella michiganensis
0	gi|9627508|ref|NP_042032.1|	133	505737134	WP_015698806	137	48.12	64	137	4e-38	34038	protein gop [Rahnella aquatilis]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Rahnella	Rahnella aquatilis
0	gi|9627508|ref|NP_042032.1|	133	972252541	WP_058959172	111	40.16	51	103	3e-25	1560357	hypothetical protein [Type-E symbiont of Plautia stali]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		Type-E symbiont of Plautia stali
0	gi|9627508|ref|NP_042032.1|	133	503352108	WP_013586769	141	34.78	48	100	8e-24	640510	hypothetical protein [Burkholderia sp. CCGE1001]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia sp. CCGE1001
0	gi|9627508|ref|NP_042032.1|	133	1210307115	WP_088495692	106	38.52	47	95.9	3e-22	584	hypothetical protein [Proteus mirabilis]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Proteus	Proteus mirabilis
0	gi|9627509|ref|NP_042033.1|	355	485730042	WP_001357996	355	100	355	729	0	543	MULTISPECIES: hypothetical protein [Enterobacteriaceae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		
0	gi|9627509|ref|NP_042033.1|	355	1261147151	WP_097724490	355	99.72	354	729	0	562	protein beta [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|9627509|ref|NP_042033.1|	355	1120404541	WP_073267932	355	99.72	354	728	0	562	protein beta [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|9627509|ref|NP_042033.1|	355	1015887135	WP_062863604	355	99.72	354	728	0	562	protein beta [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|9627509|ref|NP_042033.1|	355	1261161850	WP_097731973	348	100	348	715	0	562	protein beta, partial [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|9627509|ref|NP_042033.1|	355	779886960	WP_045364807	355	94.08	334	699	0	548	protein beta [Klebsiella aerogenes]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella aerogenes
0	gi|9627509|ref|NP_042033.1|	355	746291653	WP_039338849	355	93.52	332	695	0	66269	protein beta [Pantoea stewartii]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Pantoea stewartii
0	gi|9627509|ref|NP_042033.1|	355	1043353902	WP_065369976	355	92.68	329	692	0	1158459	protein beta [Kosakonia sacchari]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Kosakonia	Kosakonia sacchari
0	gi|9627509|ref|NP_042033.1|	355	1028125812	WP_063878216	355	91.83	326	688	0	1835724	protein beta [Pantoea sp. OXWO6B1]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Pantoea sp. OXWO6B1
0	gi|9627509|ref|NP_042033.1|	355	487391691	WP_001662949	328	100	328	674	0	562	beta family protein, partial [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|9627509|ref|NP_042033.1|	355	1112923869	WP_071994594	354	74.72	263	568	0	573	protein beta [Klebsiella pneumoniae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
0	gi|9627509|ref|NP_042033.1|	355	1114435306	WP_072072016	354	74.72	263	568	0	573	protein beta [Klebsiella pneumoniae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
