qgi	qlen	sgi	sacc	slen	pident	nident	bitscore	evalue	staxids	superkingdom	phylum	class	order	family	genus	species	queryDesc	hostTaxid	hostInfo	condensedHostInfo	hostSpecies	virusTaxid	virusInfo	hitProtDesc	hitOrgDesc	numberOfProteins	numberOfHomologousProteins	fractionOfHomologousProteins
gi|388570799|ref|YP_006383782.1|	150	1279558080	WP_100138870	135	46.04	64	115.0	1.0000000000000001e-29	1196083	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Snodgrassella	Snodgrassella alvi	hypothetical protein	470	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae Acinetobacter Acinetobacter calcoaceticus/baumannii complex Acinetobacter baumannii	Proteobacteria Gammaproteobacteria Pseudomonadales	Acinetobacter baumannii	1187128	Acinetobacter bacteriophage AP22	DUF4054 domain-containing protein	Snodgrassella alvi	89	54	0.6067415730337079
gi|388570807|ref|YP_006383790.1|	487	1279574597	WP_100152575	488	45.79	223	432.0	1.9999999999999992e-143	1196083	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Snodgrassella	Snodgrassella alvi	conserved hypothetical protein	470	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae Acinetobacter Acinetobacter calcoaceticus/baumannii complex Acinetobacter baumannii	Proteobacteria Gammaproteobacteria Pseudomonadales	Acinetobacter baumannii	1187128	Acinetobacter bacteriophage AP22	DUF3383 domain-containing protein	Snodgrassella alvi	89	54	0.6067415730337079
gi|388570819|ref|YP_006383802.1|	208	1181279324	WP_084585042	210	50.24	105	208.0	8.999999999999999e-64	1196083	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Snodgrassella	Snodgrassella alvi	hypothetical protein	470	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae Acinetobacter Acinetobacter calcoaceticus/baumannii complex Acinetobacter baumannii	Proteobacteria Gammaproteobacteria Pseudomonadales	Acinetobacter baumannii	1187128	Acinetobacter bacteriophage AP22	DUF2612 domain-containing protein	Snodgrassella alvi	89	54	0.6067415730337079
gi|388570843|ref|YP_006383826.1|	248	1132217737	WP_075886996	252	43.19	111	190.0	2e-55	470	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii	hypothetical protein	470	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae Acinetobacter Acinetobacter calcoaceticus/baumannii complex Acinetobacter baumannii	Proteobacteria Gammaproteobacteria Pseudomonadales	Acinetobacter baumannii	1187128	Acinetobacter bacteriophage AP22	helix-turn-helix domain-containing protein	Acinetobacter baumannii	89	54	0.6067415730337079
gi|326536265|ref|YP_004300706.1|	113	914345622	WP_050581653	111	55.45	56	117.0	6e-31	470	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii	hypothetical protein Acj133p125	40214	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae Acinetobacter Acinetobacter johnsonii	Proteobacteria Gammaproteobacteria Pseudomonadales	Acinetobacter johnsonii	279006	Acinetobacter phage 133	DUF3307 domain-containing protein	Acinetobacter baumannii	257	114	0.44357976653696496
gi|326536289|ref|YP_004300730.1|	223	1122786480	WP_074146442	237	31.9	74	101.0	3.9999999999999997e-22	1496	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile	hypothetical protein Acj133p149	40214	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae Acinetobacter Acinetobacter johnsonii	Proteobacteria Gammaproteobacteria Pseudomonadales	Acinetobacter johnsonii	279006	Acinetobacter phage 133	deoxynucleoside monophosphate kinase	Clostridioides difficile	257	114	0.44357976653696496
gi|326536328|ref|YP_004300769.1|	55	506501803	WP_015969346	55	58.18	32	73.9	9.999999999999999e-16	1396	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus	UvsY.-2 conserved hypothetical protein	40214	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae Acinetobacter Acinetobacter johnsonii	Proteobacteria Gammaproteobacteria Pseudomonadales	Acinetobacter johnsonii	279006	Acinetobacter phage 133	DUF2685 domain-containing protein	Bacillus cereus	257	114	0.44357976653696496
gi|326536372|ref|YP_004300813.1|	115	1167889612	WP_080181535	108	54.55	54	109.0	9e-28	28901	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	NrdA.1 conserved hypothetical protein	40214	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae Acinetobacter Acinetobacter johnsonii	Proteobacteria Gammaproteobacteria Pseudomonadales	Acinetobacter johnsonii	279006	Acinetobacter phage 133	DUF4326 domain-containing protein	Salmonella enterica	257	114	0.44357976653696496
gi|509141277|ref|YP_008060150.1|	311	506600375	WP_016064814	264	46.48	119	242.0	1e-74	80865	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Delftia		hypothetical protein AB3_0018	470	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae Acinetobacter Acinetobacter calcoaceticus/baumannii complex Acinetobacter baumannii	Proteobacteria Gammaproteobacteria Pseudomonadales	Acinetobacter baumannii	1273713	Acinetobacter phage AB3	MULTISPECIES: constituent protein	Delftia	29	17	0.5862068965517241
gi|509139331|ref|YP_008058224.1|	311	506600375	WP_016064814	264	47.39	118	241.0	2e-74	80865	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Delftia		hypothetical protein Abp1_0032	470	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae Acinetobacter Acinetobacter calcoaceticus/baumannii complex Acinetobacter baumannii	Proteobacteria Gammaproteobacteria Pseudomonadales	Acinetobacter baumannii	1235824	Acinetobacter phage Abp1	MULTISPECIES: constituent protein	Delftia	54	25	0.462962962962963
