qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|431809858|ref|YP_007236747.1|	206	1054726113	WP_066491627	206	65.87	137	279	1e-91	1385592	hypothetical protein [Burkholderia sp. BDU8]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia sp. BDU8
0	gi|431809858|ref|YP_007236747.1|	206	1222790318	WP_090835482	192	50.72	106	186	3e-55	169430	hypothetical protein [Paraburkholderia hospita]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	Paraburkholderia hospita
0	gi|431809858|ref|YP_007236747.1|	206	1333916211	WP_103018142	213	36.62	78	127	3e-32	179636	hypothetical protein [Alicycliphilus denitrificans]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Alicycliphilus	Alicycliphilus denitrificans
0	gi|431809858|ref|YP_007236747.1|	206	759878552	WP_043565285	189	38.22	73	117	5e-29	358220	hypothetical protein [Acidovorax sp. KKS102]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. KKS102
0	gi|431809858|ref|YP_007236747.1|	206	947760458	WP_056422386	191	36.65	70	110	3e-26	1736240	hypothetical protein [Acidovorax sp. Leaf84]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. Leaf84
0	gi|431809859|ref|YP_007236748.1|	501	497807169	WP_010121353	472	44.95	98	140	9e-33	342113	hypothetical protein [Burkholderia oklahomensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia oklahomensis
0	gi|431809859|ref|YP_007236748.1|	501	1061931659	WP_069237767	378	62.86	66	137	2e-32	101571	hypothetical protein [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|431809859|ref|YP_007236748.1|	501	913695942	WP_050451583	214	58.43	52	105	2e-22	242163	hypothetical protein [Candidatus Burkholderia verschuerenii]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Candidatus Burkholderia verschuerenii
0	gi|431809859|ref|YP_007236748.1|	501	916617114	WP_051224205	217	58.43	52	105	3e-22	252970	hypothetical protein [Paraburkholderia phenoliruptrix]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	Paraburkholderia phenoliruptrix
0	gi|431809859|ref|YP_007236748.1|	501	1224047859	WP_092077716	191	55.68	49	102	2e-21	1855320	hypothetical protein [Bradyrhizobium sp. R5]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. R5
0	gi|431809859|ref|YP_007236748.1|	501	917565139	WP_052160529	159	48.18	53	99.8	8e-21	287	hypothetical protein [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|431809859|ref|YP_007236748.1|	501	489222541	WP_003130970	159	48.18	53	99.4	1e-20	287	hypothetical protein [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|431809859|ref|YP_007236748.1|	501	518511049	WP_019681256	157	45.45	50	96.3	1e-19	287	hypothetical protein [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
