qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|448259946|ref|YP_007237323.1|	918	1122786325	WP_074146350	725	25.72	98	110	2e-21	1496	hypothetical protein [Clostridioides difficile]	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
0	gi|448259946|ref|YP_007237323.1|	918	1296597415	WP_100771378	725	25.72	98	109	6e-21	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|448259946|ref|YP_007237323.1|	918	1167889684	WP_080181602	725	25.72	98	108	6e-21	28901	hypothetical protein [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|448259946|ref|YP_007237323.1|	918	1208946742	WP_088209800	725	24.93	95	107	2e-20	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|448259946|ref|YP_007237323.1|	918	640401610	WP_024892447	762	25.89	102	104	1e-19	930	ATP-binding protein [Acidithiobacillus thiooxidans]	Bacteria	Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus thiooxidans
0	gi|448259946|ref|YP_007237323.1|	918	1160786814	WP_079638720	656	29.96	71	94.4	2e-16	1507287	hypothetical protein [Sphingopyxis flava]	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	Sphingopyxis flava
0	gi|448259946|ref|YP_007237323.1|	918	983583808	WP_060733666	802	26.83	99	86.7	7e-14	95486	ATP-binding protein [Burkholderia cenocepacia]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia cenocepacia
0	gi|448259946|ref|YP_007237323.1|	918	1222655058	WP_090702921	716	30.04	70	84.3	3e-13	1882748	ATP-binding protein [Beijerinckia sp. 28-YEA-48]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Beijerinckia	Beijerinckia sp. 28-YEA-48
0	gi|448259946|ref|YP_007237323.1|	918	739644786	WP_037500606	712	30.21	71	79.3	1e-11	392409	ATP-binding protein [Sphingomonas jaspsi]	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas jaspsi
0	gi|448259946|ref|YP_007237323.1|	918	1160743855	WP_079602466	712	30.92	77	77.4	5e-11	1437360	hypothetical protein [Bradyrhizobium erythrophlei]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium erythrophlei
0	gi|448259947|ref|YP_007237324.1|	520	1208946743	WP_088209801	312	37	84	160	6e-41	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|448259947|ref|YP_007237324.1|	520	506529043	WP_015996055	312	37	84	159	2e-40	1396	membrane-associated protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|448259947|ref|YP_007237324.1|	520	1122786323	WP_074146349	312	37	84	159	2e-40	1496	hypothetical protein [Clostridioides difficile]	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
0	gi|448259947|ref|YP_007237324.1|	520	1167889682	WP_080181600	312	37	84	158	4e-40	28901	hypothetical protein [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|448259947|ref|YP_007237324.1|	520	640401587	WP_024892438	319	31.73	79	135	6e-32	930	hypothetical protein [Acidithiobacillus thiooxidans]	Bacteria	Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus thiooxidans
0	gi|448259947|ref|YP_007237324.1|	520	916897434	WP_051504147	411	32.34	76	128	4e-29	392409	hypothetical protein [Sphingomonas jaspsi]	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas jaspsi
0	gi|448259947|ref|YP_007237324.1|	520	917083792	WP_051690504	321	31.5	80	125	2e-28	930	hypothetical protein [Acidithiobacillus thiooxidans]	Bacteria	Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus thiooxidans
0	gi|448259947|ref|YP_007237324.1|	520	1057312557	WP_068673783	390	30.42	73	124	6e-28	34072	MULTISPECIES: hypothetical protein [Variovorax]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	
0	gi|448259947|ref|YP_007237324.1|	520	983583807	WP_060733665	384	30.08	71	116	4e-25	95486	hypothetical protein [Burkholderia cenocepacia]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia cenocepacia
0	gi|448259947|ref|YP_007237324.1|	520	1160786815	WP_079638721	365	26.2	60	112	1e-23	1507287	hypothetical protein [Sphingopyxis flava]	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	Sphingopyxis flava
0	gi|448259947|ref|YP_007237324.1|	520	947868567	WP_056529187	501	29.79	70	108	6e-22	1736352	hypothetical protein [Methylobacterium sp. Leaf361]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium sp. Leaf361
0	gi|448259947|ref|YP_007237324.1|	520	917513436	WP_052119853	403	29.74	69	102	3e-20	171674	hypothetical protein [Inquilinus limosus]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Inquilinus	Inquilinus limosus
0	gi|448259947|ref|YP_007237324.1|	520	493375785	WP_006332079	254	29.44	68	99	1e-19	1297570	hypothetical protein [Mesorhizobium sp. STM 4661]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp. STM 4661
0	gi|448259947|ref|YP_007237324.1|	520	757605356	WP_042852452	401	37.87	64	99.4	5e-19	562	SPOR domain-containing protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|448259947|ref|YP_007237324.1|	520	985611889	WP_060851384	574	27.35	64	99.4	1e-18	270351	hypothetical protein [Methylobacterium aquaticum]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium aquaticum
0	gi|448259947|ref|YP_007237324.1|	520	517045615	WP_018234433	332	33.77	52	91.7	8e-17	243063	hypothetical protein [Thioalkalivibrio thiocyanodenitrificans]	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Thioalkalivibrio	Thioalkalivibrio thiocyanodenitrificans
0	gi|448259947|ref|YP_007237324.1|	520	1222655055	WP_090702918	303	29.03	63	87.4	2e-15	1882748	hypothetical protein [Beijerinckia sp. 28-YEA-48]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Beijerinckia	Beijerinckia sp. 28-YEA-48
