qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|93007409|ref|YP_579173.1|	186	663208457	WP_030245914	187	87.17	163	320	1e-108	1463902	class IV adenylate cyclase [Streptomyces sp. NRRL S-350]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. NRRL S-350
0	gi|93007409|ref|YP_579173.1|	186	739999601	WP_037849421	188	82.89	155	307	4e-103	1463874	class IV adenylate cyclase [Streptomyces sp. NRRL F-6131]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. NRRL F-6131
0	gi|93007409|ref|YP_579173.1|	186	664559265	WP_031074060	188	82.89	155	298	1e-99	1463934	class IV adenylate cyclase [Streptomyces sp. NRRL WC-3742]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. NRRL WC-3742
0	gi|93007409|ref|YP_579173.1|	186	1021334885	WP_063346517	189	81.38	153	296	4e-99	1120523	class IV adenylate cyclase [Streptomyces sp. MJM8645]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. MJM8645
0	gi|93007409|ref|YP_579173.1|	186	662106038	WP_030061745	187	81.72	152	296	4e-99	68244	class IV adenylate cyclase [Streptomyces novaecaesareae]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces novaecaesareae
0	gi|93007409|ref|YP_579173.1|	186	1225867926	WP_093862524	191	80.21	150	296	1e-98	1855352	class IV adenylate cyclase [Streptomyces sp. TLI_053]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. TLI_053
0	gi|93007409|ref|YP_579173.1|	186	926312806	WP_053647973	186	78.49	146	294	5e-98	1415562	class IV adenylate cyclase [Streptomyces sp. XY431]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. XY431
0	gi|93007409|ref|YP_579173.1|	186	1122271076	WP_074002552	189	81.38	153	287	2e-95	1703924	class IV adenylate cyclase [Streptomyces sp. CB02056]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. CB02056
0	gi|93007409|ref|YP_579173.1|	186	783199300	WP_045694566	190	80.32	151	285	2e-94	359131	class IV adenylate cyclase [Streptomyces rubellomurinus]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces rubellomurinus
0	gi|93007409|ref|YP_579173.1|	186	902782654	WP_049653653	187	81.72	152	281	3e-93	1678027	class IV adenylate cyclase [Kitasatospora sp. MY 5-36]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Kitasatospora	Kitasatospora sp. MY 5-36
0	gi|93007409|ref|YP_579173.1|	186	759754369	WP_043464908	186	74.73	139	279	3e-92	1444769	class IV adenylate cyclase [Kitasatospora sp. MBT66]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Kitasatospora	Kitasatospora sp. MBT66
0	gi|93007409|ref|YP_579173.1|	186	737883029	WP_035849537	186	78.49	146	278	7e-92	58347	class IV adenylate cyclase [Kitasatospora azatica]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Kitasatospora	Kitasatospora azatica
0	gi|93007409|ref|YP_579173.1|	186	663396132	WP_030391916	186	74.19	138	278	1e-91	67352	class IV adenylate cyclase [Kitasatospora purpeofusca]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Kitasatospora	Kitasatospora purpeofusca
0	gi|93007409|ref|YP_579173.1|	186	664379788	WP_030906449	186	74.73	139	268	7e-88	1463905	class IV adenylate cyclase [Streptomyces sp. NRRL S-384]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. NRRL S-384
0	gi|93007409|ref|YP_579173.1|	186	663676398	WP_030460155	187	69.35	129	247	9e-80	1463822	CYTH domain-containing protein [Kitasatospora sp. NRRL B-11411]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Kitasatospora	Kitasatospora sp. NRRL B-11411
0	gi|93007409|ref|YP_579173.1|	186	702590070	WP_033212962	187	68.82	128	247	1e-79	2065	class IV adenylate cyclase [Kitasatospora phosalacinea]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Kitasatospora	Kitasatospora phosalacinea
0	gi|93007409|ref|YP_579173.1|	186	1288856178	WP_100579786	184	65.03	119	237	1e-75	2020324	class IV adenylate cyclase [Streptomyces sp. CB01201]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. CB01201
0	gi|93007409|ref|YP_579173.1|	186	518985243	WP_020141118	184	67.21	123	233	3e-74	1172180	class IV adenylate cyclase [Streptomyces sp. 351MFTsu5.1]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. 351MFTsu5.1
0	gi|93007409|ref|YP_579173.1|	186	503908921	WP_014142915	185	64.86	120	232	7e-74	29303	class IV adenylate cyclase [Streptomyces cattleya]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces cattleya
0	gi|93007409|ref|YP_579173.1|	186	1300232410	WP_100863543	190	65.03	119	232	1e-73	1938849	class IV adenylate cyclase [Streptomyces sp. Ag109_G2-1]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. Ag109_G2-1
0	gi|93007409|ref|YP_579173.1|	186	985848302	WP_060899328	184	67.76	124	229	8e-73	42236	class IV adenylate cyclase [Streptomyces diastatochromogenes]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces diastatochromogenes
0	gi|93007409|ref|YP_579173.1|	186	1275853276	WP_099918093	184	65.57	120	229	8e-73	2035218	class IV adenylate cyclase [Streptomyces sp. 94]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. 94
0	gi|93007409|ref|YP_579173.1|	186	1011908850	WP_062723666	185	67.21	123	228	2e-72	661399	class IV adenylate cyclase [Streptomyces caeruleatus]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces caeruleatus
0	gi|93007409|ref|YP_579173.1|	186	1317304533	WP_101408705	184	65.57	120	228	2e-72	1882770	class IV adenylate cyclase [Streptomyces sp. OK885]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. OK885
0	gi|93007409|ref|YP_579173.1|	186	664365836	WP_030893128	185	66.67	122	227	7e-72	67373	class IV adenylate cyclase [Streptomyces varsoviensis]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces varsoviensis
0	gi|93007409|ref|YP_579173.1|	186	1197565986	WP_086603902	184	66.12	121	227	9e-72	487165	class IV adenylate cyclase [Streptomyces swartbergensis]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces swartbergensis
0	gi|93007409|ref|YP_579173.1|	186	1133710838	WP_076096231	183	66.67	122	226	2e-71	1776340	class IV adenylate cyclase [Streptomyces sp. IMTB 2501]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. IMTB 2501
0	gi|93007409|ref|YP_579173.1|	186	1055261632	WP_066929862	192	61.96	114	225	5e-71	1621259	class IV adenylate cyclase [Streptomyces sp. NBRC 110611]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. NBRC 110611
0	gi|93007409|ref|YP_579173.1|	186	664146380	WP_030682733	184	65.57	120	224	1e-70	1476877	class IV adenylate cyclase [Streptomyces sp. NRRL B-1347]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. NRRL B-1347
0	gi|93007409|ref|YP_579173.1|	186	1155190261	WP_078983631	194	62.5	115	224	1e-70	47763	class IV adenylate cyclase [Streptomyces lydicus]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces lydicus
0	gi|93007409|ref|YP_579173.1|	186	1055732533	WP_067344236	186	66.49	123	223	2e-70	1971	class IV adenylate cyclase [Streptomyces noursei]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces noursei
0	gi|93007409|ref|YP_579173.1|	186	734696634	WP_034091657	184	64.13	118	223	4e-70	105425	class IV adenylate cyclase [Streptacidiphilus albus]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptacidiphilus	Streptacidiphilus albus
0	gi|93007409|ref|YP_579173.1|	186	518961680	WP_020117555	184	63.39	116	222	6e-70	58343	class IV adenylate cyclase [Streptomyces canus]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces canus
0	gi|93007409|ref|YP_579173.1|	186	739876875	WP_037727525	184	66.12	121	221	1e-69	1930	class IV adenylate cyclase [Streptomyces scabiei]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces scabiei
0	gi|93007409|ref|YP_579173.1|	186	750633515	WP_040915380	183	62.84	115	221	2e-69	83656	class IV adenylate cyclase [Streptomyces tsukubensis]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces tsukubensis
0	gi|93007409|ref|YP_579173.1|	186	926414093	WP_053741653	184	62.84	115	221	2e-69	1519490	class IV adenylate cyclase [Streptomyces sp. NRRL WC-3618]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. NRRL WC-3618
0	gi|93007409|ref|YP_579173.1|	186	1189132021	WP_085563040	184	64.48	118	220	4e-69	146922	class IV adenylate cyclase [Streptomyces griseofuscus]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces griseofuscus
