qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|58532812|ref|YP_195035.1|	295	917480070	WP_052086487	304	51.01	151	291	1e-93	471858	restriction endonuclease [Helicobacter magdeburgensis]	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter magdeburgensis
0	gi|58532812|ref|YP_195035.1|	295	1231419175	WP_094324486	304	50.66	153	290	6e-93	522485	restriction endonuclease [Campylobacter avium]	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter avium
0	gi|58532812|ref|YP_195035.1|	295	490399515	WP_004274987	309	50.68	150	289	1e-92	28080	type II restriction endonuclease [Campylobacter upsaliensis]	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter upsaliensis
0	gi|58532812|ref|YP_195035.1|	295	565864884	WP_023946698	309	50.68	150	289	1e-92	215	DNA adenine methylase [Helicobacter fennelliae]	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter fennelliae
0	gi|58532812|ref|YP_195035.1|	295	653052246	WP_027303811	309	50	148	287	8e-92	28080	restriction endonuclease [Campylobacter upsaliensis]	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter upsaliensis
0	gi|58532812|ref|YP_195035.1|	295	1274264629	WP_099462192	309	49.66	147	286	1e-91	1655501	restriction endonuclease [Campylobacter sp. 73/13]	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter sp. 73/13
0	gi|58532812|ref|YP_195035.1|	295	736551661	WP_034564786	322	50	148	286	2e-91	37372	restriction endonuclease [Helicobacter bilis]	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter bilis
0	gi|58532812|ref|YP_195035.1|	295	1176353608	WP_082200768	321	49.32	146	285	5e-91	28898	restriction endonuclease [Campylobacter helveticus]	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter helveticus
0	gi|58532812|ref|YP_195035.1|	295	1224321007	WP_092346701	322	48.81	144	283	3e-90	1633643	restriction endonuclease [Candidatus Chrysopegis kryptomonas]	Bacteria	Candidatus Kryptonia				Candidatus Chrysopegis	Candidatus Chrysopegis kryptomonas
0	gi|58532812|ref|YP_195035.1|	295	1274313721	WP_099507346	309	49.66	147	281	1e-89	1655500	restriction endonuclease [Campylobacter sp. 251/13]	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter sp. 251/13
0	gi|58532812|ref|YP_195035.1|	295	1119224565	WP_072226269	322	48.14	142	279	1e-88	195	restriction endonuclease [Campylobacter coli]	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter coli
