qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|304373556|ref|YP_003858301.1|	299	1122786323	WP_074146349	312	40.34	117	218	8e-65	1496	hypothetical protein [Clostridioides difficile]	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
0	gi|304373556|ref|YP_003858301.1|	299	506529043	WP_015996055	312	40.42	116	218	8e-65	1396	membrane-associated protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|304373556|ref|YP_003858301.1|	299	1208946743	WP_088209801	312	40.34	117	218	9e-65	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|304373556|ref|YP_003858301.1|	299	1167889682	WP_080181600	312	39.93	115	215	7e-64	28901	hypothetical protein [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|304373556|ref|YP_003858301.1|	299	916897434	WP_051504147	411	39.91	85	161	3e-42	392409	hypothetical protein [Sphingomonas jaspsi]	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas jaspsi
0	gi|304373556|ref|YP_003858301.1|	299	640401587	WP_024892438	319	49.35	76	155	1e-40	930	hypothetical protein [Acidithiobacillus thiooxidans]	Bacteria	Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus thiooxidans
0	gi|304373556|ref|YP_003858301.1|	299	1057312557	WP_068673783	390	39.65	90	156	2e-40	34072	MULTISPECIES: hypothetical protein [Variovorax]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	
0	gi|304373556|ref|YP_003858301.1|	299	917083792	WP_051690504	321	50	76	152	1e-39	930	hypothetical protein [Acidithiobacillus thiooxidans]	Bacteria	Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus thiooxidans
0	gi|304373556|ref|YP_003858301.1|	299	517045615	WP_018234433	332	44.31	74	149	2e-38	243063	hypothetical protein [Thioalkalivibrio thiocyanodenitrificans]	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Thioalkalivibrio	Thioalkalivibrio thiocyanodenitrificans
0	gi|304373556|ref|YP_003858301.1|	299	983583807	WP_060733665	384	41.76	71	148	2e-37	95486	hypothetical protein [Burkholderia cenocepacia]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia cenocepacia
0	gi|304373556|ref|YP_003858301.1|	299	493375785	WP_006332079	254	34.35	79	134	1e-33	1297570	hypothetical protein [Mesorhizobium sp. STM 4661]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp. STM 4661
0	gi|304373556|ref|YP_003858301.1|	299	917513436	WP_052119853	403	36.36	88	132	2e-31	171674	hypothetical protein [Inquilinus limosus]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Inquilinus	Inquilinus limosus
0	gi|304373556|ref|YP_003858301.1|	299	1119688788	WP_072607578	272	32.61	75	126	2e-30	1670800	hypothetical protein [Mesorhizobium sp. B7]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp. B7
0	gi|304373556|ref|YP_003858301.1|	299	1160786815	WP_079638721	365	33.48	78	128	3e-30	1507287	hypothetical protein [Sphingopyxis flava]	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	Sphingopyxis flava
0	gi|304373556|ref|YP_003858301.1|	299	1222655055	WP_090702918	303	33.33	76	125	1e-29	1882748	hypothetical protein [Beijerinckia sp. 28-YEA-48]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Beijerinckia	Beijerinckia sp. 28-YEA-48
0	gi|304373556|ref|YP_003858301.1|	299	947868567	WP_056529187	501	33.47	79	124	1e-28	1736352	hypothetical protein [Methylobacterium sp. Leaf361]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium sp. Leaf361
0	gi|304373556|ref|YP_003858301.1|	299	563543171	WP_023749184	283	31.56	71	114	8e-26	1287270	hypothetical protein [Mesorhizobium sp. LNJC386A00]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp. LNJC386A00
0	gi|304373556|ref|YP_003858301.1|	299	985611889	WP_060851384	574	31.14	71	114	1e-24	270351	hypothetical protein [Methylobacterium aquaticum]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium aquaticum
0	gi|304373556|ref|YP_003858301.1|	299	916514687	WP_051134038	269	31.48	68	107	1e-23	622637	hypothetical protein [Methylocystis sp. ATCC 49242]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylocystaceae	Methylocystis	Methylocystis sp. ATCC 49242
0	gi|304373556|ref|YP_003858301.1|	299	757605356	WP_042852452	401	36.09	61	108	3e-23	562	SPOR domain-containing protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|304373556|ref|YP_003858301.1|	299	506228117	WP_015747892	316	31.25	80	105	2e-22	53461	hypothetical protein [Nakamurella multipartita]	Bacteria	Actinobacteria	Actinobacteria	Nakamurellales	Nakamurellaceae	Nakamurella	Nakamurella multipartita
0	gi|304373556|ref|YP_003858301.1|	299	953309787	WP_057970303	330	32.4	58	88.6	9e-17	1720574	hypothetical protein, partial [Mycobacterium sp. H101]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium sp. H101
0	gi|304373556|ref|YP_003858301.1|	299	1160784016	WP_079636186	290	32.4	58	87.8	9e-17	36809	hypothetical protein, partial [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|304373556|ref|YP_003858301.1|	299	918760007	WP_052611904	343	32.4	58	88.2	1e-16	36809	hypothetical protein [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|304373556|ref|YP_003858301.1|	299	1123635288	WP_074322576	357	32.4	58	88.2	1e-16	36809	hypothetical protein [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|304373556|ref|YP_003858301.1|	299	1160821663	WP_079670058	353	32.4	58	88.2	1e-16	36809	hypothetical protein [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|304373556|ref|YP_003858301.1|	299	918718464	WP_052583299	353	32.4	58	88.2	1e-16	36809	hypothetical protein [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|304373556|ref|YP_003858301.1|	299	1285113967	WP_100443493	371	32.4	58	88.6	1e-16	36809	hypothetical protein [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|304373556|ref|YP_003858301.1|	299	491242632	WP_005100839	357	32.4	58	88.2	1e-16	36809	hypothetical protein [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|304373556|ref|YP_003858301.1|	299	1123782268	WP_074337692	353	32.4	58	88.2	1e-16	36809	hypothetical protein [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
