qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|712913801|ref|YP_009100908.1|	144	981232603	WP_059453003	139	60	75	145	5e-41	158836	terminase small subunit [Enterobacter hormaechei]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter hormaechei
0	gi|712913801|ref|YP_009100908.1|	144	1017023821	WP_063159649	139	60	75	145	5e-41	354276	MULTISPECIES: terminase small subunit [Enterobacter cloacae complex]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	
0	gi|712913801|ref|YP_009100908.1|	144	779833942	WP_045341919	139	60	75	145	5e-41	354276	MULTISPECIES: terminase small subunit [Enterobacter cloacae complex]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	
0	gi|712913801|ref|YP_009100908.1|	144	975891232	WP_059291154	139	60	75	145	6e-41	158836	terminase small subunit [Enterobacter hormaechei]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter hormaechei
0	gi|712913801|ref|YP_009100908.1|	144	1016954291	WP_063154627	140	60	75	145	7e-41	550	terminase small subunit [Enterobacter cloacae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter cloacae
0	gi|712913801|ref|YP_009100908.1|	144	1017025404	WP_063160771	139	60	75	144	9e-41	550	terminase small subunit [Enterobacter cloacae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter cloacae
0	gi|712913801|ref|YP_009100908.1|	144	1068562972	WP_069595874	139	60	75	144	1e-40	158836	terminase small subunit [Enterobacter hormaechei]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter hormaechei
0	gi|712913801|ref|YP_009100908.1|	144	749204719	WP_040117310	139	59.2	74	144	1e-40	158836	terminase small subunit [Enterobacter hormaechei]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter hormaechei
0	gi|712913801|ref|YP_009100908.1|	144	696270853	WP_032847326	143	52.8	66	137	6e-38	85402	terminase small subunit [Mannheimia granulomatis]	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Mannheimia	Mannheimia granulomatis
0	gi|712913801|ref|YP_009100908.1|	144	1246139466	WP_096323032	140	53.6	67	134	9e-37	562	terminase small subunit, partial [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|712913801|ref|YP_009100908.1|	144	446069409	WP_000147264	143	53.23	66	130	2e-35	28901	terminase small subunit [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|712913801|ref|YP_009100908.1|	144	526017767	WP_020838509	143	53.23	66	130	3e-35	28901	terminase small subunit [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|712913801|ref|YP_009100908.1|	144	1167838720	WP_080148118	143	53.23	66	130	4e-35	28901	terminase small subunit [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|712913801|ref|YP_009100908.1|	144	506598066	WP_016062804	143	53.23	66	130	4e-35	28901	terminase small subunit [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|712913801|ref|YP_009100908.1|	144	446069410	WP_000147265	143	53.23	66	130	5e-35	28901	terminase small subunit [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|712913801|ref|YP_009100908.1|	144	1245904612	WP_096149708	139	56.45	70	129	5e-35	158836	terminase small subunit [Enterobacter hormaechei]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter hormaechei
