qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|374671603|ref|YP_005102468.1|	314	547279406	WP_022012953	302	39.87	122	208	5e-61	817	hypothetical protein [Bacteroides fragilis]	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides fragilis
0	gi|374671603|ref|YP_005102468.1|	314	1047415047	WP_065739652	302	39.87	122	207	8e-61	817	hypothetical protein [Bacteroides fragilis]	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides fragilis
0	gi|374671603|ref|YP_005102468.1|	314	1199696766	WP_087427574	301	40	122	206	3e-60	1965632	hypothetical protein [Bacteroides sp. An322]	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp. An322
0	gi|374671603|ref|YP_005102468.1|	314	1120487242	WP_073348410	302	38.76	119	204	1e-59	1871006	hypothetical protein [Bacteroides congonensis]	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides congonensis
0	gi|374671603|ref|YP_005102468.1|	314	941898455	WP_055228908	302	38.44	118	202	7e-59	818	hypothetical protein [Bacteroides thetaiotaomicron]	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides thetaiotaomicron
0	gi|374671603|ref|YP_005102468.1|	314	640649693	WP_025076406	302	39.34	120	202	9e-59	871325	hypothetical protein [Bacteroides faecichinchillae]	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides faecichinchillae
0	gi|374671603|ref|YP_005102468.1|	314	496051437	WP_008775944	302	38.44	118	201	3e-58	469590	hypothetical protein [Bacteroides sp. 2_2_4]	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp. 2_2_4
0	gi|374671603|ref|YP_005102468.1|	314	696274740	WP_032851137	302	38.11	117	201	4e-58	816	MULTISPECIES: hypothetical protein [Bacteroides]	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
0	gi|374671603|ref|YP_005102468.1|	314	494310886	WP_007174997	298	40.26	124	200	6e-58	242750	hypothetical protein [Prevotella bergensis]	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella bergensis
0	gi|374671603|ref|YP_005102468.1|	314	500650461	WP_011965789	306	36.6	112	199	2e-57	821	hypothetical protein [Bacteroides vulgatus]	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides vulgatus
