qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|460042177|ref|YP_007517622.1|	224	490209503	WP_004107907	224	86.82	191	407	2e-141	2702	hypothetical protein [Gardnerella vaginalis]	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Gardnerella	Gardnerella vaginalis
0	gi|460042177|ref|YP_007517622.1|	224	1267714822	WP_098472869	221	54.68	111	223	3e-69	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|460042177|ref|YP_007517622.1|	224	1267620911	WP_098392480	221	54.19	110	222	8e-69	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|460042177|ref|YP_007517622.1|	224	507053168	WP_016124135	222	52.68	108	215	3e-66	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|460042177|ref|YP_007517622.1|	224	1267325721	WP_098169218	225	52.17	108	209	1e-63	155322	hypothetical protein [Bacillus toyonensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus toyonensis
0	gi|460042177|ref|YP_007517622.1|	224	1268100142	WP_098663795	225	51.69	107	207	8e-63	155322	hypothetical protein [Bacillus toyonensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus toyonensis
0	gi|460042177|ref|YP_007517622.1|	224	1267228948	WP_098087953	225	51.69	107	206	2e-62	155322	hypothetical protein [Bacillus toyonensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus toyonensis
0	gi|460042177|ref|YP_007517622.1|	224	1268171798	WP_098718552	225	49.28	102	188	1e-55	155322	hypothetical protein [Bacillus toyonensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus toyonensis
0	gi|460042177|ref|YP_007517622.1|	224	488059285	WP_002130682	218	47.44	102	184	4e-54	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|460042177|ref|YP_007517622.1|	224	1267260969	WP_098115351	225	47.5	95	179	3e-52	1890302	hypothetical protein [Bacillus wiedmannii]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus wiedmannii
