qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|134288748|ref|YP_001111032.1|	229	638831984	WP_024431547	229	99.56	228	449	5e-158	28450	phage terminase endonuclease subunit [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|134288748|ref|YP_001111032.1|	229	759577836	WP_043296752	229	99.13	227	448	1e-157	111527	MULTISPECIES: phage terminase endonuclease subunit [pseudomallei group]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	
0	gi|134288748|ref|YP_001111032.1|	229	497582872	WP_009897056	229	99.13	227	447	4e-157	111527;272560	MULTISPECIES: phage terminase endonuclease subunit [pseudomallei group]	NA	NA	NA	NA	NA	NA	NA
0	gi|134288748|ref|YP_001111032.1|	229	949612707	WP_057034539	229	99.12	226	446	9e-157	28450	terminase [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|134288748|ref|YP_001111032.1|	229	752518066	WP_041189667	229	98.69	226	446	1e-156	28450	phage terminase endonuclease subunit [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|134288748|ref|YP_001111032.1|	229	1141112166	WP_076896245	229	98.69	226	446	2e-156	28450	terminase [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|134288748|ref|YP_001111032.1|	229	490667819	WP_004532809	229	98.69	226	446	2e-156	28450	phage terminase endonuclease subunit [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|134288748|ref|YP_001111032.1|	229	497658363	WP_009972547	229	99.12	226	445	3e-156	28450	bacteriophage terminase endonuclease subunit [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|134288748|ref|YP_001111032.1|	229	1141141877	WP_076912392	229	98.69	226	444	4e-156	28450	terminase [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|134288748|ref|YP_001111032.1|	229	490659445	WP_004524435	229	98.25	225	444	5e-156	28450	phage terminase endonuclease subunit [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|134288748|ref|YP_001111032.1|	229	740939532	WP_038724549	229	98.25	225	444	7e-156	28450	terminase [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|134288748|ref|YP_001111032.1|	229	752520651	WP_041192245	229	98.25	225	444	7e-156	28450	terminase [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|134288748|ref|YP_001111032.1|	229	741003339	WP_038785920	229	98.69	226	444	7e-156	28450	terminase [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|134288748|ref|YP_001111032.1|	229	740974695	WP_038758935	229	98.25	225	444	9e-156	28450	terminase [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|134288748|ref|YP_001111032.1|	229	782640306	WP_045587884	229	98.25	225	444	9e-156	28450	terminase [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|134288748|ref|YP_001111032.1|	229	740985311	WP_038768943	229	98.25	225	444	1e-155	28450	terminase [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|134288748|ref|YP_001111032.1|	229	741017558	WP_038799570	229	98.25	225	444	1e-155	28450	terminase [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
