qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|109302759|ref|YP_654761.1|	153	1333895272	WP_102999492	158	52.5	84	157	3e-45	334542	phage terminase small subunit P27 family [Rhodococcus qingshengii]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus qingshengii
0	gi|109302759|ref|YP_654761.1|	153	1143113800	WP_077104087	164	48.63	71	152	2e-43	1841859	hypothetical protein [Mycobacterium sp. AB308]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium sp. AB308
0	gi|109302759|ref|YP_654761.1|	153	1056638867	WP_068068383	152	47.1	73	134	2e-36	1763	MULTISPECIES: phage terminase small subunit P27 family [Mycobacterium]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	
0	gi|109302759|ref|YP_654761.1|	153	644687124	WP_025358335	152	48.39	75	134	2e-36	43357	phage terminase small subunit P27 family [Kutzneria albida]	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Kutzneria	Kutzneria albida
0	gi|109302759|ref|YP_654761.1|	153	498382430	WP_010696586	152	44.44	68	132	8e-36	60894	phage terminase small subunit P27 family [Saccharopolyspora spinosa]	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Saccharopolyspora	Saccharopolyspora spinosa
0	gi|109302759|ref|YP_654761.1|	153	1224505361	WP_092526200	152	44.81	69	131	3e-35	587909	phage terminase small subunit P27 family [Yuhushiella deserti]	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Yuhushiella	Yuhushiella deserti
0	gi|109302759|ref|YP_654761.1|	153	654473824	WP_027944039	152	43.79	67	127	1e-33	342230	phage terminase small subunit P27 family [Amycolatopsis taiwanensis]	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Amycolatopsis	Amycolatopsis taiwanensis
0	gi|109302759|ref|YP_654761.1|	153	1226633223	WP_093935629	152	42.48	65	125	7e-33	589330	phage terminase small subunit P27 family [Amycolatopsis thailandensis]	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Amycolatopsis	Amycolatopsis thailandensis
0	gi|109302759|ref|YP_654761.1|	153	772744410	WP_045311240	152	41.83	64	122	5e-32	68170	phage terminase small subunit P27 family [Lechevalieria aerocolonigenes]	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Lechevalieria	Lechevalieria aerocolonigenes
0	gi|109302759|ref|YP_654761.1|	153	498000938	WP_010315094	151	39.22	60	121	2e-31	60894	phage terminase small subunit P27 family [Saccharopolyspora spinosa]	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Saccharopolyspora	Saccharopolyspora spinosa
0	gi|109302759|ref|YP_654761.1|	153	1051608866	WP_065914868	152	41.18	63	119	9e-31	1586287	phage terminase small subunit P27 family [Lentzea guizhouensis]	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Lentzea	Lentzea guizhouensis
0	gi|109302759|ref|YP_654761.1|	153	1172313744	WP_080697023	171	40.83	69	117	8e-30	1790	hypothetical protein [Mycobacterium asiaticum]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium asiaticum
0	gi|109302759|ref|YP_654761.1|	153	663693371	WP_030470427	152	39.87	61	116	2e-29	68170	phage terminase small subunit P27 family [Lechevalieria aerocolonigenes]	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Lechevalieria	Lechevalieria aerocolonigenes
0	gi|109302759|ref|YP_654761.1|	153	1221930800	WP_090007344	152	39.87	61	115	3e-29	128104	phage terminase small subunit P27 family [Lentzea violacea]	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Lentzea	Lentzea violacea
0	gi|109302759|ref|YP_654761.1|	153	1226667719	WP_093951442	152	38.96	60	114	1e-28	1905142	phage terminase small subunit P27 family [Amycolatopsis sp. H5]	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Amycolatopsis	Amycolatopsis sp. H5
0	gi|109302759|ref|YP_654761.1|	153	926281520	WP_053618818	157	42.76	65	114	1e-28	1519494	phage terminase small subunit P27 family [Nocardiopsis sp. NRRL B-16309]	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Nocardiopsaceae	Nocardiopsis	Nocardiopsis sp. NRRL B-16309
0	gi|109302759|ref|YP_654761.1|	153	506282286	WP_015802061	153	35.95	55	112	5e-28	40567	phage terminase small subunit P27 family [Actinosynnema mirum]	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Actinosynnema	Actinosynnema mirum
0	gi|109302759|ref|YP_654761.1|	153	926391065	WP_053719457	153	38.56	59	112	5e-28	1415542	phage terminase small subunit P27 family [Saccharothrix sp. NRRL B-16348]	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Saccharothrix	Saccharothrix sp. NRRL B-16348
0	gi|109302759|ref|YP_654761.1|	153	1142760686	WP_077007650	153	38.56	59	112	6e-28	1933778	phage terminase small subunit P27 family [Saccharothrix sp. ALI-22-I]	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Saccharothrix	Saccharothrix sp. ALI-22-I
0	gi|109302759|ref|YP_654761.1|	153	929021196	WP_054044959	152	36.36	56	112	7e-28	1653480	phage terminase small subunit P27 family [Alloactinosynnema sp. L-07]	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Alloactinosynnema	Alloactinosynnema sp. L-07
0	gi|109302759|ref|YP_654761.1|	153	651292832	WP_026424679	152	36.36	56	110	5e-27	103730	phage terminase small subunit P27 family [Actinokineospora inagensis]	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Actinokineospora	Actinokineospora inagensis
0	gi|109302759|ref|YP_654761.1|	153	663170259	WP_030209160	160	40.59	69	108	2e-26	29306	phage terminase small subunit P27 family [Streptomyces griseoluteus]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces griseoluteus
0	gi|109302759|ref|YP_654761.1|	153	740081517	WP_037930999	160	41.72	68	108	2e-26	1460244	phage terminase small subunit P27 family [Streptomyces sp. PCS3-D2]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. PCS3-D2
0	gi|109302759|ref|YP_654761.1|	153	765011388	WP_044577537	135	40.3	54	107	2e-26	60894	phage terminase small subunit P27 family [Saccharopolyspora spinosa]	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Saccharopolyspora	Saccharopolyspora spinosa
0	gi|109302759|ref|YP_654761.1|	153	504846959	WP_015034061	160	40.59	69	107	7e-26	54571	phage terminase small subunit P27 family [Streptomyces venezuelae]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces venezuelae
