qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|157325218|ref|YP_001468640.1|	99	1000360239	WP_061107421	118	98.99	98	195	9e-62	1639	hypothetical protein [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|157325218|ref|YP_001468640.1|	99	1254704677	WP_097347872	118	98.99	98	195	1e-61	1639	hypothetical protein [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|157325218|ref|YP_001468640.1|	99	1148597328	WP_077343544	118	97.98	97	194	2e-61	1639	hypothetical protein [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|157325218|ref|YP_001468640.1|	99	685907300	WP_031646261	118	97.98	97	194	3e-61	1639	hypothetical protein [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|157325218|ref|YP_001468640.1|	99	1000363333	WP_061109198	118	97.98	97	194	3e-61	1639	hypothetical protein [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|157325218|ref|YP_001468640.1|	99	647734552	WP_025981612	118	97.98	97	192	1e-60	1637	MULTISPECIES: hypothetical protein [Listeria]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	
0	gi|157325218|ref|YP_001468640.1|	99	1252853369	WP_096811752	118	96.97	96	192	1e-60	1639	hypothetical protein [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|157325218|ref|YP_001468640.1|	99	1160354240	WP_079399994	118	96.97	96	192	1e-60	1639	hypothetical protein [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|157325218|ref|YP_001468640.1|	99	1079810661	WP_070213498	118	96.97	96	192	1e-60	1639	hypothetical protein [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|157325218|ref|YP_001468640.1|	99	1092865045	WP_070776300	118	96.97	96	192	1e-60	1639	hypothetical protein [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
