qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|509140040|ref|YP_008058924.1|	248	489560903	WP_003465436	248	87.04	215	422	2e-146	1502	hypothetical protein [Clostridium perfringens]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium perfringens
0	gi|509140040|ref|YP_008058924.1|	248	490596230	WP_004461250	248	94.12	208	421	2e-146	1502	hypothetical protein [Clostridium perfringens]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium perfringens
0	gi|509140040|ref|YP_008058924.1|	248	489560727	WP_003465261	241	94.57	209	421	4e-146	1502	hypothetical protein [Clostridium perfringens]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium perfringens
0	gi|509140040|ref|YP_008058924.1|	248	1132114060	WP_075808005	248	93.67	207	418	5e-145	1502	hypothetical protein [Clostridium perfringens]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium perfringens
0	gi|509140040|ref|YP_008058924.1|	248	1132174160	WP_075857565	259	75.77	197	376	3e-128	1502	hypothetical protein [Clostridium perfringens]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium perfringens
0	gi|509140040|ref|YP_008058924.1|	248	489564937	WP_003469450	246	69.48	173	332	3e-111	1502	hypothetical protein [Clostridium perfringens]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium perfringens
0	gi|509140040|ref|YP_008058924.1|	248	983518897	WP_060670792	252	71.67	167	322	4e-107	1502	hypothetical protein [Clostridium perfringens]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium perfringens
0	gi|509140040|ref|YP_008058924.1|	248	489577013	WP_003481459	254	50.95	134	240	6e-75	1502	terminase [Clostridium perfringens]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium perfringens
0	gi|509140040|ref|YP_008058924.1|	248	1054919932	WP_066678546	240	52.74	125	231	1e-71	1504	hypothetical protein [Clostridium septicum]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium septicum
0	gi|509140040|ref|YP_008058924.1|	248	1221870810	WP_089965173	254	52.81	122	231	3e-71	94869	hypothetical protein [Clostridium gasigenes]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium gasigenes
0	gi|509140040|ref|YP_008058924.1|	248	736415616	WP_034438044	269	52.14	122	227	1e-69	1470356	hypothetical protein [Clostridium ihumii]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium ihumii
0	gi|509140040|ref|YP_008058924.1|	248	1160619374	WP_079481471	257	49.4	124	213	3e-64	46867	hypothetical protein [Clostridium chauvoei]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium chauvoei
0	gi|509140040|ref|YP_008058924.1|	248	565896625	WP_023976327	257	49.79	118	210	4e-63	1520	hypothetical protein [Clostridium beijerinckii]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium beijerinckii
0	gi|509140040|ref|YP_008058924.1|	248	746723395	WP_039680767	241	46.06	111	195	1e-57	1577792	hypothetical protein [Terrisporobacter othiniensis]	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Terrisporobacter	Terrisporobacter othiniensis
0	gi|509140040|ref|YP_008058924.1|	248	1271548116	WP_099328370	248	50.65	117	194	6e-57	29363	terminase [Clostridium paraputrificum]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium paraputrificum
0	gi|509140040|ref|YP_008058924.1|	248	1120151824	WP_073021890	239	47.35	116	192	1e-56	36845	hypothetical protein [Clostridium intestinale]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium intestinale
0	gi|509140040|ref|YP_008058924.1|	248	546159819	WP_021801687	239	46.94	115	191	4e-56	36845	hypothetical protein [Clostridium intestinale]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium intestinale
0	gi|509140040|ref|YP_008058924.1|	248	950911838	WP_057540110	234	47.83	110	189	2e-55	1505	helix-turn-helix domain-containing protein [Paeniclostridium sordellii]	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Paeniclostridium	Paeniclostridium sordellii
0	gi|509140040|ref|YP_008058924.1|	248	746167250	WP_039227464	258	48.68	111	189	7e-55	1542	hypothetical protein [Clostridium novyi]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium novyi
0	gi|509140040|ref|YP_008058924.1|	248	505426841	WP_015613943	255	44.98	112	187	3e-54	1501	hypothetical protein [Clostridium pasteurianum]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium pasteurianum
0	gi|509140040|ref|YP_008058924.1|	248	501010640	WP_012063537	216	47.51	105	185	6e-54	208226	YqaS [Alkaliphilus metalliredigens]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Alkaliphilus	Alkaliphilus metalliredigens
