qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|62327308|ref|YP_224021.1|	139	1141147161	WP_076915480	139	96.4	134	278	3e-93	28901	hypothetical protein [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|62327308|ref|YP_224021.1|	139	1035832148	WP_064624771	139	95.68	133	274	8e-92	28901	hypothetical protein [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|62327308|ref|YP_224021.1|	139	1141150708	WP_076917142	139	94.24	131	271	2e-90	28901	hypothetical protein [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|62327309|ref|YP_224022.1|	131	506517734	WP_015984941	131	93.89	123	258	1e-85	28901	hypothetical protein [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|62327309|ref|YP_224022.1|	131	1141164556	WP_076927548	131	93.13	122	257	3e-85	28901	hypothetical protein [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|62327309|ref|YP_224022.1|	131	1141147162	WP_076915481	131	92.37	121	254	4e-84	28901	hypothetical protein [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|62327309|ref|YP_224022.1|	131	1141176395	WP_076933568	131	91.6	120	252	3e-83	28901	hypothetical protein [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|62327309|ref|YP_224022.1|	131	1141148920	WP_076916608	131	91.6	120	251	4e-83	28901	hypothetical protein [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|62327309|ref|YP_224022.1|	131	1035832153	WP_064624776	131	91.6	120	248	7e-82	28901	hypothetical protein [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|62327309|ref|YP_224022.1|	131	1134168149	WP_076410834	132	43.31	55	112	2e-28	85698	hypothetical protein [Achromobacter xylosoxidans]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter xylosoxidans
