qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|712916216|ref|YP_009103959.1|	396	686296479	WP_031863614	408	57.32	227	469	3e-160	1280	phage capsid protein [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|712916216|ref|YP_009103959.1|	396	1071363103	WP_069796315	392	55.44	214	448	4e-152	1288	phage capsid protein [Staphylococcus xylosus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus xylosus
0	gi|712916217|ref|YP_009103960.1|	343	1151973317	WP_078099156	327	35.19	114	221	2e-65	1280	hypothetical protein [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|712916218|ref|YP_009103961.1|	221	686296477	WP_031863613	182	28.02	51	71.2	6e-12	1280	lower collar protein, partial [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|712916219|ref|YP_009103962.1|	519	1143695887	WP_077151763	586	30.9	123	171	6e-43	53346	DUF2479 domain-containing protein [Enterococcus mundtii]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus mundtii
0	gi|712916219|ref|YP_009103962.1|	519	1106902671	WP_071869068	582	32.76	114	171	7e-43	417368	DUF2479 domain-containing protein [Enterococcus thailandicus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus thailandicus
0	gi|712916219|ref|YP_009103962.1|	519	1129540925	WP_075491759	582	32.76	114	171	7e-43	1639	DUF2479 domain-containing protein [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|712916219|ref|YP_009103962.1|	519	1173262878	WP_081122920	564	32.49	129	171	8e-43	1354	DUF2479 domain-containing protein [Enterococcus hirae]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus hirae
0	gi|712916219|ref|YP_009103962.1|	519	1055942483	WP_067484916	582	32.76	114	171	8e-43	417368	DUF2479 domain-containing protein [Enterococcus thailandicus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus thailandicus
0	gi|712916219|ref|YP_009103962.1|	519	1196894401	WP_086334558	586	30.9	123	171	9e-43	53346	DUF2479 domain-containing protein [Enterococcus mundtii]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus mundtii
0	gi|712916219|ref|YP_009103962.1|	519	1196882357	WP_086324902	577	28.74	119	170	2e-42	1352	DUF2479 domain-containing protein [Enterococcus faecium]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium
0	gi|712916219|ref|YP_009103962.1|	519	1173265416	WP_081125326	564	32.49	129	170	2e-42	1354	DUF2479 domain-containing protein [Enterococcus hirae]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus hirae
0	gi|712916219|ref|YP_009103962.1|	519	1214122730	WP_088762473	579	32.32	128	169	4e-42	1354	DUF2479 domain-containing protein [Enterococcus hirae]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus hirae
0	gi|712916219|ref|YP_009103962.1|	519	645927336	WP_025481312	594	28.67	119	169	6e-42	1352	DUF2479 domain-containing protein [Enterococcus faecium]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium
0	gi|712916219|ref|YP_009103962.1|	519	1236084865	WP_094889947	594	28.64	118	168	7e-42	1352	DUF2479 domain-containing protein [Enterococcus faecium]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium
0	gi|712916219|ref|YP_009103962.1|	519	645925304	WP_025479289	594	28.64	118	168	7e-42	1352	DUF2479 domain-containing protein [Enterococcus faecium]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium
0	gi|712916219|ref|YP_009103962.1|	519	1173345626	WP_081202249	564	32.24	128	167	1e-41	1354	DUF2479 domain-containing protein [Enterococcus hirae]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus hirae
0	gi|712916219|ref|YP_009103962.1|	519	1092602598	WP_070551600	579	32.15	127	167	1e-41	1715125	DUF2479 domain-containing protein [Enterococcus sp. HMSC069A01]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus sp. HMSC069A01
0	gi|712916219|ref|YP_009103962.1|	519	498446594	WP_010752171	564	32.24	128	167	1e-41	112904	DUF2479 domain-containing protein [Enterococcus villorum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus villorum
0	gi|712916219|ref|YP_009103962.1|	519	645924157	WP_025478142	579	32.15	127	167	1e-41	1352	DUF2479 domain-containing protein [Enterococcus faecium]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium
0	gi|712916219|ref|YP_009103962.1|	519	645924630	WP_025478615	579	32.15	127	167	2e-41	1169669	DUF2479 domain-containing protein [Enterococcus sp. GMD5E]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus sp. GMD5E
0	gi|712916219|ref|YP_009103962.1|	519	645926013	WP_025479998	579	32.15	127	167	2e-41	1352	DUF2479 domain-containing protein [Enterococcus faecium]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium
0	gi|712916219|ref|YP_009103962.1|	519	1173254845	WP_081115378	579	31.98	126	166	4e-41	1354	DUF2479 domain-containing protein [Enterococcus hirae]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus hirae
0	gi|712916219|ref|YP_009103962.1|	519	498417448	WP_010725758	566	31.9	126	166	5e-41	1352	DUF2479 domain-containing protein [Enterococcus faecium]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium
0	gi|712916219|ref|YP_009103962.1|	519	498417310	WP_010725677	553	31.9	126	165	6e-41	1352	DUF2479 domain-containing protein, partial [Enterococcus faecium]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium
0	gi|712916219|ref|YP_009103962.1|	519	514906364	WP_016631455	594	28.19	117	166	7e-41	1352	DUF2479 domain-containing protein [Enterococcus faecium]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium
0	gi|712916219|ref|YP_009103962.1|	519	645926853	WP_025480838	579	31.9	126	165	8e-41	1352	DUF2479 domain-containing protein [Enterococcus faecium]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium
0	gi|712916219|ref|YP_009103962.1|	519	645926931	WP_025480916	579	31.9	126	165	8e-41	1352	DUF2479 domain-containing protein [Enterococcus faecium]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium
0	gi|712916219|ref|YP_009103962.1|	519	1196875477	WP_086319060	594	30.62	128	165	8e-41	1352	DUF2479 domain-containing protein [Enterococcus faecium]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium
