qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|374531850|ref|YP_005098405.1|	269	639632046	WP_024709838	274	45.15	121	221	4e-67	686597	hypothetical protein [Martelella sp. AD-3]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Aurantimonadaceae	Martelella	Martelella sp. AD-3
0	gi|374531850|ref|YP_005098405.1|	269	1159809902	WP_079351122	232	51.11	115	213	2e-64	1962644	terminase small subunit [Paenibacillus sp. VT-16-81]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus sp. VT-16-81
0	gi|374531850|ref|YP_005098405.1|	269	948037872	WP_056697039	239	46.61	110	211	1e-63	1736552	terminase small subunit [Paenibacillus sp. Root52]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus sp. Root52
0	gi|374531850|ref|YP_005098405.1|	269	503388910	WP_013623571	240	47.46	112	210	3e-63	51197	terminase small subunit [Syntrophobotulus glycolicus]	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Syntrophobotulus	Syntrophobotulus glycolicus
0	gi|374531850|ref|YP_005098405.1|	269	1149914301	WP_077845627	264	45.61	104	211	4e-63	29367	terminase small subunit [Clostridium puniceum]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium puniceum
0	gi|374531850|ref|YP_005098405.1|	269	738758391	WP_036651880	232	48.23	109	207	2e-62	268407	terminase small subunit [Paenibacillus wynnii]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus wynnii
0	gi|374531850|ref|YP_005098405.1|	269	1133956798	WP_076328804	244	48	108	207	5e-62	1451	terminase small subunit [Paenibacillus amylolyticus]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus amylolyticus
0	gi|374531850|ref|YP_005098405.1|	269	1207071892	WP_087916326	248	45.99	109	207	5e-62	414771	terminase small subunit [Paenibacillus donghaensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus donghaensis
0	gi|374531850|ref|YP_005098405.1|	269	652775917	WP_027085413	231	48.18	106	207	5e-62	400776	terminase small subunit [Cohnella panacarvi]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Cohnella	Cohnella panacarvi
0	gi|374531850|ref|YP_005098405.1|	269	1172328127	WP_080711406	305	45.68	111	207	3e-61	119219	hypothetical protein [Cupriavidus metallidurans]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus metallidurans
0	gi|374531850|ref|YP_005098405.1|	269	521095000	WP_020425903	246	47.79	108	201	1e-59	483937	terminase small subunit [Paenibacillus riograndensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus riograndensis
0	gi|374531850|ref|YP_005098405.1|	269	494959887	WP_007685914	236	50.47	108	200	2e-59	41297	MULTISPECIES: terminase small subunit [Sphingomonadaceae]	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae		
0	gi|374531850|ref|YP_005098405.1|	269	1024024876	WP_063479159	230	44.16	102	199	5e-59	59843	terminase small subunit [Paenibacillus glucanolyticus]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus glucanolyticus
0	gi|374531850|ref|YP_005098405.1|	269	1333955004	WP_103046807	234	45.33	102	198	9e-59	357385	terminase small subunit [Paenibacillus sp. F4]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus sp. F4
0	gi|374531850|ref|YP_005098405.1|	269	1100979722	WP_071486892	247	45.74	102	197	5e-58	168469	terminase small subunit [Pseudomonas costantinii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas costantinii
0	gi|374531850|ref|YP_005098405.1|	269	1133775248	WP_076155906	232	45.33	102	196	5e-58	1926588	terminase small subunit [Paenibacillus sp. FSL R7-0337]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus sp. FSL R7-0337
