qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|589286278|ref|YP_009006076.1|	83	1167620590	WP_080053032	140	53.95	41	82.4	1e-17	40324	DUF4326 domain-containing protein [Stenotrophomonas maltophilia]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas maltophilia
0	gi|589286278|ref|YP_009006076.1|	83	802107925	WP_046026644	199	49.35	38	78.6	1e-15	294	DUF4326 domain-containing protein [Pseudomonas fluorescens]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas fluorescens
0	gi|589286278|ref|YP_009006076.1|	83	518196728	WP_019366936	97	50	36	75.9	2e-15	286	MULTISPECIES: DUF4326 domain-containing protein [Pseudomonas]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	
0	gi|589286278|ref|YP_009006076.1|	83	1178473027	WP_082995362	486	45.45	35	80.1	2e-15	478	DUF4326 domain-containing protein [Moraxella nonliquefaciens]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxella	Moraxella nonliquefaciens
0	gi|589286278|ref|YP_009006076.1|	83	489763950	WP_003667885	91	45.45	35	75.5	2e-15	480	DUF4326 domain-containing protein [Moraxella catarrhalis]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxella	Moraxella catarrhalis
0	gi|589286278|ref|YP_009006076.1|	83	502771615	WP_013006599	92	50.72	35	75.1	3e-15	106633	MULTISPECIES: DUF4326 domain-containing protein [Thioalkalivibrio]	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Thioalkalivibrio	
0	gi|589286278|ref|YP_009006076.1|	83	489768542	WP_003672464	91	44.16	34	74.7	4e-15	480	DUF4326 domain-containing protein [Moraxella catarrhalis]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxella	Moraxella catarrhalis
0	gi|589286278|ref|YP_009006076.1|	83	1267587005	WP_098378082	98	45.68	37	74.7	4e-15	1396	DUF4326 domain-containing protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|589286278|ref|YP_009006076.1|	83	817110609	WP_046483856	199	48.1	38	76.6	5e-15	76761	DUF4326 domain-containing protein [Pseudomonas veronii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas veronii
0	gi|589286278|ref|YP_009006076.1|	83	1167676366	WP_080077695	188	46.15	36	76.3	6e-15	28901	DUF4326 domain-containing protein [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|589286278|ref|YP_009006076.1|	83	654431397	WP_027902198	199	49.35	38	76.3	6e-15	317	DUF4326 domain-containing protein [Pseudomonas syringae]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas syringae
