qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|568191533|ref|YP_008771319.1|	200	914728004	WP_050689167	212	51.43	108	204	3e-62	86664	terminase small subunit [Bacillus flexus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus flexus
0	gi|568191533|ref|YP_008771319.1|	200	749560817	WP_040192099	194	44.16	87	150	1e-41	1499683	terminase small subunit [Clostridium sp. CL-6]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CL-6
0	gi|568191533|ref|YP_008771319.1|	200	497931701	WP_010245857	185	47.7	83	145	1e-39	35830	terminase small subunit [Acetivibrio cellulolyticus]	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Acetivibrio	Acetivibrio cellulolyticus
0	gi|568191533|ref|YP_008771319.1|	200	1233157149	WP_094551540	170	41.33	81	144	1e-39	1792311	terminase small subunit [Clostridiales bacterium SK-Y3]	Bacteria	Firmicutes	Clostridia	Clostridiales			Clostridiales bacterium SK-Y3
0	gi|568191533|ref|YP_008771319.1|	200	653173190	WP_027416220	177	45.5	91	144	2e-39	278991	terminase small subunit [Aneurinibacillus terranovensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Aneurinibacillus	Aneurinibacillus terranovensis
0	gi|568191533|ref|YP_008771319.1|	200	746261507	WP_039309635	162	40.34	71	141	2e-38	1491	terminase small subunit [Clostridium botulinum]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium botulinum
0	gi|568191533|ref|YP_008771319.1|	200	1149906518	WP_077838497	162	42.2	73	140	4e-38	1520	terminase small subunit [Clostridium beijerinckii]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium beijerinckii
0	gi|568191533|ref|YP_008771319.1|	200	1010988338	WP_061946936	175	41.27	78	139	2e-37	713030	terminase small subunit [Selenomonas sp. oral taxon 136]	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Selenomonas	Selenomonas sp. oral taxon 136
0	gi|568191533|ref|YP_008771319.1|	200	740460344	WP_038291772	188	44.51	81	139	2e-37	202772	terminase small subunit [Zooshikella ganghwensis]	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Hahellaceae	Zooshikella	Zooshikella ganghwensis
0	gi|568191533|ref|YP_008771319.1|	200	1184775376	WP_085321056	195	43	86	139	3e-37	1491	terminase small subunit [Clostridium botulinum]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium botulinum
0	gi|568191533|ref|YP_008771319.1|	200	950131570	WP_057186596	235	36.56	83	140	3e-37	1736579	terminase small subunit [Caulobacter sp. Root656]	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	Caulobacter sp. Root656
0	gi|568191533|ref|YP_008771319.1|	200	497780207	WP_010094391	194	39.5	79	138	8e-37	1147159	terminase small subunit [Ornithinibacillus scapharcae]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Ornithinibacillus	Ornithinibacillus scapharcae
0	gi|568191533|ref|YP_008771319.1|	200	501204969	WP_012247987	192	41.03	80	137	1e-36	94624	terminase small subunit [Bordetella petrii]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	Bordetella petrii
0	gi|568191533|ref|YP_008771319.1|	200	1199567654	WP_087303321	193	43.32	81	137	3e-36	169435	terminase small subunit [Anaerotruncus colihominis]	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerotruncus	Anaerotruncus colihominis
0	gi|568191533|ref|YP_008771319.1|	200	491701440	WP_005551828	194	40.91	81	136	3e-36	44250	terminase small subunit [Paenibacillus alvei]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus alvei
0	gi|568191533|ref|YP_008771319.1|	200	1184747025	WP_085296087	195	42	84	136	5e-36	1491	terminase small subunit [Clostridium botulinum]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium botulinum
0	gi|568191533|ref|YP_008771319.1|	200	1275744912	WP_099816001	193	39.09	77	136	5e-36	1751969	terminase small subunit [Pseudomonas sp. 382]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. 382
0	gi|568191533|ref|YP_008771319.1|	200	492768208	WP_005958359	168	39.9	77	135	6e-36	859	terminase small subunit [Fusobacterium necrophorum]	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium necrophorum
0	gi|568191533|ref|YP_008771319.1|	200	1057173705	WP_068556190	170	38.66	75	135	8e-36	520762	terminase small subunit [Thermotalea metallivorans]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Thermotalea	Thermotalea metallivorans
0	gi|568191533|ref|YP_008771319.1|	200	759384951	WP_043111171	253	35.5	82	137	9e-36	217090	terminase small subunit [Paenibacillus pasadenensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus pasadenensis
0	gi|568191533|ref|YP_008771319.1|	200	737969815	WP_035932847	169	39.38	76	134	2e-35	859	terminase small subunit [Fusobacterium necrophorum]	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium necrophorum
0	gi|568191533|ref|YP_008771319.1|	200	1246015679	WP_096233430	180	40.7	81	134	3e-35	1550240	terminase small subunit [Thermoanaerobacterium sp. RBIITD]	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacterales Family III. Incertae Sedis	Thermoanaerobacterium	Thermoanaerobacterium sp. RBIITD
0	gi|568191533|ref|YP_008771319.1|	200	1011808959	WP_062628650	169	38.86	75	132	7e-35	859	terminase small subunit [Fusobacterium necrophorum]	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium necrophorum
0	gi|568191533|ref|YP_008771319.1|	200	751614982	WP_041082914	191	39.09	77	133	8e-35	1491	terminase small subunit [Clostridium botulinum]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium botulinum
0	gi|568191533|ref|YP_008771319.1|	200	1011868591	WP_062686026	169	39.9	77	131	2e-34	859	terminase small subunit [Fusobacterium necrophorum]	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium necrophorum
0	gi|568191533|ref|YP_008771319.1|	200	1199488543	WP_087226660	166	44.57	78	131	2e-34	1965562	terminase small subunit [Lachnoclostridium sp. An14]	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	Lachnoclostridium sp. An14
0	gi|568191533|ref|YP_008771319.1|	200	501048633	WP_012100331	195	42.13	83	131	3e-34	1491	terminase small subunit [Clostridium botulinum]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium botulinum
0	gi|568191533|ref|YP_008771319.1|	200	546159187	WP_021801055	173	41.36	79	130	4e-34	36845	terminase small subunit [Clostridium intestinale]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium intestinale
0	gi|568191533|ref|YP_008771319.1|	200	696398729	WP_032970953	195	39.49	77	130	5e-34	103855	terminase small subunit [Bordetella hinzii]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	Bordetella hinzii
0	gi|568191533|ref|YP_008771319.1|	200	1149175666	WP_077733283	202	40.57	71	130	7e-34	643674	terminase small subunit [Paenalcaligenes hominis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Paenalcaligenes	Paenalcaligenes hominis
0	gi|568191533|ref|YP_008771319.1|	200	1223944725	WP_091976155	169	42.05	82	129	9e-34	215200	terminase small subunit [Peptostreptococcus russellii]	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptostreptococcus	Peptostreptococcus russellii
0	gi|568191533|ref|YP_008771319.1|	200	822615124	WP_046997333	162	39.2	69	128	3e-33	28197	terminase small subunit [Arcobacter butzleri]	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Arcobacter	Arcobacter butzleri
0	gi|568191533|ref|YP_008771319.1|	200	501161521	WP_012205923	210	38.42	68	129	3e-33	80866	terminase small subunit [Delftia acidovorans]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Delftia	Delftia acidovorans
