qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|509141218|ref|YP_008060091.1|	93	1333423417	WP_102981902	86	69.77	60	116	3e-31	1428	hypothetical protein [Bacillus thuringiensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
0	gi|509141219|ref|YP_008060092.1|	78	1224062622	WP_092092153	74	58.9	43	81.6	5e-18	745365	DUF3310 domain-containing protein [Pisciglobus halotolerans]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Pisciglobus	Pisciglobus halotolerans
0	gi|509141219|ref|YP_008060092.1|	78	1288392994	WP_100530769	107	50.68	37	71.2	9e-14	2054913	DUF3310 domain-containing protein [Bacillus sp. mrc49]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. mrc49
0	gi|509141219|ref|YP_008060092.1|	78	1173201823	WP_081092433	102	50.68	37	70.9	1e-13	1478	DUF3310 domain-containing protein [Bacillus simplex]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus simplex
0	gi|509141219|ref|YP_008060092.1|	78	1333423418	WP_102981903	112	55.38	36	70.1	3e-13	1428	hypothetical protein [Bacillus thuringiensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
0	gi|509141219|ref|YP_008060092.1|	78	1238402933	WP_095226809	143	51.79	29	65.9	2e-11	361277	DUF3310 domain-containing protein [Terribacillus saccharophilus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Terribacillus	Terribacillus saccharophilus
0	gi|509141219|ref|YP_008060092.1|	78	1172911560	WP_080981069	74	46.38	32	63.9	4e-11	257758	DUF3310 domain-containing protein [Streptococcus pseudopneumoniae]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pseudopneumoniae
0	gi|509141220|ref|YP_008060093.1|	160	1333423419	WP_102981904	160	76.88	123	245	1e-79	1428	hypothetical protein [Bacillus thuringiensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
0	gi|509141220|ref|YP_008060093.1|	160	1267501380	WP_098313036	163	38.22	60	96.3	1e-21	1392	hypothetical protein [Bacillus anthracis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus anthracis
0	gi|509141220|ref|YP_008060093.1|	160	1267918292	WP_098582097	163	38.22	60	95.9	2e-21	1392	hypothetical protein [Bacillus anthracis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus anthracis
0	gi|509141220|ref|YP_008060093.1|	160	1268563608	WP_098882225	163	38.22	60	95.1	4e-21	1392	hypothetical protein [Bacillus anthracis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus anthracis
0	gi|509141220|ref|YP_008060093.1|	160	446854978	WP_000932234	163	37.97	60	95.1	4e-21	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|509141220|ref|YP_008060093.1|	160	487907663	WP_001981129	163	38.22	60	93.6	1e-20	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|509141220|ref|YP_008060093.1|	160	1267294641	WP_098143991	167	35	56	92	5e-20	1890302	hypothetical protein [Bacillus wiedmannii]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus wiedmannii
0	gi|509141220|ref|YP_008060093.1|	160	872576265	WP_048532687	169	37.04	60	92	7e-20	1386	MULTISPECIES: hypothetical protein [Bacillus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
0	gi|509141220|ref|YP_008060093.1|	160	1267358313	WP_098191920	167	34.38	55	90.9	1e-19	1890302	hypothetical protein [Bacillus wiedmannii]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus wiedmannii
0	gi|509141220|ref|YP_008060093.1|	160	1209261768	WP_088311698	167	33.75	54	90.5	2e-19	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|509141220|ref|YP_008060093.1|	160	1207755161	WP_088110488	169	35.19	57	89	8e-19	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|509141220|ref|YP_008060093.1|	160	1268265777	WP_098771380	168	35.98	59	88.6	1e-18	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|509141220|ref|YP_008060093.1|	160	446854979	WP_000932235	167	33.75	54	87.8	2e-18	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|509141220|ref|YP_008060093.1|	160	1141049252	WP_076874321	168	35.76	59	87.4	3e-18	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|509141220|ref|YP_008060093.1|	160	1124311054	WP_074604273	168	35.76	59	87.4	3e-18	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|509141220|ref|YP_008060093.1|	160	1261298698	WP_097825821	167	35.37	58	87	5e-18	1428	hypothetical protein [Bacillus thuringiensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
