qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|639438592|ref|YP_009030048.1|	701	1167889684	WP_080181602	725	36.25	211	281	1e-79	28901	hypothetical protein [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|639438592|ref|YP_009030048.1|	701	1208946742	WP_088209800	725	36.25	211	278	8e-79	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|639438592|ref|YP_009030048.1|	701	1122786325	WP_074146350	725	36.08	210	276	3e-78	1496	hypothetical protein [Clostridioides difficile]	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
0	gi|639438592|ref|YP_009030048.1|	701	1296597415	WP_100771378	725	35.91	209	276	4e-78	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|639438592|ref|YP_009030048.1|	701	640401610	WP_024892447	762	32.42	130	174	2e-42	930	ATP-binding protein [Acidithiobacillus thiooxidans]	Bacteria	Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus thiooxidans
0	gi|639438592|ref|YP_009030048.1|	701	1057312555	WP_068673781	874	34.98	113	161	7e-38	34072	MULTISPECIES: ATP-binding protein [Variovorax]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	
0	gi|639438592|ref|YP_009030048.1|	701	983583808	WP_060733666	802	29.47	112	140	3e-31	95486	ATP-binding protein [Burkholderia cenocepacia]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia cenocepacia
0	gi|639438592|ref|YP_009030048.1|	701	493375781	WP_006332075	283	44.26	81	132	2e-30	1297570	hypothetical protein [Mesorhizobium sp. STM 4661]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp. STM 4661
0	gi|639438592|ref|YP_009030048.1|	701	1222655058	WP_090702921	716	31.32	114	137	5e-30	1882748	ATP-binding protein [Beijerinckia sp. 28-YEA-48]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Beijerinckia	Beijerinckia sp. 28-YEA-48
0	gi|639438592|ref|YP_009030048.1|	701	563543172	WP_023749185	665	31	102	129	1e-27	1287270	hypothetical protein [Mesorhizobium sp. LNJC386A00]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp. LNJC386A00
