qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|117530172|ref|YP_851015.1|	802	1224477396	WP_092498558	786	36.6	56	105	8e-20	1855383	hypothetical protein [bacterium A52C2]	Bacteria						bacterium A52C2
0	gi|117530172|ref|YP_851015.1|	802	984669110	WP_060772554	763	34.42	53	98.2	1e-17	925818	ATP-binding protein [Methylobacterium sp. AMS5]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium sp. AMS5
0	gi|117530172|ref|YP_851015.1|	802	640401610	WP_024892447	762	25.98	86	97.1	3e-17	930	ATP-binding protein [Acidithiobacillus thiooxidans]	Bacteria	Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus thiooxidans
0	gi|117530172|ref|YP_851015.1|	802	1056645601	WP_068074549	825	35.12	59	97.1	3e-17	1768801	hypothetical protein [Rhizobiales bacterium CCH11-D2]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales			Rhizobiales bacterium CCH11-D2
0	gi|117530172|ref|YP_851015.1|	802	739644786	WP_037500606	712	35.06	54	96.7	3e-17	392409	ATP-binding protein [Sphingomonas jaspsi]	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas jaspsi
0	gi|117530172|ref|YP_851015.1|	802	1056650432	WP_068078902	825	35.12	59	97.1	4e-17	41292	MULTISPECIES: hypothetical protein [unclassified Rhizobiales (miscellaneous)]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales			
0	gi|117530172|ref|YP_851015.1|	802	517045616	WP_018234434	825	27.85	88	96.3	6e-17	243063	hypothetical protein [Thioalkalivibrio thiocyanodenitrificans]	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Thioalkalivibrio	Thioalkalivibrio thiocyanodenitrificans
0	gi|117530172|ref|YP_851015.1|	802	1160786814	WP_079638720	656	26.24	95	95.1	1e-16	1507287	hypothetical protein [Sphingopyxis flava]	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	Sphingopyxis flava
0	gi|117530172|ref|YP_851015.1|	802	757605355	WP_042852451	660	25.68	75	94	2e-16	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|117530172|ref|YP_851015.1|	802	506228118	WP_015747893	664	35.68	66	94	2e-16	53461	ATP-binding protein [Nakamurella multipartita]	Bacteria	Actinobacteria	Actinobacteria	Nakamurellales	Nakamurellaceae	Nakamurella	Nakamurella multipartita
0	gi|117530172|ref|YP_851015.1|	802	1048173592	WP_065784095	789	31.47	62	94	3e-16	106591	MULTISPECIES: hypothetical protein [Ensifer]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ensifer	
0	gi|117530172|ref|YP_851015.1|	802	1057312555	WP_068673781	874	32.22	58	90.1	5e-15	34072	MULTISPECIES: ATP-binding protein [Variovorax]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	
0	gi|117530172|ref|YP_851015.1|	802	1160743855	WP_079602466	712	26.55	90	89.4	7e-15	1437360	hypothetical protein [Bradyrhizobium erythrophlei]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium erythrophlei
0	gi|117530172|ref|YP_851015.1|	802	563543172	WP_023749185	665	31.05	59	89	8e-15	1287270	hypothetical protein [Mesorhizobium sp. LNJC386A00]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp. LNJC386A00
0	gi|117530172|ref|YP_851015.1|	802	917658982	WP_052213509	801	30.5	61	89	1e-14	398	ATP-binding protein [Rhizobium tropici]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium tropici
0	gi|117530172|ref|YP_851015.1|	802	1184577460	WP_085142843	662	36.31	61	87.8	2e-14	59750	histidine kinase [Mycobacterium wolinskyi]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium wolinskyi
0	gi|117530172|ref|YP_851015.1|	802	493375781	WP_006332075	283	36.67	55	84	4e-14	1297570	hypothetical protein [Mesorhizobium sp. STM 4661]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp. STM 4661
0	gi|117530172|ref|YP_851015.1|	802	654889193	WP_028340895	727	34.5	59	87	4e-14	29448	hypothetical protein [Bradyrhizobium elkanii]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium elkanii
0	gi|117530172|ref|YP_851015.1|	802	1215346504	WP_089045541	802	32.14	54	86.7	6e-14	1449788	hypothetical protein [Sinorhizobium sp. LM21]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium sp. LM21
0	gi|117530172|ref|YP_851015.1|	802	890659001	WP_048895821	661	32.45	61	86.3	7e-14	451644	histidine kinase [Mycobacterium conceptionense]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium conceptionense
0	gi|117530172|ref|YP_851015.1|	802	1254251383	WP_097169849	790	30.99	53	84.3	3e-13	1855304	ATP-binding protein [Rhizobium sp. AN5]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium sp. AN5
0	gi|117530172|ref|YP_851015.1|	802	739327379	WP_037189813	695	26.14	80	83.6	4e-13	1509405	ATP-binding protein [Pseudorhizobium pelagicum]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Pseudorhizobium	Pseudorhizobium pelagicum
0	gi|117530172|ref|YP_851015.1|	802	1222655058	WP_090702921	716	25.93	98	82.8	8e-13	1882748	ATP-binding protein [Beijerinckia sp. 28-YEA-48]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Beijerinckia	Beijerinckia sp. 28-YEA-48
0	gi|117530172|ref|YP_851015.1|	802	1223406313	WP_091444331	808	32.68	50	82.4	1e-12	177413	ATP-binding protein [Ancylobacter rudongensis]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Ancylobacter	Ancylobacter rudongensis
0	gi|117530173|ref|YP_851016.1|	348	736940593	WP_034937576	344	47.84	166	350	5e-115	102232	ribonucleotide-diphosphate reductase subunit beta [Gloeocapsa sp. PCC 73106]	Bacteria	Cyanobacteria		Chroococcales	Chroococcaceae	Gloeocapsa	Gloeocapsa sp. PCC 73106
0	gi|117530173|ref|YP_851016.1|	348	1053986191	WP_066121657	344	48.41	167	346	1e-113	1617448	ribonucleotide-diphosphate reductase subunit beta [Geminocystis sp. NIES-3709]	Bacteria	Cyanobacteria		Chroococcales	Chroococcaceae	Geminocystis	Geminocystis sp. NIES-3709
0	gi|117530173|ref|YP_851016.1|	348	752786230	WP_041426086	344	48.7	168	343	2e-112	1148	ribonucleotide-diphosphate reductase subunit beta [Synechocystis sp. PCC 6803]	Bacteria	Cyanobacteria		Synechococcales	Merismopediaceae	Synechocystis	Synechocystis sp. PCC 6803
0	gi|117530173|ref|YP_851016.1|	348	1132234795	WP_075902959	344	48.4	166	342	3e-112	207920	ribonucleotide-diphosphate reductase subunit beta [Moorea bouillonii]	Bacteria	Cyanobacteria		Oscillatoriales	Oscillatoriaceae	Moorea	Moorea bouillonii
0	gi|117530173|ref|YP_851016.1|	348	495460546	WP_008185238	344	48.1	165	342	4e-112	1155739	ribonucleotide-diphosphate reductase subunit beta [Moorea producens]	Bacteria	Cyanobacteria		Oscillatoriales	Oscillatoriaceae	Moorea	Moorea producens
0	gi|117530173|ref|YP_851016.1|	348	648410360	WP_026102111	355	47.83	165	342	8e-112	669359	ribonucleotide-diphosphate reductase subunit beta [Geminocystis herdmanii]	Bacteria	Cyanobacteria		Chroococcales	Chroococcaceae	Geminocystis	Geminocystis herdmanii
0	gi|117530173|ref|YP_851016.1|	348	1186532343	WP_085433425	355	47.81	164	342	9e-112	1981054	ribonucleotide-diphosphate reductase subunit beta [unicellular cyanobacterium SU2]	Bacteria	Cyanobacteria					unicellular cyanobacterium SU2
0	gi|117530173|ref|YP_851016.1|	348	1094116362	WP_071105861	344	48.69	167	341	1e-111	1155739	ribonucleotide-diphosphate reductase subunit beta [Moorea producens]	Bacteria	Cyanobacteria		Oscillatoriales	Oscillatoriaceae	Moorea	Moorea producens
0	gi|117530173|ref|YP_851016.1|	348	753009379	WP_041487895	352	48.09	164	341	1e-111	713887	ribonucleotide-diphosphate reductase subunit beta [Candidatus Atelocyanobacterium thalassa]	Bacteria	Cyanobacteria		Chroococcales	Aphanothecaceae	Candidatus Atelocyanobacterium	Candidatus Atelocyanobacterium thalassa
0	gi|117530173|ref|YP_851016.1|	348	1084332802	WP_070396860	344	48.1	165	340	4e-111	1155739	ribonucleotide-diphosphate reductase subunit beta [Moorea producens]	Bacteria	Cyanobacteria		Oscillatoriales	Oscillatoriaceae	Moorea	Moorea producens
0	gi|117530173|ref|YP_851016.1|	348	754134511	WP_041765816	344	47.8	163	338	1e-110	111781	ribonucleotide-diphosphate reductase subunit beta [Leptolyngbya sp. PCC 7376]	Bacteria	Cyanobacteria		Synechococcales	Leptolyngbyaceae	Leptolyngbya	Leptolyngbya sp. PCC 7376
0	gi|117530173|ref|YP_851016.1|	348	750616351	WP_040898219	344	47.52	163	338	1e-110	102125	ribonucleotide-diphosphate reductase subunit beta [Xenococcus sp. PCC 7305]	Bacteria	Cyanobacteria		Pleurocapsales	Xenococcaceae	Xenococcus	Xenococcus sp. PCC 7305
0	gi|117530173|ref|YP_851016.1|	348	1054574666	WP_066343811	355	47.83	165	338	2e-110	1615909	ribonucleotide-diphosphate reductase subunit beta [Geminocystis sp. NIES-3708]	Bacteria	Cyanobacteria		Chroococcales	Chroococcaceae	Geminocystis	Geminocystis sp. NIES-3708
0	gi|117530173|ref|YP_851016.1|	348	738535617	WP_036484022	344	47.52	163	338	2e-110	1541065	ribonucleotide-diphosphate reductase subunit beta [Myxosarcina sp. GI1]	Bacteria	Cyanobacteria		Pleurocapsales	Hyellaceae	Myxosarcina	Myxosarcina sp. GI1
0	gi|117530173|ref|YP_851016.1|	348	763236328	WP_044106409	355	46.55	162	337	6e-110	718217	ribonucleotide-diphosphate reductase subunit beta [cyanobacterium endosymbiont of Epithemia turgida]	Bacteria	Cyanobacteria					cyanobacterium endosymbiont of Epithemia turgida
0	gi|117530173|ref|YP_851016.1|	348	506265507	WP_015785282	355	47.52	163	337	6e-110	395962	ribonucleotide-diphosphate reductase subunit beta [Cyanothece sp. PCC 8802]	Bacteria	Cyanobacteria		Oscillatoriales	Cyanothecaceae	Cyanothece	Cyanothece sp. PCC 8802
0	gi|117530173|ref|YP_851016.1|	348	738913888	WP_036800765	344	47.52	163	337	7e-110	118161	ribonucleotide-diphosphate reductase subunit beta [Pleurocapsa sp. PCC 7319]	Bacteria	Cyanobacteria		Pleurocapsales	Hyellaceae	Pleurocapsa	Pleurocapsa sp. PCC 7319
0	gi|117530173|ref|YP_851016.1|	348	1121287147	WP_073599749	352	46.84	163	337	8e-110	1616834	ribonucleotide-diphosphate reductase subunit beta [Hydrococcus rivularis]	Bacteria	Cyanobacteria		Pleurocapsales	Hydrococcaceae	Hydrococcus	Hydrococcus rivularis
0	gi|117530173|ref|YP_851016.1|	348	1132224421	WP_075892740	344	46.94	161	336	1e-109	71188	ribonucleotide-diphosphate reductase subunit beta [Limnothrix rosea]	Bacteria	Cyanobacteria		Synechococcales	Pseudanabaenaceae	Limnothrix	Limnothrix rosea
0	gi|117530173|ref|YP_851016.1|	348	752745310	WP_041392432	352	47.52	163	336	2e-109	54308	ribonucleotide-diphosphate reductase subunit beta [Pleurocapsa minor]	Bacteria	Cyanobacteria		Pleurocapsales	Hyellaceae	Pleurocapsa	Pleurocapsa minor
0	gi|117530173|ref|YP_851016.1|	348	752558466	WP_041229695	355	47.52	163	336	2e-109	41431	ribonucleotide-diphosphate reductase subunit beta [Cyanothece sp. PCC 8801]	Bacteria	Cyanobacteria		Oscillatoriales	Cyanothecaceae	Cyanothece	Cyanothece sp. PCC 8801
0	gi|117530173|ref|YP_851016.1|	348	553733386	WP_023068030	344	46.94	161	335	2e-109	118322	ribonucleotide-diphosphate reductase subunit beta [Lyngbya aestuarii]	Bacteria	Cyanobacteria		Oscillatoriales	Oscillatoriaceae	Lyngbya	Lyngbya aestuarii
0	gi|117530173|ref|YP_851016.1|	348	748637391	WP_039895568	344	46.94	161	334	5e-109	313612	ribonucleotide-diphosphate reductase subunit beta [Lyngbya sp. PCC 8106]	Bacteria	Cyanobacteria		Oscillatoriales	Oscillatoriaceae	Lyngbya	Lyngbya sp. PCC 8106
0	gi|117530173|ref|YP_851016.1|	348	488844760	WP_002757166	355	46.09	159	334	7e-109	1126	ribonucleotide-diphosphate reductase subunit beta [Microcystis aeruginosa]	Bacteria	Cyanobacteria		Chroococcales	Microcystaceae	Microcystis	Microcystis aeruginosa
0	gi|117530173|ref|YP_851016.1|	348	752804311	WP_041443740	344	47.8	163	334	7e-109	1129	MULTISPECIES: ribonucleotide-diphosphate reductase subunit beta [Synechococcus]	Bacteria	Cyanobacteria		Synechococcales	Synechococcaceae	Synechococcus	
