qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|282598939|ref|YP_003358856.1|	966	640401610	WP_024892447	762	28.42	83	114	1e-22	930	ATP-binding protein [Acidithiobacillus thiooxidans]	Bacteria	Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus thiooxidans
0	gi|282598939|ref|YP_003358856.1|	966	563543172	WP_023749185	665	30.29	83	108	1e-20	1287270	hypothetical protein [Mesorhizobium sp. LNJC386A00]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp. LNJC386A00
0	gi|282598939|ref|YP_003358856.1|	966	739644786	WP_037500606	712	29.35	91	105	7e-20	392409	ATP-binding protein [Sphingomonas jaspsi]	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas jaspsi
0	gi|282598939|ref|YP_003358856.1|	966	757527079	WP_042789473	667	25.08	83	102	1e-18	36809	histidine kinase [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|282598939|ref|YP_003358856.1|	966	1285220236	WP_100524636	667	25.08	83	101	1e-18	36809	histidine kinase [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|282598939|ref|YP_003358856.1|	966	1160743855	WP_079602466	712	31.91	90	100	2e-18	1437360	hypothetical protein [Bradyrhizobium erythrophlei]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium erythrophlei
0	gi|282598939|ref|YP_003358856.1|	966	1285217405	WP_100522283	666	24.77	82	100	2e-18	36809	histidine kinase [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|282598939|ref|YP_003358856.1|	966	918718463	WP_052583298	667	25.08	83	100	3e-18	36809	histidine kinase [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|282598939|ref|YP_003358856.1|	966	491245801	WP_005104001	666	24.77	82	100	4e-18	36809	histidine kinase [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|282598939|ref|YP_003358856.1|	966	1160821662	WP_079670057	666	24.77	82	100	4e-18	36809	histidine kinase [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|282598939|ref|YP_003358856.1|	966	1123635287	WP_074322575	666	24.77	82	99.8	5e-18	36809	histidine kinase [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|282598939|ref|YP_003358856.1|	966	1160733208	WP_079592323	666	24.77	82	99.4	6e-18	36809	histidine kinase [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|282598939|ref|YP_003358856.1|	966	1093728967	WP_070948166	665	27.65	81	99.4	7e-18	1774	histidine kinase [Mycobacterium chelonae]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium chelonae
0	gi|282598939|ref|YP_003358856.1|	966	1123807484	WP_074354334	657	24.77	82	99.4	7e-18	36809	histidine kinase [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|282598939|ref|YP_003358856.1|	966	916800296	WP_051407352	702	27.04	83	99	9e-18	1169152	ATP-binding protein [Nocardia sp. CNY236]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia sp. CNY236
0	gi|282598939|ref|YP_003358856.1|	966	918668346	WP_052539177	666	24.77	82	99	9e-18	670516	MULTISPECIES: histidine kinase [Mycobacterium chelonae group]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	
0	gi|282598939|ref|YP_003358856.1|	966	1160779694	WP_079633224	666	24.47	81	98.2	1e-17	36809	histidine kinase [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|282598939|ref|YP_003358856.1|	966	896236731	WP_049234797	666	24.47	81	98.2	2e-17	670516	MULTISPECIES: histidine kinase [Mycobacterium chelonae group]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	
0	gi|282598939|ref|YP_003358856.1|	966	953308896	WP_057969509	666	24.47	81	98.2	2e-17	670516	MULTISPECIES: histidine kinase [Mycobacterium chelonae group]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	
0	gi|282598939|ref|YP_003358856.1|	966	1123532058	WP_074246273	666	24.47	81	98.2	2e-17	36809	histidine kinase [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|282598939|ref|YP_003358856.1|	966	918629284	WP_052524964	666	24.47	81	98.2	2e-17	36809	histidine kinase [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|282598939|ref|YP_003358856.1|	966	1123793131	WP_074342530	666	24.47	81	98.2	2e-17	36809	histidine kinase [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|282598939|ref|YP_003358856.1|	966	918699715	WP_052569011	667	24.47	81	97.8	2e-17	36809	histidine kinase [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|282598939|ref|YP_003358856.1|	966	1123641977	WP_074323914	666	24.17	80	97.4	3e-17	36809	histidine kinase [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|282598939|ref|YP_003358856.1|	966	1016075478	WP_062919844	667	24.47	81	97.4	3e-17	36809	histidine kinase [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|282598939|ref|YP_003358856.1|	966	1178498261	WP_083019737	666	24.77	82	97.4	3e-17	670516	MULTISPECIES: histidine kinase [Mycobacterium chelonae group]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	
0	gi|282598939|ref|YP_003358856.1|	966	1122786325	WP_074146350	725	27.75	96	97.4	3e-17	1496	hypothetical protein [Clostridioides difficile]	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
0	gi|282598939|ref|YP_003358856.1|	966	1296597415	WP_100771378	725	27.38	95	97.4	3e-17	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
