qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|418489112|ref|YP_007002966.1|	165	503205079	WP_013439740	168	98.18	162	328	4e-112	1584	phage terminase small subunit P27 family [Lactobacillus delbrueckii]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus delbrueckii
0	gi|418489112|ref|YP_007002966.1|	165	822518431	WP_046948834	154	43.56	71	122	2e-31	1613	phage terminase small subunit P27 family [Lactobacillus fermentum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus fermentum
0	gi|418489112|ref|YP_007002966.1|	165	1325982385	WP_101850294	160	42.94	70	121	4e-31	109790	phage terminase small subunit P27 family [Lactobacillus jensenii]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus jensenii
0	gi|418489112|ref|YP_007002966.1|	165	736524449	WP_034539621	151	43.36	62	118	6e-30	97478	phage terminase small subunit P27 family [Lactobacillus mucosae]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus mucosae
0	gi|418489112|ref|YP_007002966.1|	165	1237044243	WP_095182875	152	45.03	68	117	1e-29	33959	phage terminase small subunit P27 family [Lactobacillus johnsonii]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus johnsonii
0	gi|418489112|ref|YP_007002966.1|	165	921161486	WP_053107551	152	45.03	68	115	4e-29	33959	phage terminase small subunit P27 family [Lactobacillus johnsonii]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus johnsonii
0	gi|418489112|ref|YP_007002966.1|	165	495745869	WP_008470448	156	45.21	66	115	4e-29	1203033	phage terminase small subunit P27 family [Lactobacillus hominis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus hominis
0	gi|418489112|ref|YP_007002966.1|	165	1051359664	WP_065867695	152	45.77	65	115	5e-29	1598	phage terminase small subunit P27 family [Lactobacillus reuteri]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus reuteri
0	gi|418489112|ref|YP_007002966.1|	165	489762068	WP_003666008	152	45.77	65	115	6e-29	1598	phage terminase small subunit P27 family [Lactobacillus reuteri]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus reuteri
0	gi|418489112|ref|YP_007002966.1|	165	951348595	WP_057727779	154	42.33	69	115	8e-29	1613	phage terminase small subunit P27 family [Lactobacillus fermentum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus fermentum
0	gi|418489112|ref|YP_007002966.1|	165	1233091871	WP_094495949	152	45.77	65	114	2e-28	508451	phage terminase small subunit P27 family [Lactobacillus taiwanensis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus taiwanensis
0	gi|418489112|ref|YP_007002966.1|	165	1040952498	WP_065169594	152	45.07	64	113	4e-28	1596	phage terminase small subunit P27 family [Lactobacillus gasseri]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus gasseri
0	gi|418489112|ref|YP_007002966.1|	165	1228026730	WP_094128224	150	35.92	51	101	2e-23	1601	phage terminase small subunit P27 family [Lactobacillus agilis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus agilis
0	gi|418489112|ref|YP_007002966.1|	165	951441273	WP_057813891	153	41.55	59	95.1	4e-21	938155	phage terminase small subunit P27 family [Lactobacillus futsaii]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus futsaii
0	gi|418489112|ref|YP_007002966.1|	165	1328081481	WP_102196253	153	40.85	58	94.4	7e-21	1993540	phage terminase small subunit P27 family [Lactobacillus sp. SYF10-1a]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus sp. SYF10-1a
0	gi|418489112|ref|YP_007002966.1|	165	750164074	WP_040468148	153	34.46	51	92.4	4e-20	227942	phage terminase small subunit P27 family [Lactobacillus gastricus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus gastricus
