qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|526176406|ref|YP_008240232.1|	83	757128795	WP_042683115	83	97.59	81	157	2e-47	1347392	hypothetical protein [Anaerosalibacter massiliensis]	Bacteria	Firmicutes	Tissierellia	Tissierellales	Tissierellaceae	Anaerosalibacter	Anaerosalibacter massiliensis
0	gi|526176406|ref|YP_008240232.1|	83	950834250	WP_057524393	83	93.98	78	153	9e-46	28901	hypothetical protein [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|526176407|ref|YP_008240233.1|	83	950834249	WP_057524392	84	65.48	55	102	9e-26	28901	hypothetical protein [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|526176407|ref|YP_008240233.1|	83	757787052	WP_043004877	83	46.34	38	66.6	4e-12	285	hypothetical protein [Comamonas testosteroni]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas	Comamonas testosteroni
0	gi|526176408|ref|YP_008240234.1|	68	950834289	WP_057524432	68	95.59	65	135	4e-39	28901	hypothetical protein [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|526176409|ref|YP_008240235.1|	386	950834247	WP_057524390	389	93.57	364	692	0	28901	hypothetical protein [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|526176410|ref|YP_008240236.1|	73	950834246	WP_057524389	73	98.63	72	147	7e-44	28901	hypothetical protein [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|526176411|ref|YP_008240237.1|	182	950834245	WP_057524388	182	95.6	174	357	5e-123	28901	hypothetical protein [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|526176412|ref|YP_008240238.1|	67	506590058	WP_016056095	67	100	67	140	4e-41	28901	hypothetical protein [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|526176413|ref|YP_008240239.1|	207	950834244	WP_057524387	207	96.14	199	411	1e-143	28901	hypothetical protein [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|526176413|ref|YP_008240239.1|	207	655515209	WP_028896268	196	30.43	63	88.2	7e-18	1392486	hypothetical protein [Prevotella sp. HUN102]	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella sp. HUN102
0	gi|526176413|ref|YP_008240239.1|	207	763374546	WP_044231764	196	30	63	87.4	1e-17	1515617	hypothetical protein [Porphyromonas sp. COT-290 OH3588]	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Porphyromonas sp. COT-290 OH3588
0	gi|526176413|ref|YP_008240239.1|	207	985591654	WP_060831432	196	30.95	65	87	2e-17	28112	hypothetical protein [Tannerella forsythia]	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Tannerella	Tannerella forsythia
0	gi|526176413|ref|YP_008240239.1|	207	1275828898	WP_099895704	196	29.38	62	87	2e-17	837	hypothetical protein [Porphyromonas gingivalis]	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Porphyromonas gingivalis
0	gi|526176413|ref|YP_008240239.1|	207	738964142	WP_036848003	196	29.38	62	87	2e-17	836	MULTISPECIES: hypothetical protein [Porphyromonas]	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	
0	gi|526176413|ref|YP_008240239.1|	207	495839469	WP_008564048	196	29.52	62	85.9	5e-17	838	MULTISPECIES: hypothetical protein [Prevotella]	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	
0	gi|526176413|ref|YP_008240239.1|	207	1277279442	WP_099995827	196	30	63	85.9	6e-17	28131	hypothetical protein [Prevotella intermedia]	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella intermedia
