qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|299778957|ref|YP_003734151.1|	740	1296597415	WP_100771378	725	54.14	399	795	0	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|299778957|ref|YP_003734151.1|	740	1208946742	WP_088209800	725	54.19	401	790	0	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|299778957|ref|YP_003734151.1|	740	1167889684	WP_080181602	725	53.73	396	786	0	28901	hypothetical protein [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|299778957|ref|YP_003734151.1|	740	1122786325	WP_074146350	725	53.6	395	782	0	1496	hypothetical protein [Clostridioides difficile]	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
0	gi|299778957|ref|YP_003734151.1|	740	640401610	WP_024892447	762	34.35	101	157	1e-36	930	ATP-binding protein [Acidithiobacillus thiooxidans]	Bacteria	Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus thiooxidans
0	gi|299778957|ref|YP_003734151.1|	740	739644786	WP_037500606	712	32.62	122	150	1e-34	392409	ATP-binding protein [Sphingomonas jaspsi]	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas jaspsi
0	gi|299778957|ref|YP_003734151.1|	740	1048173592	WP_065784095	789	32.65	112	146	7e-33	106591	MULTISPECIES: hypothetical protein [Ensifer]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ensifer	
0	gi|299778957|ref|YP_003734151.1|	740	1215346504	WP_089045541	802	31.93	106	145	1e-32	1449788	hypothetical protein [Sinorhizobium sp. LM21]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium sp. LM21
0	gi|299778957|ref|YP_003734151.1|	740	1224477396	WP_092498558	786	32.55	111	144	4e-32	1855383	hypothetical protein [bacterium A52C2]	Bacteria						bacterium A52C2
0	gi|299778957|ref|YP_003734151.1|	740	517045616	WP_018234434	825	40.51	79	134	4e-29	243063	hypothetical protein [Thioalkalivibrio thiocyanodenitrificans]	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Thioalkalivibrio	Thioalkalivibrio thiocyanodenitrificans
0	gi|299778957|ref|YP_003734151.1|	740	983583808	WP_060733666	802	29.89	110	130	5e-28	95486	ATP-binding protein [Burkholderia cenocepacia]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia cenocepacia
0	gi|299778957|ref|YP_003734151.1|	740	1160743855	WP_079602466	712	31.97	94	126	2e-26	1437360	hypothetical protein [Bradyrhizobium erythrophlei]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium erythrophlei
0	gi|299778957|ref|YP_003734151.1|	740	984669110	WP_060772554	763	30.36	92	125	2e-26	925818	ATP-binding protein [Methylobacterium sp. AMS5]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium sp. AMS5
0	gi|299778957|ref|YP_003734151.1|	740	1160786814	WP_079638720	656	30.72	98	123	1e-25	1507287	hypothetical protein [Sphingopyxis flava]	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	Sphingopyxis flava
0	gi|299778957|ref|YP_003734151.1|	740	917658982	WP_052213509	801	28.02	95	122	3e-25	398	ATP-binding protein [Rhizobium tropici]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium tropici
0	gi|299778957|ref|YP_003734151.1|	740	1057312555	WP_068673781	874	37.24	73	121	7e-25	34072	MULTISPECIES: ATP-binding protein [Variovorax]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	
0	gi|299778957|ref|YP_003734151.1|	740	985864693	WP_060911982	697	28.16	87	120	1e-24	1355477	ATP-binding protein [Bradyrhizobium diazoefficiens]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium diazoefficiens
0	gi|299778957|ref|YP_003734151.1|	740	654889193	WP_028340895	727	30.36	92	120	1e-24	29448	hypothetical protein [Bradyrhizobium elkanii]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium elkanii
0	gi|299778957|ref|YP_003734151.1|	740	1119688789	WP_072607579	662	29.82	85	119	1e-24	1670800	hypothetical protein [Mesorhizobium sp. B7]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp. B7
0	gi|299778957|ref|YP_003734151.1|	740	1254251383	WP_097169849	790	28.3	88	116	3e-23	1855304	ATP-binding protein [Rhizobium sp. AN5]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium sp. AN5
0	gi|299778957|ref|YP_003734151.1|	740	493375781	WP_006332075	283	35.94	69	110	8e-23	1297570	hypothetical protein [Mesorhizobium sp. STM 4661]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp. STM 4661
0	gi|299778957|ref|YP_003734151.1|	740	1011199903	WP_062120275	805	29.87	95	113	2e-22	1637747	ATP-binding protein [Aureimonas sp. AU40]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Aurantimonadaceae	Aureimonas	Aureimonas sp. AU40
