qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|119953679|ref|YP_950599.1|	144	506517169	WP_015984388	144	100	144	292	1e-98	1279	MULTISPECIES: terminase small subunit [Staphylococcus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	
0	gi|119953679|ref|YP_950599.1|	144	896439661	WP_049371054	144	98.61	142	290	1e-97	1282	terminase small subunit [Staphylococcus epidermidis]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis
0	gi|119953679|ref|YP_950599.1|	144	488387504	WP_002456889	144	98.61	142	289	1e-97	1279	MULTISPECIES: terminase small subunit [Staphylococcus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	
0	gi|119953679|ref|YP_950599.1|	144	488401458	WP_002470843	144	98.61	142	288	3e-97	1282	terminase small subunit [Staphylococcus epidermidis]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis
0	gi|119953679|ref|YP_950599.1|	144	1035759601	WP_064582258	144	97.92	141	288	6e-97	1282	terminase small subunit [Staphylococcus epidermidis]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis
0	gi|119953679|ref|YP_950599.1|	144	1275705441	WP_099779755	144	97.22	140	287	8e-97	1282	terminase small subunit [Staphylococcus epidermidis]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis
0	gi|119953679|ref|YP_950599.1|	144	896463577	WP_049387168	144	97.22	140	286	2e-96	1282	terminase small subunit [Staphylococcus epidermidis]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis
0	gi|119953679|ref|YP_950599.1|	144	488426006	WP_002495391	144	95.83	138	282	7e-95	1282	terminase small subunit [Staphylococcus epidermidis]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis
0	gi|119953679|ref|YP_950599.1|	144	896441006	WP_049372083	144	95.14	137	281	2e-94	1282	terminase small subunit [Staphylococcus epidermidis]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis
0	gi|119953679|ref|YP_950599.1|	144	488434969	WP_002504354	144	94.44	136	280	1e-93	1282	terminase small subunit [Staphylococcus epidermidis]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis
