qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|17488504|ref|NP_510982.1|	119	489831147	WP_003734883	119	100	119	244	1e-80	1639	hypothetical protein [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|17488504|ref|NP_510982.1|	119	1092875042	WP_070784255	120	98.33	118	239	2e-78	1639	terminase [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|17488504|ref|NP_510982.1|	119	998218432	WP_061092548	120	97.5	117	234	7e-77	1639	terminase [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|17488504|ref|NP_510982.1|	119	1005608590	WP_061691433	120	94.17	113	229	1e-74	1639	hypothetical protein [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|17488504|ref|NP_510982.1|	119	740499300	WP_038330179	120	92.5	111	223	4e-72	1639	terminase [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|17488504|ref|NP_510982.1|	119	1225304445	WP_093315357	105	41.3	38	79.7	2e-16	159292	RNA polymerase subunit sigma-70 [Tindallia californiensis]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Tindallia	Tindallia californiensis
0	gi|17488504|ref|NP_510982.1|	119	1177664763	WP_082754422	102	43.43	43	77	2e-15	28446	RNA polymerase subunit sigma-70 [Anaerotignum propionicum]	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerotignum	Anaerotignum propionicum
0	gi|17488504|ref|NP_510982.1|	119	1053754542	WP_066052104	105	43.43	43	77	2e-15	28446	RNA polymerase subunit sigma-70 [Anaerotignum propionicum]	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerotignum	Anaerotignum propionicum
0	gi|17488504|ref|NP_510982.1|	119	500208709	WP_011878916	104	41.94	39	75.5	8e-15	59610	hypothetical protein [Desulfotomaculum reducens]	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Desulfotomaculum	Desulfotomaculum reducens
0	gi|17488504|ref|NP_510982.1|	119	933772237	WP_054337914	101	45.45	40	74.3	2e-14	33038	RNA polymerase subunit sigma-70 [[Ruminococcus] gnavus]	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	[Ruminococcus] gnavus
