qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|431809797|ref|YP_007236687.1|	103	953530074	WP_058011801	170	47.47	47	89.4	1e-19	1590	terminase small subunit [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
0	gi|431809797|ref|YP_007236687.1|	103	657013826	WP_029257904	166	53.41	47	88.2	3e-19	1255	terminase small subunit [Pediococcus pentosaceus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Pediococcus pentosaceus
0	gi|431809797|ref|YP_007236687.1|	103	1216914266	WP_089178303	170	46.46	46	87.4	5e-19	1590	terminase small subunit [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
0	gi|431809797|ref|YP_007236687.1|	103	1221836349	WP_089940533	164	53.66	44	87.4	5e-19	1855370	terminase small subunit [Leuconostocaceae bacterium R-53105]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae		Leuconostocaceae bacterium R-53105
0	gi|431809797|ref|YP_007236687.1|	103	1227864289	WP_094104545	166	51.14	45	86.3	1e-18	1255	terminase small subunit [Pediococcus pentosaceus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Pediococcus pentosaceus
0	gi|431809797|ref|YP_007236687.1|	103	657712796	WP_029509788	169	53.09	43	86.7	1e-18	1246	terminase small subunit [Leuconostoc lactis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc	Leuconostoc lactis
0	gi|431809797|ref|YP_007236687.1|	103	1101992682	WP_071542636	172	50	48	86.3	2e-18	1590	terminase small subunit [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
0	gi|431809797|ref|YP_007236687.1|	103	1171006306	WP_080567321	117	48.48	48	84.7	2e-18	33964	terminase small subunit [Leuconostoc citreum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc	Leuconostoc citreum
0	gi|431809797|ref|YP_007236687.1|	103	1028087531	WP_063845681	170	45.45	45	85.9	2e-18	1590	terminase small subunit [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
0	gi|431809797|ref|YP_007236687.1|	103	942118812	WP_055308130	169	51.85	42	84.7	6e-18	1246	terminase small subunit [Leuconostoc lactis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc	Leuconostoc lactis
0	gi|431809797|ref|YP_007236687.1|	103	880976664	WP_048701027	169	53.85	42	84.7	6e-18	33964	terminase small subunit [Leuconostoc citreum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc	Leuconostoc citreum
0	gi|431809797|ref|YP_007236687.1|	103	749542254	WP_040177052	169	48.48	48	84.7	6e-18	33964	terminase small subunit [Leuconostoc citreum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc	Leuconostoc citreum
0	gi|431809797|ref|YP_007236687.1|	103	1180515966	WP_084013388	168	46.08	47	84.7	7e-18	1243	MULTISPECIES: terminase small subunit [Leuconostoc]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc	
0	gi|431809797|ref|YP_007236687.1|	103	491050816	WP_004912467	168	46.08	47	84.3	8e-18	33968	terminase small subunit [Leuconostoc pseudomesenteroides]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc	Leuconostoc pseudomesenteroides
0	gi|431809797|ref|YP_007236687.1|	103	915761595	WP_050884098	168	47.47	47	84.3	8e-18	1245	terminase small subunit [Leuconostoc mesenteroides]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc	Leuconostoc mesenteroides
0	gi|431809797|ref|YP_007236687.1|	103	502869081	WP_013104057	171	52.44	43	84.3	8e-18	136609	terminase small subunit [Leuconostoc kimchii]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc	Leuconostoc kimchii
0	gi|431809797|ref|YP_007236687.1|	103	755143447	WP_042493468	163	45.45	45	84	1e-17	46256	terminase small subunit [Weissella hellenica]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Weissella	Weissella hellenica
0	gi|431809797|ref|YP_007236687.1|	103	1024267740	WP_063489882	172	48.96	47	84	1e-17	1590	terminase small subunit [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
0	gi|431809797|ref|YP_007236687.1|	103	1140798121	WP_076657663	172	46.88	45	84	1e-17	1590	terminase small subunit [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
0	gi|431809797|ref|YP_007236687.1|	103	1172391563	WP_080769740	211	49.46	46	84.3	2e-17	1580	terminase small subunit [Lactobacillus brevis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus brevis
0	gi|431809797|ref|YP_007236687.1|	103	1024264416	WP_063488549	172	46.88	45	83.2	2e-17	1590	terminase small subunit [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
0	gi|431809797|ref|YP_007236687.1|	103	1181050821	WP_084459541	168	45.1	46	83.2	2e-17	1246	terminase small subunit [Leuconostoc lactis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc	Leuconostoc lactis
0	gi|431809797|ref|YP_007236687.1|	103	497686921	WP_010001105	168	45.1	46	83.2	3e-17	1246	terminase small subunit [Leuconostoc lactis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc	Leuconostoc lactis
0	gi|431809797|ref|YP_007236687.1|	103	915802210	WP_050895394	168	46.08	47	82.8	3e-17	1245	terminase small subunit [Leuconostoc mesenteroides]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc	Leuconostoc mesenteroides
0	gi|431809797|ref|YP_007236687.1|	103	1180517627	WP_084014772	168	48.04	49	82.8	3e-17	1245	terminase small subunit [Leuconostoc mesenteroides]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc	Leuconostoc mesenteroides
0	gi|431809797|ref|YP_007236687.1|	103	1140776617	WP_076638556	172	44.79	43	82.8	4e-17	1590	terminase small subunit [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
0	gi|431809797|ref|YP_007236687.1|	103	802132479	WP_046039878	172	44.79	43	82.4	4e-17	1590	terminase small subunit [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
0	gi|431809797|ref|YP_007236687.1|	103	935439442	WP_054396007	172	44.79	43	82.4	5e-17	1590	terminase small subunit [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
0	gi|431809797|ref|YP_007236687.1|	103	942117410	WP_055307734	169	52.56	41	82.4	5e-17	1246	terminase small subunit [Leuconostoc lactis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc	Leuconostoc lactis
0	gi|431809797|ref|YP_007236687.1|	103	513803123	WP_016511177	172	44.79	43	82.4	5e-17	1590	terminase small subunit [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
0	gi|431809797|ref|YP_007236687.1|	103	727086897	WP_033608061	171	51.22	42	82.4	5e-17	1590	terminase small subunit [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
0	gi|431809797|ref|YP_007236687.1|	103	1035678377	WP_064522744	179	50	42	82.4	5e-17	1590	terminase small subunit [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
0	gi|431809797|ref|YP_007236687.1|	103	1189278277	WP_085699249	171	47.47	47	82.4	5e-17	33964	terminase small subunit [Leuconostoc citreum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc	Leuconostoc citreum
0	gi|431809797|ref|YP_007236687.1|	103	1140803497	WP_076661904	175	50	48	82	7e-17	1590	terminase small subunit [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
0	gi|431809797|ref|YP_007236687.1|	103	1008821380	WP_061871569	171	52.44	43	81.6	9e-17	1590	terminase small subunit [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
0	gi|431809797|ref|YP_007236687.1|	103	1051698670	WP_065928800	168	47.87	45	81.3	1e-16	240427	terminase small subunit [Lactobacillus paracollinoides]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus paracollinoides
0	gi|431809797|ref|YP_007236687.1|	103	1077971271	WP_070085420	169	44.9	44	80.9	2e-16	1590	terminase small subunit [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
0	gi|431809797|ref|YP_007236687.1|	103	737194910	WP_035180530	169	50	44	80.9	2e-16	390841	terminase small subunit [Lactobacillus farraginis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus farraginis
0	gi|431809797|ref|YP_007236687.1|	103	488917370	WP_002828445	168	45.45	45	80.1	3e-16	1249	terminase small subunit [Weissella paramesenteroides]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Weissella	Weissella paramesenteroides
0	gi|431809797|ref|YP_007236687.1|	103	1140774055	WP_076636635	175	48.78	40	80.1	3e-16	1590	terminase small subunit [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
0	gi|431809797|ref|YP_007236687.1|	103	755142686	WP_042492709	162	45.16	42	80.1	3e-16	46256	terminase small subunit [Weissella hellenica]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Weissella	Weissella hellenica
0	gi|431809797|ref|YP_007236687.1|	103	1140774940	WP_076637281	172	47.92	46	80.1	3e-16	1590	terminase small subunit [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
