qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|147917326|ref|YP_001218809.1|	536	502728537	WP_012963521	470	23.67	98	101	2e-19	940	hypothetical protein [Hydrogenobacter thermophilus]	Bacteria	Aquificae	Aquificae	Aquificales	Aquificaceae	Hydrogenobacter	Hydrogenobacter thermophilus
0	gi|147917326|ref|YP_001218809.1|	536	502728203	WP_012963187	464	26.19	110	99.8	7e-19	940	hypothetical protein [Hydrogenobacter thermophilus]	Bacteria	Aquificae	Aquificae	Aquificales	Aquificaceae	Hydrogenobacter	Hydrogenobacter thermophilus
0	gi|147917326|ref|YP_001218809.1|	536	916676793	WP_051283884	555	25.47	121	97.4	6e-18	153026	hypothetical protein [Desulforegula conservatrix]	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulforegula	Desulforegula conservatrix
0	gi|147917326|ref|YP_001218809.1|	536	496516188	WP_009224471	587	28.29	73	87.8	7e-15	652715	hypothetical protein [Paenibacillus sp. oral taxon 786]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus sp. oral taxon 786
0	gi|147917326|ref|YP_001218809.1|	536	1045299604	WP_065432050	529	25.62	104	85.9	3e-14	45658	hypothetical protein [Vibrio scophthalmi]	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio scophthalmi
0	gi|147917326|ref|YP_001218809.1|	536	545628212	WP_021749791	591	26.14	63	85.5	4e-14	459786	MULTISPECIES: hypothetical protein [Oscillibacter]	Bacteria	Firmicutes	Clostridia	Clostridiales	Oscillospiraceae	Oscillibacter	
0	gi|147917326|ref|YP_001218809.1|	536	488667608	WP_002596418	587	26.03	76	84.7	7e-14	1506553	MULTISPECIES: hypothetical protein [Lachnoclostridium]	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	
0	gi|147917326|ref|YP_001218809.1|	536	750075278	WP_040379962	587	26.03	76	84.7	8e-14	358743	hypothetical protein [[Clostridium] citroniae]	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	[Clostridium] citroniae
0	gi|147917326|ref|YP_001218809.1|	536	496269811	WP_008982023	590	28.24	72	84	1e-13	552398	hypothetical protein [Ruminococcaceae bacterium D16]	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		Ruminococcaceae bacterium D16
0	gi|147917326|ref|YP_001218809.1|	536	1304474270	WP_100932748	590	28.24	72	84	1e-13	2044259	hypothetical protein [Clostridium sp. HMb25]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. HMb25
0	gi|147917326|ref|YP_001218809.1|	536	692301062	WP_032122032	585	27.09	68	83.6	2e-13	1499689	hypothetical protein [Clostridium sp. LF2]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium amazonitimonense
0	gi|147917326|ref|YP_001218809.1|	536	493929313	WP_006873942	584	25.48	66	82.8	3e-13	169435	hypothetical protein [Anaerotruncus colihominis]	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerotruncus	Anaerotruncus colihominis
0	gi|147917326|ref|YP_001218809.1|	536	646321724	WP_025489962	588	25.57	79	82.4	4e-13	1232457	hypothetical protein [Clostridiales bacterium VE202-27]	Bacteria	Firmicutes	Clostridia	Clostridiales			Clostridiales bacterium VE202-27
