qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|126010936|ref|YP_001039686.1|	272	1188396167	WP_085517267	270	69.12	188	390	2e-133	28450	transposase [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|126010936|ref|YP_001039686.1|	272	740940179	WP_038725196	270	69.49	189	389	5e-133	28450	transposase [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|126010936|ref|YP_001039686.1|	272	506499788	WP_015967381	270	69.12	188	389	8e-133	28450	hypothetical protein [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|126010936|ref|YP_001039686.1|	272	490683752	WP_004548444	270	69.12	188	389	1e-132	28450	transposase [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|126010936|ref|YP_001039686.1|	272	752516792	WP_041188402	268	69.12	188	389	1e-132	28450	hypothetical protein, partial [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|126010936|ref|YP_001039686.1|	272	752551471	WP_041222716	270	68.75	187	389	1e-132	28450	transposase [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|126010936|ref|YP_001039686.1|	272	1054718658	WP_066484172	270	69.49	189	388	2e-132	1385592	transposase [Burkholderia sp. BDU8]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia sp. BDU8
0	gi|126010936|ref|YP_001039686.1|	272	1025894148	WP_063597861	270	68.75	187	387	3e-132	28450	transposase [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|126010936|ref|YP_001039686.1|	272	1141162417	WP_076926474	270	69.12	188	387	4e-132	28450	transposase [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|126010936|ref|YP_001039686.1|	272	741018001	WP_038800012	270	68.75	187	387	4e-132	28450	transposase [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|126010936|ref|YP_001039686.1|	272	915598349	WP_050858089	270	68.75	187	387	5e-132	28450	transposase [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|126010936|ref|YP_001039686.1|	272	1141066844	WP_076882133	270	68.75	187	387	6e-132	28450	transposase [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|126010936|ref|YP_001039686.1|	272	953798619	WP_058035784	270	68.75	187	387	6e-132	28450	transposase [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
