qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|327197585|ref|YP_004301276.1|	145	666649275	WP_031366590	143	64.79	92	184	4e-56	451457	terminase small subunit [Lactococcus chungangensis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus chungangensis
0	gi|327197585|ref|YP_004301276.1|	145	666649456	WP_031366768	143	63.38	90	181	7e-55	451457	terminase small subunit [Lactococcus chungangensis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus chungangensis
0	gi|327197585|ref|YP_004301276.1|	145	763030331	WP_043914481	144	58.33	84	177	1e-53	102684	terminase small subunit [Streptococcus infantarius]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus infantarius
0	gi|327197585|ref|YP_004301276.1|	145	1325899998	WP_101774132	141	62.41	88	175	1e-52	59310	terminase small subunit [Streptococcus macedonicus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus macedonicus
0	gi|327197585|ref|YP_004301276.1|	145	1198915860	WP_087030845	145	54.17	78	166	4e-49	140314	terminase small subunit [Trichococcus palustris]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Trichococcus	Trichococcus palustris
0	gi|327197585|ref|YP_004301276.1|	145	737058250	WP_035053144	146	58.62	85	164	2e-48	181073	terminase small subunit [Carnobacterium pleistocenium]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Carnobacterium	Carnobacterium pleistocenium
0	gi|327197585|ref|YP_004301276.1|	145	896680644	WP_049555212	151	59.57	84	162	3e-47	117563	MULTISPECIES: terminase small subunit [Granulicatella]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella	
0	gi|327197585|ref|YP_004301276.1|	145	1282047795	WP_100406254	144	57.04	81	160	5e-47	2014074	terminase small subunit [Bacillus sp. FJAT-45086]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. FJAT-45086
0	gi|327197585|ref|YP_004301276.1|	145	1148570607	WP_077317587	143	54.93	78	157	1e-45	84407	terminase small subunit [Virgibacillus proomii]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Virgibacillus	Virgibacillus proomii
0	gi|327197585|ref|YP_004301276.1|	145	913004842	WP_050349942	143	54.93	78	157	1e-45	1473	terminase small subunit [Virgibacillus pantothenticus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Virgibacillus	Virgibacillus pantothenticus
0	gi|327197585|ref|YP_004301276.1|	145	1057044620	WP_068452839	150	56.25	81	155	5e-45	1750719	terminase small subunit [Kurthia sp. 11kri321]	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Kurthia	Kurthia sp. 11kri321
0	gi|327197585|ref|YP_004301276.1|	145	913379965	WP_050390819	144	56.55	82	155	1e-44	1313	terminase small subunit [Streptococcus pneumoniae]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae
0	gi|327197585|ref|YP_004301276.1|	145	1124268873	WP_074566648	143	56.34	80	155	1e-44	1335	terminase small subunit [Streptococcus equinus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus equinus
0	gi|327197585|ref|YP_004301276.1|	145	814939338	WP_046388259	143	55.07	76	154	1e-44	1349	terminase small subunit [Streptococcus uberis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus uberis
