qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|148727083|ref|YP_001285577.1|	123	695306870	WP_032509045	123	96.75	119	241	3e-79	1747	hypothetical protein [Cutibacterium acnes]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0	gi|148727083|ref|YP_001285577.1|	123	506585241	WP_016051441	123	96.75	119	239	2e-78	1747	hypothetical protein [Cutibacterium acnes]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0	gi|148727083|ref|YP_001285577.1|	123	506584858	WP_016051058	123	93.5	115	201	1e-63	1747	hypothetical protein [Cutibacterium acnes]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0	gi|148727083|ref|YP_001285577.1|	123	1008818628	WP_061870189	74	98.63	72	144	8e-42	216816	hypothetical protein, partial [Bifidobacterium longum]	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum
0	gi|148727083|ref|YP_001285577.1|	123	1121653524	WP_073868148	82	93.9	77	127	6e-35	1747	hypothetical protein [Cutibacterium acnes]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0	gi|148727083|ref|YP_001285577.1|	123	1121653522	WP_073868146	82	93.9	77	127	6e-35	1747	hypothetical protein [Cutibacterium acnes]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0	gi|148727083|ref|YP_001285577.1|	123	1121653514	WP_073868138	82	92.68	76	124	8e-34	1747	hypothetical protein [Cutibacterium acnes]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0	gi|148727083|ref|YP_001285577.1|	123	1121653527	WP_073868151	82	90.24	74	117	3e-31	1747	hypothetical protein [Cutibacterium acnes]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0	gi|148727083|ref|YP_001285577.1|	123	1121653536	WP_073868158	90	83.75	67	111	1e-28	1747	hypothetical protein, partial [Cutibacterium acnes]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0	gi|148727083|ref|YP_001285577.1|	123	1121653533	WP_073868155	83	78.05	64	103	6e-26	1747	hypothetical protein, partial [Cutibacterium acnes]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0	gi|148727083|ref|YP_001285577.1|	123	552881140	WP_023031742	110	39.81	43	87.4	3e-19	1743	MULTISPECIES: hypothetical protein [Propionibacterium]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Propionibacterium	
0	gi|148727084|ref|YP_001285578.1|	503	488476420	WP_002520090	503	95.83	482	953	0	1747	hypothetical protein [Cutibacterium acnes]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0	gi|148727084|ref|YP_001285578.1|	503	506585242	WP_016051442	503	95.23	479	945	0	1747	hypothetical protein [Cutibacterium acnes]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0	gi|148727084|ref|YP_001285578.1|	503	488475150	WP_002518820	443	95.49	423	838	0	1747	hypothetical protein [Cutibacterium acnes]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0	gi|148727084|ref|YP_001285578.1|	503	552881145	WP_023031743	504	64.09	323	664	0	1743	MULTISPECIES: hypothetical protein [Propionibacterium]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Propionibacterium	
0	gi|148727084|ref|YP_001285578.1|	503	1174908225	WP_081581445	491	48.57	238	416	2e-136	1465825	hypothetical protein [Timonella senegalensis]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales		Timonella	Timonella senegalensis
0	gi|148727084|ref|YP_001285578.1|	503	1057255849	WP_068625816	480	47.01	236	391	5e-127	43678	hypothetical protein [Oerskovia enterophila]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Cellulomonadaceae	Oerskovia	Oerskovia enterophila
0	gi|148727084|ref|YP_001285578.1|	503	1199030124	WP_087136117	489	47.56	234	381	5e-123	331618	hypothetical protein [Mycetocola reblochoni]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Mycetocola	Mycetocola reblochoni
0	gi|148727084|ref|YP_001285578.1|	503	1073097319	WP_069983631	494	46.37	236	374	4e-120	139208	hypothetical protein [Isoptericola variabilis]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Promicromonosporaceae	Isoptericola	Isoptericola variabilis
0	gi|148727084|ref|YP_001285578.1|	503	1180256425	WP_083775230	438	48.98	216	369	4e-119	43674	hypothetical protein [Jonesia denitrificans]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Jonesiaceae	Jonesia	Jonesia denitrificans
0	gi|148727084|ref|YP_001285578.1|	503	1325723549	WP_101625600	483	40	200	343	2e-108	2020965	terminase [Bifidobacterium sp. 45]	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium imperatoris
0	gi|148727084|ref|YP_001285578.1|	503	1172451260	WP_080825793	483	40	200	343	3e-108	216816	terminase [Bifidobacterium longum]	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum
0	gi|148727084|ref|YP_001285578.1|	503	494111074	WP_007051855	470	41.63	204	323	1e-100	216816	hypothetical protein [Bifidobacterium longum]	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum
0	gi|148727084|ref|YP_001285578.1|	503	880905940	WP_048672047	487	41.67	210	323	1e-100	186189	hypothetical protein [Xylanimonas cellulosilytica]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Promicromonosporaceae	Xylanimonas	Xylanimonas cellulosilytica
0	gi|148727084|ref|YP_001285578.1|	503	736444249	WP_034466139	487	41.47	209	322	3e-100	2	MULTISPECIES: hypothetical protein [Bacteria]	Bacteria						
0	gi|148727084|ref|YP_001285578.1|	503	1306911022	WP_101026894	470	41.43	203	321	4e-100	216816	terminase [Bifidobacterium longum]	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum
0	gi|148727084|ref|YP_001285578.1|	503	1277448753	WP_100057157	483	41.52	208	320	1e-99	1829	hypothetical protein [Rhodococcus rhodochrous]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus rhodochrous
