qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|109392288|ref|YP_655518.1|	114	504630836	WP_014817938	109	59.13	68	108	1e-27	1800	hypothetical protein [Mycobacterium chubuense]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium chubuense
0	gi|109392288|ref|YP_655518.1|	114	1039571268	WP_064898414	109	40.54	45	64.7	9e-11	1766	hypothetical protein [Mycobacterium fortuitum]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium fortuitum
0	gi|109392289|ref|YP_655519.1|	478	1178659893	WP_083170505	492	62.8	309	598	0	1927124	terminase [Mycobacterium aquaticum]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium aquaticum
0	gi|109392289|ref|YP_655519.1|	478	1152494061	WP_078344514	490	62.24	305	555	0	1774	terminase [Mycobacterium chelonae]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium chelonae
0	gi|109392289|ref|YP_655519.1|	478	1178495846	WP_083017322	490	62.04	304	553	0	1578165	terminase [Mycobacterium saopaulense]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium saopaulense
0	gi|109392289|ref|YP_655519.1|	478	1039566613	WP_064894063	478	62.26	297	551	0	451644	hypothetical protein [Mycobacterium conceptionense]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium conceptionense
0	gi|109392289|ref|YP_655519.1|	478	750490363	WP_040772234	490	58.3	274	546	0	38312	terminase [Rhodococcus rhodnii]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus rhodnii
0	gi|109392289|ref|YP_655519.1|	478	1183636012	WP_084869426	475	57.81	274	533	0	43767	terminase [Rhodococcus hoagii]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus hoagii
0	gi|109392289|ref|YP_655519.1|	478	759989919	WP_043673589	473	59.37	282	533	0	1141657	terminase [Nocardia vulneris]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia vulneris
0	gi|109392289|ref|YP_655519.1|	478	1160777722	WP_079631587	480	58	279	521	5e-178	36809	terminase [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|109392289|ref|YP_655519.1|	478	1152455915	WP_078313641	480	57.8	278	520	1e-177	1774	terminase [Mycobacterium chelonae]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium chelonae
0	gi|109392289|ref|YP_655519.1|	478	1160822212	WP_079670558	480	57.8	278	519	3e-177	36809	terminase [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|109392289|ref|YP_655519.1|	478	916572638	WP_051179729	480	57.2	266	518	3e-177	257281	terminase [Nocardia concava]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia concava
0	gi|109392289|ref|YP_655519.1|	478	1123711778	WP_074328753	484	57.85	280	517	2e-176	36809	terminase [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|109392289|ref|YP_655519.1|	478	1152492797	WP_078344056	484	58.06	281	516	2e-176	1774	terminase [Mycobacterium chelonae]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium chelonae
0	gi|109392289|ref|YP_655519.1|	478	1160620239	WP_079482278	484	57.64	279	516	3e-176	36809	terminase [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|109392289|ref|YP_655519.1|	478	1160826362	WP_079673646	484	57.64	279	516	4e-176	36809	terminase [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|109392289|ref|YP_655519.1|	478	1123801526	WP_074348553	480	56.88	273	515	7e-176	36809	terminase [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|109392289|ref|YP_655519.1|	478	1093682887	WP_070926392	484	57.44	278	514	1e-175	1774	terminase [Mycobacterium chelonae]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium chelonae
0	gi|109392289|ref|YP_655519.1|	478	1123788915	WP_074338983	484	57.64	279	514	2e-175	36809	terminase [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|109392289|ref|YP_655519.1|	478	1123787819	WP_074338219	484	57.23	277	513	3e-175	36809	terminase [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|109392289|ref|YP_655519.1|	478	1152483129	WP_078336057	483	56.24	266	513	4e-175	948102	terminase [Mycobacterium franklinii]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium franklinii
0	gi|109392289|ref|YP_655519.1|	478	738661755	WP_036570433	479	56.21	258	513	5e-175	1380388	terminase [Nocardioides sp. URHA0032]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	Nocardioides sp. URHA0032
0	gi|109392289|ref|YP_655519.1|	478	1160768902	WP_079624732	484	57.44	278	513	6e-175	36809	terminase [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|109392289|ref|YP_655519.1|	478	502902036	WP_013137012	471	57.05	271	512	9e-175	286802	terminase [Segniliparus rotundus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Segniliparaceae	Segniliparus	Segniliparus rotundus
0	gi|109392289|ref|YP_655519.1|	478	748609017	WP_039867195	480	54.85	260	512	1e-174	2059875	terminase [Gordonia sp. YC-JH1]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Gordoniaceae	Gordonia	Gordonia sp. YC-JH1
0	gi|109392289|ref|YP_655519.1|	478	1178513877	WP_083033743	476	53.88	257	507	1e-172	444597	terminase [Mycobacterium insubricum]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium insubricum
0	gi|109392289|ref|YP_655519.1|	478	1160830231	WP_079676251	484	57.56	278	504	3e-171	36809	terminase [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
