qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|157324961|ref|YP_001468387.1|	180	506519874	WP_015987044	180	100	180	365	2e-126	1639	terminase small subunit [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|157324961|ref|YP_001468387.1|	180	497598765	WP_009912949	180	99.44	179	363	1e-125	1639	terminase small subunit [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|157324961|ref|YP_001468387.1|	180	685906071	WP_031645654	180	98.89	178	363	1e-125	1639	terminase small subunit [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|157324961|ref|YP_001468387.1|	180	1073577749	WP_070005242	180	98.89	178	362	2e-125	1639	terminase small subunit [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|157324961|ref|YP_001468387.1|	180	1079877670	WP_070275675	180	99.44	179	362	3e-125	1639	terminase small subunit [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|157324961|ref|YP_001468387.1|	180	1005608020	WP_061691082	180	98.33	177	362	3e-125	1639	terminase small subunit [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|157324961|ref|YP_001468387.1|	180	1005608623	WP_061691466	180	98.89	178	362	3e-125	1639	terminase small subunit [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|157324961|ref|YP_001468387.1|	180	1079916686	WP_070284553	180	98.33	177	362	3e-125	1639	terminase small subunit [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|157324961|ref|YP_001468387.1|	180	501578066	WP_012582400	180	98.89	178	362	4e-125	1639	terminase small subunit [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|157324961|ref|YP_001468387.1|	180	1148900184	WP_077607585	180	98.89	178	362	5e-125	1639	terminase small subunit [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|157324961|ref|YP_001468387.1|	180	489866377	WP_003769962	180	98.33	177	361	1e-124	1642	DnaA initiator-associating protein DiaA [Listeria innocua]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria innocua
0	gi|157324961|ref|YP_001468387.1|	180	489839686	WP_003743392	180	98.33	177	361	1e-124	1639	terminase small subunit [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|157324961|ref|YP_001468387.1|	180	1059891797	WP_068995177	180	98.89	178	361	1e-124	1639	terminase small subunit [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|157324961|ref|YP_001468387.1|	180	499299263	WP_010990213	180	98.89	178	360	2e-124	1637	MULTISPECIES: terminase small subunit [Listeria]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	
