qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|589893513|ref|YP_009009658.1|	119	504630836	WP_014817938	109	58.56	65	100	2e-24	1800	hypothetical protein [Mycobacterium chubuense]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium chubuense
0	gi|589893514|ref|YP_009009659.1|	524	1178659893	WP_083170505	492	56.69	284	549	0	1927124	terminase [Mycobacterium aquaticum]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium aquaticum
0	gi|589893514|ref|YP_009009659.1|	524	759989919	WP_043673589	473	57.02	276	524	1e-178	1141657	terminase [Nocardia vulneris]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia vulneris
0	gi|589893514|ref|YP_009009659.1|	524	1039566613	WP_064894063	478	57.82	281	520	3e-177	451644	hypothetical protein [Mycobacterium conceptionense]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium conceptionense
0	gi|589893514|ref|YP_009009659.1|	524	916572638	WP_051179729	480	54.6	267	512	5e-174	257281	terminase [Nocardia concava]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia concava
0	gi|589893514|ref|YP_009009659.1|	524	1152494061	WP_078344514	490	57.31	286	512	9e-174	1774	terminase [Mycobacterium chelonae]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium chelonae
0	gi|589893514|ref|YP_009009659.1|	524	1183636012	WP_084869426	475	54.45	263	511	2e-173	43767	terminase [Rhodococcus hoagii]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus hoagii
0	gi|589893514|ref|YP_009009659.1|	524	1178495846	WP_083017322	490	57.11	285	511	2e-173	1578165	terminase [Mycobacterium saopaulense]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium saopaulense
0	gi|589893514|ref|YP_009009659.1|	524	750490363	WP_040772234	490	55.3	261	509	8e-173	38312	terminase [Rhodococcus rhodnii]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus rhodnii
0	gi|589893514|ref|YP_009009659.1|	524	738661755	WP_036570433	479	53.27	261	498	3e-168	1380388	terminase [Nocardioides sp. URHA0032]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	Nocardioides sp. URHA0032
0	gi|589893514|ref|YP_009009659.1|	524	1152455915	WP_078313641	480	53.99	264	488	9e-165	1774	terminase [Mycobacterium chelonae]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium chelonae
0	gi|589893514|ref|YP_009009659.1|	524	1160777722	WP_079631587	480	53.99	264	488	2e-164	36809	terminase [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|589893514|ref|YP_009009659.1|	524	1123801526	WP_074348553	480	53.78	263	486	7e-164	36809	terminase [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|589893514|ref|YP_009009659.1|	524	1160822212	WP_079670558	480	53.58	262	485	2e-163	36809	terminase [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|589893514|ref|YP_009009659.1|	524	1152483129	WP_078336057	483	53.33	248	483	2e-162	948102	terminase [Mycobacterium franklinii]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium franklinii
0	gi|589893514|ref|YP_009009659.1|	524	1039589332	WP_064908413	491	50.41	246	478	2e-160	1834087	hypothetical protein [Nocardia sp. 852002-20019_SCH5090214]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia sp. 852002-20019_SCH5090214
