qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|422936710|ref|YP_007006978.1|	87	498424793	WP_010731241	87	59.77	52	107	8e-28	1350	MULTISPECIES: hypothetical protein [Enterococcus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	
0	gi|422936710|ref|YP_007006978.1|	87	492750782	WP_005948933	87	59.77	52	102	1e-25	856	hypothetical protein [Fusobacterium varium]	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium varium
0	gi|422936710|ref|YP_007006978.1|	87	496656984	WP_009299477	90	56.04	51	99.8	9e-25	665941	hypothetical protein [Coprobacillus sp. 3_3_56FAA]	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Coprobacillus	Coprobacillus sp. 3_3_56FAA
0	gi|422936710|ref|YP_007006978.1|	87	1274560030	WP_099687288	87	58.62	51	99.8	1e-24	2048263	hypothetical protein [Sporosarcina sp. P13]	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Sporosarcina	Sporosarcina sp. P13
0	gi|422936710|ref|YP_007006978.1|	87	1092631874	WP_070578042	87	57.47	50	97.4	7e-24	1739251	hypothetical protein [Fusobacterium sp. HMSC073F01]	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium sp. HMSC073F01
0	gi|422936710|ref|YP_007006978.1|	87	1246818847	WP_096403425	87	56.32	49	97.4	7e-24	856	hypothetical protein [Fusobacterium varium]	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium varium
0	gi|422936710|ref|YP_007006978.1|	87	639696498	WP_024721586	89	55.06	49	97.1	1e-23	1232438	hypothetical protein [Clostridiales bacterium VE202-01]	Bacteria	Firmicutes	Clostridia	Clostridiales			Clostridiales bacterium VE202-01
0	gi|422936710|ref|YP_007006978.1|	87	1045860298	WP_065544571	86	53.49	46	96.7	2e-23	572511	MULTISPECIES: hypothetical protein [Blautia]	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	
0	gi|422936710|ref|YP_007006978.1|	87	651888238	WP_026647776	86	52.33	45	95.9	2e-23	33035	hypothetical protein [Blautia producta]	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia producta
0	gi|422936710|ref|YP_007006978.1|	87	496539321	WP_009245469	96	53.33	48	95.5	4e-23	658082	hypothetical protein [Lachnospiraceae bacterium 2_1_58FAA]	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		Lachnospiraceae bacterium 2_1_58FAA
