qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|514052001|ref|YP_008126764.1|	136	739327215	WP_037189649	142	49.24	65	120	2e-31	1509405	DUF2493 domain-containing protein [Pseudorhizobium pelagicum]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Pseudorhizobium	Pseudorhizobium pelagicum
0	gi|514052001|ref|YP_008126764.1|	136	746170498	WP_039230556	133	42.54	57	95.5	6e-22	84025	DUF2493 domain-containing protein [Clostridium haemolyticum]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium haemolyticum
0	gi|514052001|ref|YP_008126764.1|	136	657213004	WP_029326999	122	41.22	54	88.6	2e-19	1386	MULTISPECIES: DUF2493 domain-containing protein [Bacillus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
0	gi|514052001|ref|YP_008126764.1|	136	1005281579	WP_061576975	122	40.46	53	87	9e-19	1402	DUF2493 domain-containing protein [Bacillus licheniformis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus licheniformis
0	gi|514052001|ref|YP_008126764.1|	136	1120553478	WP_073411325	122	39.69	52	87	9e-19	1402	DUF2493 domain-containing protein [Bacillus licheniformis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus licheniformis
0	gi|514052001|ref|YP_008126764.1|	136	1229403044	WP_094247933	122	38.93	51	84.7	6e-18	492670	DUF2493 domain-containing protein [Bacillus velezensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus velezensis
0	gi|514052001|ref|YP_008126764.1|	136	923045998	WP_053434763	117	39.69	52	84.7	6e-18	1459	DUF2493 domain-containing protein [Sporosarcina globispora]	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Sporosarcina	Sporosarcina globispora
0	gi|514052001|ref|YP_008126764.1|	136	1154762607	WP_078679285	131	43.33	52	84.7	9e-18	1756149	DUF2493 domain-containing protein [Elizabethkingia genomosp. 3]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Elizabethkingia	Elizabethkingia genomosp. 3
0	gi|514052001|ref|YP_008126764.1|	136	769172106	WP_044944131	125	42.75	56	84.3	1e-17	658087	DUF2493 domain-containing protein [Lachnospiraceae bacterium 7_1_58FAA]	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		Lachnospiraceae bacterium 7_1_58FAA
0	gi|514052001|ref|YP_008126764.1|	136	1056798477	WP_068218584	117	38.81	52	83.6	2e-17	333140	DUF2493 domain-containing protein [Roseivirga spongicola]	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Roseivirga	Roseivirga spongicola
