qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|9633001|ref|NP_050109.1|	385	896140072	WP_049159979	385	99.48	383	795	0	1596	site-specific integrase [Lactobacillus gasseri]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus gasseri
0	gi|9633001|ref|NP_050109.1|	385	523688500	WP_020807579	385	98.18	378	788	0	1596	site-specific integrase [Lactobacillus gasseri]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus gasseri
0	gi|9633001|ref|NP_050109.1|	385	737444338	WP_035424668	385	97.92	377	786	0	1596	site-specific integrase [Lactobacillus gasseri]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus gasseri
0	gi|9633001|ref|NP_050109.1|	385	1326031597	WP_101890535	385	97.14	374	782	0	1596	site-specific integrase [Lactobacillus gasseri]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus gasseri
0	gi|9633001|ref|NP_050109.1|	385	489752463	WP_003656462	385	96.36	371	776	0	1596	site-specific integrase [Lactobacillus gasseri]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus gasseri
0	gi|9633001|ref|NP_050109.1|	385	880944757	WP_048686349	385	94.03	362	763	0	1596	site-specific integrase [Lactobacillus gasseri]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus gasseri
0	gi|9633001|ref|NP_050109.1|	385	1040952363	WP_065169459	383	76.62	295	632	0	1596	site-specific integrase [Lactobacillus gasseri]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus gasseri
0	gi|9633001|ref|NP_050109.1|	385	1199548860	WP_087285171	390	65.13	254	530	0	33959	site-specific integrase [Lactobacillus johnsonii]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus johnsonii
0	gi|9633001|ref|NP_050109.1|	385	1002564109	WP_061399907	390	64.1	250	523	0	33959	site-specific integrase [Lactobacillus johnsonii]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus johnsonii
0	gi|9633001|ref|NP_050109.1|	385	1233121169	WP_094521825	385	63.64	245	510	6e-177	508451	site-specific integrase [Lactobacillus taiwanensis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus taiwanensis
0	gi|9633001|ref|NP_050109.1|	385	503203459	WP_013438120	377	48.03	183	363	2e-119	1604	site-specific integrase [Lactobacillus amylovorus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus amylovorus
0	gi|9633001|ref|NP_050109.1|	385	1040952657	WP_065169753	417	39.34	166	293	2e-91	1596	site-specific integrase [Lactobacillus gasseri]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus gasseri
0	gi|9633001|ref|NP_050109.1|	385	1233093071	WP_094497149	175	65.14	114	249	2e-77	508451	site-specific integrase [Lactobacillus taiwanensis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus taiwanensis
0	gi|9633001|ref|NP_050109.1|	385	1233114781	WP_094516945	398	37.37	139	240	3e-71	508451	site-specific integrase [Lactobacillus taiwanensis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus taiwanensis
0	gi|9633001|ref|NP_050109.1|	385	495746754	WP_008471333	399	39.62	147	239	4e-71	1203033	site-specific integrase [Lactobacillus hominis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus hominis
0	gi|9633001|ref|NP_050109.1|	385	1233092278	WP_094496356	398	37.37	139	239	5e-71	508451	site-specific integrase [Lactobacillus taiwanensis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus taiwanensis
0	gi|9633001|ref|NP_050109.1|	385	492017858	WP_005719199	407	37.14	143	239	5e-71	47770	site-specific integrase [Lactobacillus crispatus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus crispatus
0	gi|9633001|ref|NP_050109.1|	385	492024824	WP_005722151	407	36.2	139	238	4e-70	47770	site-specific integrase [Lactobacillus crispatus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus crispatus
0	gi|9633001|ref|NP_050109.1|	385	492026261	WP_005722945	407	36.91	141	221	1e-63	47770	site-specific integrase [Lactobacillus crispatus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus crispatus
0	gi|9633001|ref|NP_050109.1|	385	1233109717	WP_094512293	394	35.57	138	208	4e-59	1598	site-specific integrase [Lactobacillus reuteri]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus reuteri
0	gi|9633001|ref|NP_050109.1|	385	1233218357	WP_094561864	394	35.57	138	208	6e-59	1598	hypothetical protein [Lactobacillus reuteri]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus reuteri
0	gi|9633001|ref|NP_050109.1|	385	1017201804	WP_063164477	394	35.31	137	207	8e-59	1598	site-specific integrase [Lactobacillus reuteri]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus reuteri
0	gi|9633001|ref|NP_050109.1|	385	1196479867	WP_086142602	394	35.31	137	207	1e-58	1598	hypothetical protein [Lactobacillus reuteri]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus reuteri
0	gi|9633001|ref|NP_050109.1|	385	1233100916	WP_094504299	394	35.31	137	205	5e-58	1598	hypothetical protein [Lactobacillus reuteri]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus reuteri
0	gi|9633001|ref|NP_050109.1|	385	1199630273	WP_087363655	407	34.5	128	205	1e-57	52242	site-specific integrase [Lactobacillus gallinarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus gallinarum
0	gi|9633001|ref|NP_050109.1|	385	503205115	WP_013439776	370	32.73	127	203	2e-57	1584	site-specific integrase [Lactobacillus delbrueckii]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus delbrueckii
0	gi|9633001|ref|NP_050109.1|	385	554766663	WP_023191174	402	34.15	126	201	4e-56	1587	site-specific integrase [Lactobacillus helveticus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus helveticus
0	gi|9633001|ref|NP_050109.1|	385	493973180	WP_006916291	373	34.36	134	191	7e-53	181675	site-specific integrase [Lactobacillus coleohominis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus coleohominis
0	gi|9633001|ref|NP_050109.1|	385	489813522	WP_003717366	376	35.85	133	190	1e-52	1633	site-specific integrase [Lactobacillus vaginalis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus vaginalis
0	gi|9633001|ref|NP_050109.1|	385	1189302144	WP_085719569	398	33.33	126	190	2e-52	1598	site-specific integrase [Lactobacillus reuteri]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus reuteri
0	gi|9633001|ref|NP_050109.1|	385	1233100779	WP_094504162	398	33.33	126	190	3e-52	1598	site-specific integrase [Lactobacillus reuteri]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus reuteri
0	gi|9633001|ref|NP_050109.1|	385	1233105898	WP_094508697	387	31.95	123	189	8e-52	1598	site-specific integrase [Lactobacillus reuteri]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus reuteri
0	gi|9633001|ref|NP_050109.1|	385	1233139151	WP_094537415	387	32.21	124	188	1e-51	1598	site-specific integrase [Lactobacillus reuteri]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus reuteri
0	gi|9633001|ref|NP_050109.1|	385	510796754	WP_016171552	372	36.29	135	187	2e-51	44009	site-specific integrase [Enterococcus dispar]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus dispar
0	gi|9633001|ref|NP_050109.1|	385	1196479792	WP_086142527	370	36.03	138	187	2e-51	1598	site-specific integrase [Lactobacillus reuteri]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus reuteri
0	gi|9633001|ref|NP_050109.1|	385	1233138412	WP_094536693	387	35.1	139	187	2e-51	1598	site-specific integrase [Lactobacillus reuteri]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus reuteri
0	gi|9633001|ref|NP_050109.1|	385	1233109191	WP_094511767	387	35.04	137	186	5e-51	1598	site-specific integrase [Lactobacillus reuteri]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus reuteri
0	gi|9633001|ref|NP_050109.1|	385	1276731622	WP_099979621	370	36.03	138	186	6e-51	1598	site-specific integrase [Lactobacillus reuteri]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus reuteri
0	gi|9633001|ref|NP_050109.1|	385	1233106119	WP_094508918	387	34.95	137	186	9e-51	1598	site-specific integrase [Lactobacillus reuteri]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus reuteri
0	gi|9633001|ref|NP_050109.1|	385	1233139119	WP_094537383	387	34.95	137	184	3e-50	1598	site-specific integrase [Lactobacillus reuteri]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus reuteri
0	gi|9633001|ref|NP_050109.1|	385	1233098750	WP_094502320	370	35.71	135	184	4e-50	1598	site-specific integrase [Lactobacillus reuteri]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus reuteri
0	gi|9633001|ref|NP_050109.1|	385	1189254919	WP_085678322	370	35.51	136	183	6e-50	1598	site-specific integrase [Lactobacillus reuteri]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus reuteri
0	gi|9633001|ref|NP_050109.1|	385	1189257304	WP_085680655	387	34.53	135	182	3e-49	1598	site-specific integrase [Lactobacillus reuteri]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus reuteri
0	gi|9633001|ref|NP_050109.1|	385	489786641	WP_003690532	373	34.92	132	180	1e-48	1618	site-specific integrase [Lactobacillus mali]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus mali
0	gi|9633001|ref|NP_050109.1|	385	489794300	WP_003698191	396	35.83	110	178	1e-47	1623	site-specific integrase [Lactobacillus ruminis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus ruminis
