qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|195661201|ref|YP_002117669.1|	151	491996302	WP_005712753	151	99.34	150	311	7e-106	1578	MULTISPECIES: terminase [Lactobacillus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	
0	gi|195661201|ref|YP_002117669.1|	151	723595867	WP_033573340	151	98.68	149	309	5e-105	47715	terminase [Lactobacillus rhamnosus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus rhamnosus
0	gi|195661201|ref|YP_002117669.1|	151	723593239	WP_033571031	151	98.68	149	308	5e-105	47715	terminase [Lactobacillus rhamnosus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus rhamnosus
0	gi|195661201|ref|YP_002117669.1|	151	489691164	WP_003595351	151	98.68	149	308	7e-105	655183	MULTISPECIES: terminase subunit [Lactobacillus casei group]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	
0	gi|195661201|ref|YP_002117669.1|	151	491949442	WP_005686963	151	98.01	148	307	2e-104	1578	MULTISPECIES: terminase [Lactobacillus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	
0	gi|195661201|ref|YP_002117669.1|	151	835837667	WP_047676119	151	97.35	147	306	5e-104	47715	terminase [Lactobacillus rhamnosus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus rhamnosus
0	gi|195661201|ref|YP_002117669.1|	151	489757434	WP_003661401	151	97.35	147	306	7e-104	655183	MULTISPECIES: terminase [Lactobacillus casei group]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	
0	gi|195661201|ref|YP_002117669.1|	151	1005881212	WP_061713667	151	97.35	147	305	1e-103	47715	terminase [Lactobacillus rhamnosus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus rhamnosus
0	gi|195661201|ref|YP_002117669.1|	151	1092801396	WP_070721057	151	98.01	148	305	1e-103	1739473	terminase [Lactobacillus sp. HMSC056D05]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus sp. HMSC056D05
0	gi|195661201|ref|YP_002117669.1|	151	511647819	WP_016365677	151	96.69	146	304	3e-103	1597	phage-related terminase small subunit [Lactobacillus paracasei]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus paracasei
0	gi|195661201|ref|YP_002117669.1|	151	1248835620	WP_096772540	151	96.69	146	304	4e-103	1597	terminase [Lactobacillus paracasei]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus paracasei
0	gi|195661201|ref|YP_002117669.1|	151	511751220	WP_016385830	151	96.69	146	303	6e-103	1597	phage terminase small subunit [Lactobacillus paracasei]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus paracasei
0	gi|195661201|ref|YP_002117669.1|	151	489660514	WP_003564843	151	96.03	145	303	1e-102	1582	terminase subunit [Lactobacillus casei]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus casei
0	gi|195661201|ref|YP_002117669.1|	151	511665200	WP_016372078	151	96.03	145	301	3e-102	1597	phage-related terminase small subunit [Lactobacillus paracasei]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus paracasei
0	gi|195661201|ref|YP_002117669.1|	151	1092641413	WP_070586429	143	97.81	134	279	2e-93	1715170	terminase [Lactobacillus sp. HMSC077C11]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus sp. HMSC077C11
0	gi|195661201|ref|YP_002117669.1|	151	951447561	WP_057820024	150	74.17	112	236	1e-76	100468	terminase [Lactobacillus perolens]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus perolens
0	gi|195661201|ref|YP_002117669.1|	151	1179960799	WP_083483153	127	70.31	90	194	2e-60	1607	terminase [Lactobacillus bifermentans]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus bifermentans
