qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|149408230|ref|YP_001294509.1|	83	1008929010	WP_061882327	103	50	37	67.4	4e-12	43992	hypothetical protein [Bradyrhizobium liaoningense]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium liaoningense
0	gi|149408231|ref|YP_001294510.1|	137	517252155	WP_018440973	143	51.61	64	126	1e-33	667632	antirestriction protein [Burkholderia sp. JPY347]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia sp. JPY347
0	gi|149408231|ref|YP_001294510.1|	137	966481229	WP_058509133	134	48.18	66	124	5e-33	947033	antirestriction protein [Legionella steelei]	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	Legionella steelei
0	gi|149408231|ref|YP_001294510.1|	137	966417349	WP_058460634	134	47.45	65	124	8e-33	447	antirestriction protein [Fluoribacter bozemanae]	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Fluoribacter	Fluoribacter bozemanae
0	gi|149408231|ref|YP_001294510.1|	137	517708978	WP_018879186	140	50.4	63	124	8e-33	106633	MULTISPECIES: antirestriction protein [Thioalkalivibrio]	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Thioalkalivibrio	
0	gi|149408231|ref|YP_001294510.1|	137	499525863	WP_011212503	134	47.45	65	123	1e-32	446	antirestriction protein [Legionella pneumophila]	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	Legionella pneumophila
0	gi|149408231|ref|YP_001294510.1|	137	966438189	WP_058478557	134	47.45	65	123	2e-32	445	MULTISPECIES: antirestriction protein [Legionella]	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	
0	gi|149408231|ref|YP_001294510.1|	137	516924815	WP_018168703	140	48.82	62	123	2e-32	106633	MULTISPECIES: antirestriction protein [Thioalkalivibrio]	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Thioalkalivibrio	
0	gi|149408231|ref|YP_001294510.1|	137	769981904	WP_045097888	134	46.72	64	122	2e-32	96230	antirestriction protein [Legionella fallonii]	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	Legionella fallonii
0	gi|149408231|ref|YP_001294510.1|	137	518414384	WP_019584591	140	49.6	62	122	4e-32	1158172	antirestriction protein [Thioalkalivibrio sp. ALE16]	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Thioalkalivibrio	Thioalkalivibrio sp. ALE16
0	gi|149408231|ref|YP_001294510.1|	137	517825193	WP_018995401	140	47.62	60	122	4e-32	1261622	antirestriction protein [Thioalkalivibrio sp. ALJ2]	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Thioalkalivibrio	Thioalkalivibrio sp. ALJ2
0	gi|149408231|ref|YP_001294510.1|	137	516538964	WP_017926589	140	49.61	63	121	8e-32	1266913	antirestriction protein [Thioalkalivibrio sp. HL-Eb18]	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Thioalkalivibrio	Thioalkalivibrio sp. HL-Eb18
0	gi|149408231|ref|YP_001294510.1|	137	1011952760	WP_062760255	134	45.99	63	120	2e-31	446	antirestriction protein [Legionella pneumophila]	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	Legionella pneumophila
0	gi|149408231|ref|YP_001294510.1|	137	1147539976	WP_077244276	140	48.03	61	120	3e-31	252474	antirestriction protein [Thioalkalivibrio halophilus]	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Thioalkalivibrio	Thioalkalivibrio halophilus
0	gi|149408231|ref|YP_001294510.1|	137	498341194	WP_010655350	134	46.72	64	119	3e-31	463	antirestriction protein [Fluoribacter dumoffii]	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Fluoribacter	Fluoribacter dumoffii
