qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|543171263|ref|YP_008531545.1|	123	506584858	WP_016051058	123	95.93	118	208	2e-66	1747	hypothetical protein [Cutibacterium acnes]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0	gi|543171263|ref|YP_008531545.1|	123	695306870	WP_032509045	123	91.87	113	199	7e-63	1747	hypothetical protein [Cutibacterium acnes]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0	gi|543171263|ref|YP_008531545.1|	123	506585241	WP_016051441	123	91.06	112	199	1e-62	1747	hypothetical protein [Cutibacterium acnes]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0	gi|543171263|ref|YP_008531545.1|	123	1008818628	WP_061870189	74	97.3	72	142	8e-41	216816	hypothetical protein, partial [Bifidobacterium longum]	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum
0	gi|543171263|ref|YP_008531545.1|	123	1121653524	WP_073868148	82	89.02	73	118	1e-31	1747	hypothetical protein [Cutibacterium acnes]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0	gi|543171263|ref|YP_008531545.1|	123	1121653522	WP_073868146	82	89.02	73	118	1e-31	1747	hypothetical protein [Cutibacterium acnes]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0	gi|543171263|ref|YP_008531545.1|	123	1121653514	WP_073868138	82	87.8	72	115	2e-30	1747	hypothetical protein [Cutibacterium acnes]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0	gi|543171263|ref|YP_008531545.1|	123	1121653527	WP_073868151	82	86.59	71	110	3e-28	1747	hypothetical protein [Cutibacterium acnes]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0	gi|543171263|ref|YP_008531545.1|	123	1121653536	WP_073868158	90	78.75	63	102	3e-25	1747	hypothetical protein, partial [Cutibacterium acnes]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0	gi|543171263|ref|YP_008531545.1|	123	1121653533	WP_073868155	83	73.17	60	95.1	2e-22	1747	hypothetical protein, partial [Cutibacterium acnes]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0	gi|543171263|ref|YP_008531545.1|	123	552881140	WP_023031742	110	42.59	46	94.4	6e-22	1743	MULTISPECIES: hypothetical protein [Propionibacterium]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Propionibacterium	
0	gi|543171264|ref|YP_008531546.1|	503	506585242	WP_016051442	503	95.83	482	968	0	1747	hypothetical protein [Cutibacterium acnes]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0	gi|543171264|ref|YP_008531546.1|	503	488476420	WP_002520090	503	95.63	481	951	0	1747	hypothetical protein [Cutibacterium acnes]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0	gi|543171264|ref|YP_008531546.1|	503	488475150	WP_002518820	443	95.49	423	838	0	1747	hypothetical protein [Cutibacterium acnes]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0	gi|543171264|ref|YP_008531546.1|	503	552881145	WP_023031743	504	64.48	325	667	0	1743	MULTISPECIES: hypothetical protein [Propionibacterium]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Propionibacterium	
0	gi|543171264|ref|YP_008531546.1|	503	1174908225	WP_081581445	491	48.57	238	416	2e-136	1465825	hypothetical protein [Timonella senegalensis]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales		Timonella	Timonella senegalensis
0	gi|543171264|ref|YP_008531546.1|	503	1057255849	WP_068625816	480	47.21	237	392	2e-127	43678	hypothetical protein [Oerskovia enterophila]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Cellulomonadaceae	Oerskovia	Oerskovia enterophila
0	gi|543171264|ref|YP_008531546.1|	503	1199030124	WP_087136117	489	47.76	235	382	3e-123	331618	hypothetical protein [Mycetocola reblochoni]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Mycetocola	Mycetocola reblochoni
0	gi|543171264|ref|YP_008531546.1|	503	1180256425	WP_083775230	438	49.21	217	370	1e-119	43674	hypothetical protein [Jonesia denitrificans]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Jonesiaceae	Jonesia	Jonesia denitrificans
0	gi|543171264|ref|YP_008531546.1|	503	1073097319	WP_069983631	494	46.37	236	371	4e-119	139208	hypothetical protein [Isoptericola variabilis]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Promicromonosporaceae	Isoptericola	Isoptericola variabilis
0	gi|543171264|ref|YP_008531546.1|	503	1325723549	WP_101625600	483	40.2	197	341	1e-107	2020965	terminase [Bifidobacterium sp. 45]	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium imperatoris
0	gi|543171264|ref|YP_008531546.1|	503	1172451260	WP_080825793	483	40.2	197	340	2e-107	216816	terminase [Bifidobacterium longum]	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum
0	gi|543171264|ref|YP_008531546.1|	503	880905940	WP_048672047	487	41.47	209	322	5e-100	186189	hypothetical protein [Xylanimonas cellulosilytica]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Promicromonosporaceae	Xylanimonas	Xylanimonas cellulosilytica
0	gi|543171264|ref|YP_008531546.1|	503	736444249	WP_034466139	487	41.47	209	322	6e-100	2	MULTISPECIES: hypothetical protein [Bacteria]	Bacteria						
0	gi|543171264|ref|YP_008531546.1|	503	1277448753	WP_100057157	483	41.92	210	321	8e-100	1829	hypothetical protein [Rhodococcus rhodochrous]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus rhodochrous
0	gi|543171264|ref|YP_008531546.1|	503	494111074	WP_007051855	470	41.49	200	320	1e-99	216816	hypothetical protein [Bifidobacterium longum]	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum
0	gi|543171264|ref|YP_008531546.1|	503	1306911022	WP_101026894	470	41.29	199	318	7e-99	216816	terminase [Bifidobacterium longum]	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum
