qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|530787717|ref|YP_008433334.1|	276	1281975683	WP_100335219	256	31.74	53	77.4	2e-13	89969	nucleotidyltransferase domain-containing protein [Hymenobacter chitinivorans]	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Hymenobacteraceae	Hymenobacter	Hymenobacter chitinivorans
0	gi|530787717|ref|YP_008433334.1|	276	1054646758	WP_066414255	250	25.75	43	74.3	2e-12	33932	hypothetical protein [Bacillus cohnii]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cohnii
0	gi|530787717|ref|YP_008433334.1|	276	1330167959	WP_102346504	259	31.36	53	74.3	3e-12	1936234	hypothetical protein [Bacillus sp. Marseille-P3661]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. Marseille-P3661
0	gi|530787717|ref|YP_008433334.1|	276	1246822401	WP_096406975	257	30	51	73.6	5e-12	1902136	nucleotidyltransferase domain-containing protein [Streptococcus sp. NPS 308]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus sp. NPS 308
0	gi|530787717|ref|YP_008433334.1|	276	764947380	WP_044517874	260	31.36	53	73.2	8e-12	1385664	nucleotidyltransferase domain-containing protein [Hymenobacter sp. DG25B]	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Hymenobacteraceae	Hymenobacter	Hymenobacter sp. DG25B
0	gi|530787717|ref|YP_008433334.1|	276	488792803	WP_002705209	259	24.51	63	71.2	3e-11	165	nucleotidyltransferase domain-containing protein [Treponema saccharophilum]	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	Treponema saccharophilum
0	gi|530787717|ref|YP_008433334.1|	276	492406019	WP_005834300	257	36.46	35	71.2	3e-11	1385	MULTISPECIES: nucleotidyltransferase domain-containing protein [Bacillales]	Bacteria	Firmicutes	Bacilli	Bacillales			
0	gi|530787717|ref|YP_008433334.1|	276	647567778	WP_025846151	257	36.46	35	71.2	4e-11	51101	nucleotidyltransferase domain-containing protein [Brevibacillus agri]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus agri
0	gi|530787717|ref|YP_008433334.1|	276	948176424	WP_056834425	262	33.6	42	70.9	6e-11	1736267	nucleotidyltransferase domain-containing protein [Pseudomonas sp. Leaf127]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. Leaf127
0	gi|530787727|ref|YP_008433344.1|	538	984669078	WP_060772522	538	36.17	191	318	2e-97	925818	hypothetical protein [Methylobacterium sp. AMS5]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium sp. AMS5
0	gi|530787727|ref|YP_008433344.1|	538	1212288193	WP_088578769	565	35.8	198	317	9e-97	101571	hypothetical protein [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|530787727|ref|YP_008433344.1|	538	1210506356	WP_088500844	565	36.17	200	317	1e-96	101571	hypothetical protein [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|530787727|ref|YP_008433344.1|	538	1210537572	WP_088511336	565	35.99	199	316	2e-96	101571	hypothetical protein [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|530787727|ref|YP_008433344.1|	538	981793818	WP_059984699	565	35.99	199	316	2e-96	101571	hypothetical protein [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|530787727|ref|YP_008433344.1|	538	1267781785	WP_098525685	540	36.08	175	314	4e-96	1404	hypothetical protein [Bacillus megaterium]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus megaterium
0	gi|530787727|ref|YP_008433344.1|	538	1210509452	WP_088503940	565	35.8	198	313	2e-95	101571	hypothetical protein [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|530787727|ref|YP_008433344.1|	538	835693301	WP_047619554	512	38.43	191	311	5e-95	398	hypothetical protein [Rhizobium tropici]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium tropici
0	gi|530787727|ref|YP_008433344.1|	538	1141067163	WP_076882392	548	36.7	189	310	2e-94	28450	hypothetical protein [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|530787727|ref|YP_008433344.1|	538	1124745221	WP_075007633	534	35.42	192	307	2e-93	41	hypothetical protein [Stigmatella aurantiaca]	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Archangiaceae	Stigmatella	Stigmatella aurantiaca
0	gi|530787727|ref|YP_008433344.1|	538	1179979059	WP_083501413	507	36.47	186	306	2e-93	1218247	hypothetical protein [Ralstonia sp. NT80]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia sp. NT80
0	gi|530787727|ref|YP_008433344.1|	538	503139590	WP_013374251	534	37.09	181	300	8e-91	41	hypothetical protein [Stigmatella aurantiaca]	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Archangiaceae	Stigmatella	Stigmatella aurantiaca
0	gi|530787727|ref|YP_008433344.1|	538	981390360	WP_059603221	567	34.31	176	300	2e-90	1637862	hypothetical protein [Burkholderia sp. LA-2-3-30-S1-D2]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia sp. LA-2-3-30-S1-D2
0	gi|530787727|ref|YP_008433344.1|	538	947497576	WP_056161701	540	34.79	183	299	3e-90	1736255	hypothetical protein [Methylobacterium sp. Leaf106]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium sp. Leaf106
0	gi|530787727|ref|YP_008433344.1|	538	1225508249	WP_093516946	534	36.26	186	298	4e-90	83460	hypothetical protein [Stigmatella erecta]	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Archangiaceae	Stigmatella	Stigmatella erecta
0	gi|530787727|ref|YP_008433344.1|	538	1189733716	WP_085782733	538	35.7	181	297	1e-89	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|530787727|ref|YP_008433344.1|	538	493816842	WP_006764421	566	33.58	185	298	2e-89	87882	MULTISPECIES: hypothetical protein [Burkholderia cepacia complex]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	
0	gi|530787727|ref|YP_008433344.1|	538	1149967577	WP_077894373	499	34.64	177	296	2e-89	36839	hypothetical protein [Clostridium felsineum]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium felsineum
0	gi|530787727|ref|YP_008433344.1|	538	1184744193	WP_085293600	540	33.33	164	297	2e-89	1491	hypothetical protein [Clostridium botulinum]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium botulinum
0	gi|530787727|ref|YP_008433344.1|	538	921027508	WP_053066841	535	36.36	184	296	2e-89	48	hypothetical protein [Archangium gephyra]	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Archangiaceae	Archangium	Archangium gephyra
0	gi|530787727|ref|YP_008433344.1|	538	947476134	WP_056140437	540	34.33	183	296	3e-89	1736241	hypothetical protein [Methylobacterium sp. Leaf85]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium sp. Leaf85
0	gi|530787727|ref|YP_008433344.1|	538	1001771176	WP_061313629	540	33.27	163	294	2e-88	1491	hypothetical protein [Clostridium botulinum]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium botulinum
0	gi|530787727|ref|YP_008433344.1|	538	1267924416	WP_098586999	538	35.11	178	294	3e-88	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
