qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|410492107|ref|YP_006907293.1|	598	506586335	WP_016052535	599	82.14	492	1069	0	1428	terminase large subunit [Bacillus thuringiensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
0	gi|410492107|ref|YP_006907293.1|	598	1271540837	WP_099321117	564	37.25	209	354	2e-110	1977277	hypothetical protein [Anaerococcus sp. Marseille-P3625]	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus sp. Marseille-P3625
0	gi|410492107|ref|YP_006907293.1|	598	1173694008	WP_081375677	99	74.47	70	153	1e-40	1402	hypothetical protein [Bacillus licheniformis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus licheniformis
0	gi|410492107|ref|YP_006907293.1|	598	1180810906	WP_084284602	567	31.48	96	145	7e-34	319475	hypothetical protein [Clostridium lundense]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium lundense
0	gi|410492107|ref|YP_006907293.1|	598	1126827445	WP_075218493	83	75.34	55	117	2e-27	1402	hypothetical protein [Bacillus licheniformis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus licheniformis
0	gi|410492107|ref|YP_006907293.1|	598	1092481683	WP_070469749	563	22.61	130	124	9e-27	1581147	hypothetical protein [Oligella sp. HMSC09E12]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Oligella	Oligella sp. HMSC09E12
0	gi|410492107|ref|YP_006907293.1|	598	881050658	WP_048769146	563	22.61	130	124	1e-26	90245	hypothetical protein [Oligella urethralis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Oligella	Oligella urethralis
0	gi|410492107|ref|YP_006907293.1|	598	759946513	WP_043631148	543	24.65	122	121	1e-25	1562888	phage tail protein [Desulfovibrio sp. TomC]	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio sp. TomC
0	gi|410492107|ref|YP_006907293.1|	598	1160786778	WP_079638684	574	26.91	116	119	9e-25	1507287	hypothetical protein [Sphingopyxis flava]	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	Sphingopyxis flava
0	gi|410492107|ref|YP_006907293.1|	598	506429559	WP_015949278	541	30.15	79	118	1e-24	259354	bacteriophage tail assembly protein-like protein [Desulfatibacillum alkenivorans]	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfatibacillum	Desulfatibacillum alkenivorans
0	gi|410492107|ref|YP_006907293.1|	598	923019528	WP_053413611	569	26.7	114	116	5e-24	1422	hypothetical protein [Geobacillus stearothermophilus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Geobacillus	Geobacillus stearothermophilus
0	gi|410492107|ref|YP_006907293.1|	598	1011777997	WP_062600932	587	25.38	133	116	6e-24	1736357	hypothetical protein [Rhizobium sp. Leaf383]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium sp. Leaf383
0	gi|410492107|ref|YP_006907293.1|	598	1175448233	WP_081991062	662	25.63	152	115	2e-23	171674	hypothetical protein [Inquilinus limosus]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Inquilinus	Inquilinus limosus
0	gi|410492107|ref|YP_006907293.1|	598	496399461	WP_009108451	543	23.41	118	111	2e-22	596152	phage tail protein [Desulfovibrio sp. U5L]	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio sp. U5L
0	gi|410492107|ref|YP_006907293.1|	598	1126827444	WP_075218492	67	72.88	43	101	5e-22	1402	hypothetical protein [Bacillus licheniformis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus licheniformis
0	gi|410492107|ref|YP_006907293.1|	598	506341467	WP_015861186	494	23.55	118	107	3e-21	184917	phage tail protein [Desulfovibrio magneticus]	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio magneticus
0	gi|410492107|ref|YP_006907293.1|	598	739644891	WP_037500709	580	25.71	135	107	5e-21	392409	hypothetical protein [Sphingomonas jaspsi]	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas jaspsi
0	gi|410492107|ref|YP_006907293.1|	598	1254234036	WP_097157224	569	25.65	99	107	6e-21	1448271	hypothetical protein [Bacillus oleivorans]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus oleivorans
0	gi|410492107|ref|YP_006907293.1|	598	738287358	WP_036241298	580	26.69	91	103	1e-19	1297570	hypothetical protein [Mesorhizobium sp. STM 4661]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp. STM 4661
0	gi|410492107|ref|YP_006907293.1|	598	1222655198	WP_090703061	582	28.38	107	101	4e-19	1882748	hypothetical protein [Beijerinckia sp. 28-YEA-48]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Beijerinckia	Beijerinckia sp. 28-YEA-48
0	gi|410492107|ref|YP_006907293.1|	598	518704043	WP_019865150	581	23.98	106	99.8	1e-18	645578	hypothetical protein [Methylovulum miyakonense]	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylovulum	Methylovulum miyakonense
0	gi|410492107|ref|YP_006907293.1|	598	563543222	WP_023749235	582	23.71	133	99.8	1e-18	1287270	hypothetical protein [Mesorhizobium sp. LNJC386A00]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp. LNJC386A00
0	gi|410492107|ref|YP_006907293.1|	598	516463174	WP_017852012	543	28.67	80	93.6	1e-16	173	hypothetical protein [Leptospira interrogans]	Bacteria	Spirochaetes	Spirochaetia		Leptospiraceae	Leptospira	Leptospira interrogans
