qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|410491675|ref|YP_006906897.1|	107	695306870	WP_032509045	123	92.52	99	172	2e-52	1747	hypothetical protein [Cutibacterium acnes]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0	gi|410491675|ref|YP_006906897.1|	107	506585241	WP_016051441	123	91.59	98	172	2e-52	1747	hypothetical protein [Cutibacterium acnes]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0	gi|410491675|ref|YP_006906897.1|	107	506584858	WP_016051058	123	92.52	99	169	4e-51	1747	hypothetical protein [Cutibacterium acnes]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0	gi|410491675|ref|YP_006906897.1|	107	1008818628	WP_061870189	74	97.26	71	140	2e-40	216816	hypothetical protein, partial [Bifidobacterium longum]	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum
0	gi|410491675|ref|YP_006906897.1|	107	1121653524	WP_073868148	82	92.68	76	124	5e-34	1747	hypothetical protein [Cutibacterium acnes]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0	gi|410491675|ref|YP_006906897.1|	107	1121653522	WP_073868146	82	92.68	76	124	5e-34	1747	hypothetical protein [Cutibacterium acnes]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0	gi|410491675|ref|YP_006906897.1|	107	1121653514	WP_073868138	82	91.46	75	120	9e-33	1747	hypothetical protein [Cutibacterium acnes]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0	gi|410491675|ref|YP_006906897.1|	107	1121653527	WP_073868151	82	90.24	74	115	1e-30	1747	hypothetical protein [Cutibacterium acnes]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0	gi|410491675|ref|YP_006906897.1|	107	1121653536	WP_073868158	90	82.5	66	107	2e-27	1747	hypothetical protein, partial [Cutibacterium acnes]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0	gi|410491675|ref|YP_006906897.1|	107	1121653533	WP_073868155	83	76.83	63	100	1e-24	1747	hypothetical protein, partial [Cutibacterium acnes]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0	gi|410491675|ref|YP_006906897.1|	107	552881140	WP_023031742	110	38.89	42	87	3e-19	1743	MULTISPECIES: hypothetical protein [Propionibacterium]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Propionibacterium	
0	gi|410491676|ref|YP_006906898.1|	503	506585242	WP_016051442	503	94.04	473	936	0	1747	hypothetical protein [Cutibacterium acnes]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0	gi|410491676|ref|YP_006906898.1|	503	488476420	WP_002520090	503	94.04	473	934	0	1747	hypothetical protein [Cutibacterium acnes]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0	gi|410491676|ref|YP_006906898.1|	503	488475150	WP_002518820	443	93.45	414	819	0	1747	hypothetical protein [Cutibacterium acnes]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
0	gi|410491676|ref|YP_006906898.1|	503	552881145	WP_023031743	504	64.48	325	662	0	1743	MULTISPECIES: hypothetical protein [Propionibacterium]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Propionibacterium	
0	gi|410491676|ref|YP_006906898.1|	503	1174908225	WP_081581445	491	47.82	241	414	1e-135	1465825	hypothetical protein [Timonella senegalensis]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales		Timonella	Timonella senegalensis
0	gi|410491676|ref|YP_006906898.1|	503	1057255849	WP_068625816	480	47.61	239	389	2e-126	43678	hypothetical protein [Oerskovia enterophila]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Cellulomonadaceae	Oerskovia	Oerskovia enterophila
0	gi|410491676|ref|YP_006906898.1|	503	1199030124	WP_087136117	489	47.7	239	380	8e-123	331618	hypothetical protein [Mycetocola reblochoni]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Mycetocola	Mycetocola reblochoni
0	gi|410491676|ref|YP_006906898.1|	503	1073097319	WP_069983631	494	46.85	238	376	4e-121	139208	hypothetical protein [Isoptericola variabilis]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Promicromonosporaceae	Isoptericola	Isoptericola variabilis
0	gi|410491676|ref|YP_006906898.1|	503	1180256425	WP_083775230	438	48.98	216	366	5e-118	43674	hypothetical protein [Jonesia denitrificans]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Jonesiaceae	Jonesia	Jonesia denitrificans
0	gi|410491676|ref|YP_006906898.1|	503	1325723549	WP_101625600	483	40.33	198	338	2e-106	2020965	terminase [Bifidobacterium sp. 45]	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium imperatoris
0	gi|410491676|ref|YP_006906898.1|	503	1172451260	WP_080825793	483	40.33	198	337	4e-106	216816	terminase [Bifidobacterium longum]	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum
0	gi|410491676|ref|YP_006906898.1|	503	880905940	WP_048672047	487	41.87	211	322	2e-100	186189	hypothetical protein [Xylanimonas cellulosilytica]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Promicromonosporaceae	Xylanimonas	Xylanimonas cellulosilytica
0	gi|410491676|ref|YP_006906898.1|	503	736444249	WP_034466139	487	41.87	211	322	3e-100	2	MULTISPECIES: hypothetical protein [Bacteria]	Bacteria						
0	gi|410491676|ref|YP_006906898.1|	503	494111074	WP_007051855	470	41.7	201	317	2e-98	216816	hypothetical protein [Bifidobacterium longum]	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum
0	gi|410491676|ref|YP_006906898.1|	503	1306911022	WP_101026894	470	41.49	200	315	7e-98	216816	terminase [Bifidobacterium longum]	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum
0	gi|410491676|ref|YP_006906898.1|	503	1277448753	WP_100057157	483	42.6	210	315	2e-97	1829	hypothetical protein [Rhodococcus rhodochrous]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus rhodochrous
0	gi|410491676|ref|YP_006906898.1|	503	489938691	WP_003841998	489	39.64	199	315	3e-97	1689	hypothetical protein [Bifidobacterium dentium]	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium dentium
0	gi|410491676|ref|YP_006906898.1|	503	1325773827	WP_101673961	454	41.67	195	308	3e-95	1685	terminase [Bifidobacterium breve]	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium breve
0	gi|410491676|ref|YP_006906898.1|	503	1172900307	WP_080969816	454	42.09	197	308	5e-95	216816	terminase [Bifidobacterium longum]	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum
0	gi|410491676|ref|YP_006906898.1|	503	1148637255	WP_077382123	454	42.09	197	307	8e-95	216816	terminase [Bifidobacterium longum]	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum
0	gi|410491676|ref|YP_006906898.1|	503	1172879789	WP_080958805	454	41.67	195	307	9e-95	1681	terminase [Bifidobacterium bifidum]	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium bifidum
0	gi|410491676|ref|YP_006906898.1|	503	1172454647	WP_080829056	454	41.67	195	306	2e-94	1681	terminase [Bifidobacterium bifidum]	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium bifidum
0	gi|410491676|ref|YP_006906898.1|	503	1176406985	WP_082247846	454	41.67	195	306	2e-94	1681	terminase [Bifidobacterium bifidum]	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium bifidum
0	gi|410491676|ref|YP_006906898.1|	503	1172880293	WP_080959309	454	41.67	195	305	4e-94	1681	terminase [Bifidobacterium bifidum]	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium bifidum
0	gi|410491676|ref|YP_006906898.1|	503	1172372055	WP_080755326	456	40.76	192	297	4e-91	1680	terminase [Bifidobacterium adolescentis]	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium adolescentis
0	gi|410491676|ref|YP_006906898.1|	503	493595448	WP_006548204	480	41.35	208	297	8e-91	103621	hypothetical protein [Actinomyces urogenitalis]	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces urogenitalis
0	gi|410491676|ref|YP_006906898.1|	503	489936261	WP_003839568	463	41.3	197	295	4e-90	1689	hypothetical protein [Bifidobacterium dentium]	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium dentium
0	gi|410491676|ref|YP_006906898.1|	503	1234093973	WP_094727055	481	35.83	177	289	2e-87	1160091	terminase [Alloscardovia macacae]	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Alloscardovia	Alloscardovia macacae
0	gi|410491676|ref|YP_006906898.1|	503	1334584025	WP_103061578	479	41.33	205	288	2e-87	2072014	hypothetical protein [Actinomyces sp. 553]	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces sp. 553
0	gi|410491676|ref|YP_006906898.1|	503	501329025	WP_012360660	480	39.47	195	286	1e-86	43771	hypothetical protein [Corynebacterium urealyticum]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium urealyticum
0	gi|410491676|ref|YP_006906898.1|	503	1092844486	WP_070758813	480	39.27	194	284	1e-85	1581056	hypothetical protein [Corynebacterium sp. HMSC22B11]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium sp. HMSC22B11
0	gi|410491676|ref|YP_006906898.1|	503	1215065921	WP_088945731	488	38.57	199	276	1e-82	2018041	hypothetical protein [Rhodococcus sp. 1168]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus sp. 1168
0	gi|410491676|ref|YP_006906898.1|	503	1224747964	WP_092765839	492	37.15	185	266	1e-78	1502766	hypothetical protein [Rhodococcus sp. 164Chir2E]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus sp. 164Chir2E
0	gi|410491676|ref|YP_006906898.1|	503	919185468	WP_052740969	492	37.15	185	266	1e-78	1833	hypothetical protein [Rhodococcus erythropolis]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus erythropolis
0	gi|410491676|ref|YP_006906898.1|	503	498226230	WP_010540386	471	44.44	160	261	4e-77	665550	hypothetical protein [Dietzia alimentaria]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Dietziaceae	Dietzia	Dietzia alimentaria
0	gi|410491676|ref|YP_006906898.1|	503	1175821878	WP_082144651	575	37.21	192	262	2e-76	225326	hypothetical protein [Corynebacterium halotolerans]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium halotolerans
0	gi|410491676|ref|YP_006906898.1|	503	1268143981	WP_098697716	409	40.83	178	256	8e-76	455432	hypothetical protein [Nocardia terpenica]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia terpenica
0	gi|410491676|ref|YP_006906898.1|	503	917269545	WP_051876257	497	36.5	188	253	9e-74	38289	hypothetical protein [Corynebacterium jeikeium]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium jeikeium
0	gi|410491676|ref|YP_006906898.1|	503	1092418732	WP_070429607	487	36.88	187	253	1e-73	1716	MULTISPECIES: hypothetical protein [Corynebacterium]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	
0	gi|410491676|ref|YP_006906898.1|	503	1222191649	WP_090246697	479	34.82	172	252	2e-73	1528	hypothetical protein [Eubacterium barkeri]	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium barkeri
0	gi|410491676|ref|YP_006906898.1|	503	881010339	WP_048731108	487	36.69	186	252	2e-73	1716	MULTISPECIES: hypothetical protein [Corynebacterium]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	
0	gi|410491676|ref|YP_006906898.1|	503	516655362	WP_018024351	488	37.22	182	251	7e-73	487732	hypothetical protein [Corynebacterium ulceribovis]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium ulceribovis
0	gi|410491676|ref|YP_006906898.1|	503	1092724898	WP_070653171	487	36.49	185	250	1e-72	1739382	hypothetical protein [Corynebacterium sp. HMSC065H09]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium sp. HMSC065H09
0	gi|410491676|ref|YP_006906898.1|	503	1174896224	WP_081571043	479	34.21	169	248	8e-72	1736	hypothetical protein [Eubacterium limosum]	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium limosum
0	gi|410491676|ref|YP_006906898.1|	503	1092790620	WP_070710765	497	36.49	181	248	9e-72	1739447	hypothetical protein [Corynebacterium sp. HMSC072D12]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium sp. HMSC072D12
0	gi|410491676|ref|YP_006906898.1|	503	1054748685	WP_066513170	497	36.23	179	247	2e-71	1716	MULTISPECIES: hypothetical protein [Corynebacterium]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	
0	gi|410491676|ref|YP_006906898.1|	503	1092490359	WP_070477873	498	36.12	186	244	3e-70	1581138	hypothetical protein [Corynebacterium sp. HMSC08D02]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium sp. HMSC08D02
0	gi|410491676|ref|YP_006906898.1|	503	1180544445	WP_084036424	493	35.15	181	243	5e-70	39791	hypothetical protein [Corynebacterium glucuronolyticum]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium glucuronolyticum
0	gi|410491676|ref|YP_006906898.1|	503	1056054350	WP_067580098	459	37.47	181	238	2e-68	455432	hypothetical protein [Nocardia terpenica]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia terpenica
