qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|422936541|ref|YP_007006390.1|	177	949732422	WP_057072674	188	53.55	98	187	2e-56	550	3'-5' exoribonuclease [Enterobacter cloacae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter cloacae
0	gi|422936541|ref|YP_007006390.1|	177	976146743	WP_059305328	190	53.55	98	186	8e-56	570	MULTISPECIES: 3'-5' exoribonuclease [Klebsiella]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	
0	gi|422936541|ref|YP_007006390.1|	177	1150808275	WP_078001789	189	53.55	98	186	8e-56	1926881	3'-5' exoribonuclease [Izhakiella australiensis]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Izhakiella	Izhakiella australiensis
0	gi|422936541|ref|YP_007006390.1|	177	823323345	WP_047077325	190	53.55	98	186	8e-56	548	3'-5' exoribonuclease [Klebsiella aerogenes]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella aerogenes
0	gi|422936541|ref|YP_007006390.1|	177	1255553216	WP_097456142	182	52.17	96	184	3e-55	562	3'-5' exoribonuclease [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|422936541|ref|YP_007006390.1|	177	898467908	WP_049592255	188	52.46	96	184	4e-55	571	3'-5' exoribonuclease [Klebsiella oxytoca]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella oxytoca
0	gi|422936541|ref|YP_007006390.1|	177	446938931	WP_001016187	182	51.63	95	183	6e-55	562	3'-5' exoribonuclease [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|422936541|ref|YP_007006390.1|	177	695653888	WP_032620634	189	52.46	96	184	6e-55	354276	MULTISPECIES: 3'-5' exoribonuclease [Enterobacter cloacae complex]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	
0	gi|422936541|ref|YP_007006390.1|	177	836564676	WP_047723078	188	51.37	94	183	8e-55	571	3'-5' exoribonuclease [Klebsiella oxytoca]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella oxytoca
0	gi|422936541|ref|YP_007006390.1|	177	446938932	WP_001016188	182	51.63	95	183	9e-55	562	3'-5' exoribonuclease [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|422936541|ref|YP_007006390.1|	177	553950137	WP_023150375	182	51.63	95	183	1e-54	562	3'-5' exoribonuclease [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|422936541|ref|YP_007006390.1|	177	490224649	WP_004123006	190	51.91	95	183	1e-54	1134687	3'-5' exoribonuclease [Klebsiella michiganensis]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella michiganensis
0	gi|422936541|ref|YP_007006390.1|	177	1031829033	WP_064155641	188	52.46	96	183	1e-54	573	3'-5' exoribonuclease [Klebsiella pneumoniae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
0	gi|422936541|ref|YP_007006390.1|	177	446938928	WP_001016184	182	51.63	95	182	1e-54	543	MULTISPECIES: 3'-5' exoribonuclease [Enterobacteriaceae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		
0	gi|422936541|ref|YP_007006390.1|	177	928815774	WP_053878830	182	51.63	95	182	2e-54	562	3'-5' exoribonuclease [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|422936541|ref|YP_007006390.1|	177	505183051	WP_015370153	188	51.91	95	182	2e-54	570	MULTISPECIES: 3'-5' exoribonuclease [Klebsiella]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	
0	gi|422936541|ref|YP_007006390.1|	177	1255354558	WP_097426537	182	51.63	95	182	2e-54	562	3'-5' exoribonuclease [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|422936541|ref|YP_007006390.1|	177	446938929	WP_001016185	182	51.63	95	182	2e-54	543	MULTISPECIES: 3'-5' exoribonuclease [Enterobacteriaceae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		
0	gi|422936541|ref|YP_007006390.1|	177	643937824	WP_025269782	182	51.63	95	182	2e-54	562	3'-5' exoribonuclease [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|422936541|ref|YP_007006390.1|	177	585272421	WP_024171969	182	51.09	94	182	2e-54	562	3'-5' exoribonuclease [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|422936541|ref|YP_007006390.1|	177	1119889606	WP_072775619	182	51.09	94	182	2e-54	562	3'-5' exoribonuclease [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|422936541|ref|YP_007006390.1|	177	506598324	WP_016063035	182	51.09	94	182	3e-54	562	3'-5' exoribonuclease [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|422936541|ref|YP_007006390.1|	177	1071997476	WP_069924752	182	51.09	94	182	3e-54	562	3'-5' exoribonuclease [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|422936541|ref|YP_007006390.1|	177	1016556631	WP_063122145	182	51.09	94	182	3e-54	562	3'-5' exoribonuclease [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|422936541|ref|YP_007006390.1|	177	1257316894	WP_097519150	182	51.63	95	182	3e-54	562	3'-5' exoribonuclease [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|422936541|ref|YP_007006390.1|	177	1121186667	WP_073527618	182	51.63	95	181	3e-54	562	3'-5' exoribonuclease [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|422936541|ref|YP_007006390.1|	177	979435092	WP_059327068	182	51.09	94	181	3e-54	562	3'-5' exoribonuclease [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|422936541|ref|YP_007006390.1|	177	1211949961	WP_088542464	182	51.63	95	181	3e-54	562	3'-5' exoribonuclease [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|422936541|ref|YP_007006390.1|	177	1221483310	WP_089637036	182	51.09	94	181	4e-54	562	3'-5' exoribonuclease [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|422936541|ref|YP_007006390.1|	177	1197805608	WP_086742621	183	51.87	97	181	4e-54	107327	3'-5' exoribonuclease [Pseudoalteromonas ulvae]	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Pseudoalteromonas ulvae
0	gi|422936541|ref|YP_007006390.1|	177	1236170853	WP_094963519	190	51.91	95	182	4e-54	571	3'-5' exoribonuclease [Klebsiella oxytoca]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella oxytoca
0	gi|422936541|ref|YP_007006390.1|	177	693078438	WP_032240943	182	51.09	94	181	4e-54	562	3'-5' exoribonuclease [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|422936541|ref|YP_007006390.1|	177	446938930	WP_001016186	182	51.09	94	181	4e-54	543	MULTISPECIES: 3'-5' exoribonuclease [Enterobacteriaceae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		
0	gi|422936541|ref|YP_007006390.1|	177	694106220	WP_032448895	190	51.91	95	181	5e-54	570	MULTISPECIES: 3'-5' exoribonuclease [Klebsiella]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	
0	gi|422936541|ref|YP_007006390.1|	177	510928291	WP_016248935	182	51.09	94	181	5e-54	561	MULTISPECIES: 3'-5' exoribonuclease [Escherichia]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	
0	gi|422936541|ref|YP_007006390.1|	177	1261195181	WP_097747463	182	51.09	94	181	5e-54	562	3'-5' exoribonuclease [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|422936541|ref|YP_007006390.1|	177	1167987044	WP_080231226	182	51.09	94	181	5e-54	28901	3'-5' exoribonuclease [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|422936541|ref|YP_007006390.1|	177	446938935	WP_001016191	182	51.09	94	181	5e-54	562	3'-5' exoribonuclease [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|422936541|ref|YP_007006390.1|	177	1134245668	WP_076487169	182	51.09	94	181	5e-54	562	3'-5' exoribonuclease [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|422936541|ref|YP_007006390.1|	177	1074992253	WP_070083005	188	51.91	95	181	6e-54	1905288	3'-5' exoribonuclease [Klebsiella sp. LTGPAF-6F]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella sp. LTGPAF-6F
0	gi|422936541|ref|YP_007006390.1|	177	1221396954	WP_089584307	182	50.54	93	181	6e-54	562	3'-5' exoribonuclease [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
