qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|45569495|ref|NP_996564.1|	210	1172319672	WP_080702951	190	99.47	189	373	6e-129	518	hypothetical protein [Bordetella bronchiseptica]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	Bordetella bronchiseptica
0	gi|45569495|ref|NP_996564.1|	210	504852367	WP_015039469	190	98.42	187	370	2e-127	519;1208660	hypothetical protein [Bordetella parapertussis]	NA	NA	NA	NA	NA	NA	NA
0	gi|45569495|ref|NP_996564.1|	210	1205064925	WP_087778748	179	84.57	148	275	2e-90	2008675	hypothetical protein [Pigmentiphaga sp. NML080357]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Pigmentiphaga	Pigmentiphaga sp. NML080357
0	gi|45569495|ref|NP_996564.1|	210	1126153313	WP_075157272	213	58.33	112	214	4e-66	1926494	hypothetical protein [Paraburkholderia sp. SOS3]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	Paraburkholderia sp. SOS3
0	gi|45569495|ref|NP_996564.1|	210	1223876090	WP_091908662	219	55.02	115	213	3e-65	1770053	hypothetical protein [Burkholderia sp. JS23]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia sp. JS23
0	gi|45569495|ref|NP_996564.1|	210	756182661	WP_042624325	210	57.77	119	207	2e-63	32008	MULTISPECIES: hypothetical protein [Burkholderia]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	
0	gi|45569495|ref|NP_996564.1|	210	502216420	WP_012735130	199	58.25	113	201	3e-61	337	hypothetical protein [Burkholderia glumae]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia glumae
0	gi|45569495|ref|NP_996564.1|	210	1248553586	WP_096750463	209	57.07	113	195	2e-58	28095	hypothetical protein [Burkholderia gladioli]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia gladioli
0	gi|45569495|ref|NP_996564.1|	210	1224379890	WP_092404165	196	60.31	117	193	4e-58	1566250	hypothetical protein [Pseudomonas sp. NFACC02]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. NFACC02
0	gi|45569495|ref|NP_996564.1|	210	503462473	WP_013697134	210	51.26	102	184	2e-54	28095	hypothetical protein [Burkholderia gladioli]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia gladioli
0	gi|45569495|ref|NP_996564.1|	210	1079277963	WP_070106328	209	56.12	110	174	2e-50	41899	hypothetical protein [Burkholderia plantarii]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia plantarii
0	gi|45569495|ref|NP_996564.1|	210	1214928481	WP_088931650	207	45.79	87	155	3e-43	87883	hypothetical protein [Burkholderia multivorans]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia multivorans
0	gi|45569495|ref|NP_996564.1|	210	1214921453	WP_088924665	200	47.85	89	151	1e-41	87883	hypothetical protein [Burkholderia multivorans]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia multivorans
0	gi|45569495|ref|NP_996564.1|	210	1219541588	WP_089494514	210	43.81	85	150	4e-41	2015345	hypothetical protein [Burkholderia sp. AU15512]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia sp. AU15512
0	gi|45569495|ref|NP_996564.1|	210	982146547	WP_060312009	215	43.65	86	147	5e-40	292	hypothetical protein [Burkholderia cepacia]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia cepacia
0	gi|45569495|ref|NP_996564.1|	210	982031850	WP_060206313	215	43.65	86	145	2e-39	292	hypothetical protein [Burkholderia cepacia]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia cepacia
0	gi|45569495|ref|NP_996564.1|	210	981888503	WP_060074408	175	47.93	81	144	3e-39	292	hypothetical protein [Burkholderia cepacia]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia cepacia
0	gi|45569495|ref|NP_996564.1|	210	981314474	WP_059531243	210	45.36	88	138	2e-36	292	hypothetical protein [Burkholderia cepacia]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia cepacia
0	gi|45569495|ref|NP_996564.1|	210	981290689	WP_059508536	175	43.27	74	118	2e-29	488732	hypothetical protein [Burkholderia diffusa]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia diffusa
0	gi|45569495|ref|NP_996564.1|	210	1061958854	WP_069264919	212	40.84	78	112	1e-26	60552	hypothetical protein [Burkholderia vietnamiensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia vietnamiensis
0	gi|45569495|ref|NP_996564.1|	210	1145333308	WP_077156915	199	47.75	85	106	1e-24	1855726	hypothetical protein [Burkholderia sp. KK1]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia sp. KK1
0	gi|45569495|ref|NP_996564.1|	210	1173193364	WP_081085045	141	45.19	61	103	8e-24	1503055	hypothetical protein, partial [Burkholderia territorii]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia territorii
0	gi|45569495|ref|NP_996564.1|	210	1063259946	WP_069361611	194	36.69	51	94.4	5e-20	1895021	hypothetical protein [Salinivibrio sp. BNH]	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Salinivibrio	Salinivibrio sp. BNH
0	gi|45569495|ref|NP_996564.1|	210	1148721697	WP_077457551	194	35.97	50	93.6	8e-20	1908198	hypothetical protein [Salinivibrio kushneri]	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Salinivibrio	Salinivibrio kushneri
0	gi|45569495|ref|NP_996564.1|	210	552558949	WP_023011802	192	53.12	51	90.5	1e-18	1397533	hypothetical protein [Marinobacter sp. EN3]	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Marinobacter	Marinobacter sp. EN3
0	gi|45569495|ref|NP_996564.1|	210	921064072	WP_053077922	192	52.08	50	90.1	1e-18	1658765	hypothetical protein [Marinobacter subterrani]	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Marinobacter	Marinobacter subterrani
0	gi|45569495|ref|NP_996564.1|	210	739557754	WP_037415953	193	38.95	67	88.6	6e-18	332186	hypothetical protein [Shewanella xiamenensis]	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	Shewanella xiamenensis
0	gi|45569495|ref|NP_996564.1|	210	521078917	WP_020409824	166	34.25	62	87.8	7e-18	286420	hypothetical protein [Hahella ganghwensis]	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Hahellaceae	Hahella	Hahella ganghwensis
0	gi|45569495|ref|NP_996564.1|	210	740320141	WP_038157308	194	34.67	52	87.4	2e-17	1526762	hypothetical protein [Vibrio sp. B183]	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio sp. B183
0	gi|45569495|ref|NP_996564.1|	210	1330023612	WP_102277031	173	34.91	59	86.3	3e-17	136468	hypothetical protein [Vibrio lentus]	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio lentus
0	gi|45569495|ref|NP_996564.1|	210	1198238756	WP_086903993	192	43.8	60	86.3	4e-17	24	hypothetical protein [Shewanella putrefaciens]	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	Shewanella putrefaciens
0	gi|45569495|ref|NP_996564.1|	210	653117861	WP_027367409	187	38.64	68	85.5	6e-17	873	hypothetical protein [Desulfovibrio africanus]	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio africanus
0	gi|45569495|ref|NP_996564.1|	210	740390683	WP_038224820	195	37.61	44	84.7	1e-16	1517681	hypothetical protein [Vibrio sp. ER1A]	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio sp. ER1A
0	gi|45569495|ref|NP_996564.1|	210	686261313	WP_031844063	195	34.93	51	83.2	6e-16	670	hypothetical protein [Vibrio parahaemolyticus]	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio parahaemolyticus
0	gi|45569495|ref|NP_996564.1|	210	1069258775	WP_069648224	175	30.6	56	82.8	6e-16	666	hypothetical protein [Vibrio cholerae]	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio cholerae
0	gi|45569495|ref|NP_996564.1|	210	500114154	WP_011790159	202	43.8	60	82.8	7e-16	351745	hypothetical protein [Shewanella sp. W3-18-1]	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	Shewanella sp. W3-18-1
0	gi|45569495|ref|NP_996564.1|	210	499944478	WP_011625212	192	43.07	59	81.6	1e-15	60481	hypothetical protein [Shewanella sp. MR-7]	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	Shewanella sp. MR-7
0	gi|45569495|ref|NP_996564.1|	210	1200013444	WP_087481059	175	31.87	58	80.9	2e-15	474394	hypothetical protein [Vibrio mangrovi]	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio mangrovi
0	gi|45569495|ref|NP_996564.1|	210	1024872006	WP_063522085	194	35.04	48	81.3	3e-15	1822216	hypothetical protein [Vibrio sp. HI00D65]	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio sp. HI00D65
0	gi|45569495|ref|NP_996564.1|	210	1123831118	WP_074373512	175	30.34	54	80.1	4e-15	1918945	hypothetical protein [Vibrio spartinae]	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio spartinae
0	gi|45569495|ref|NP_996564.1|	210	503971474	WP_014205468	194	45.95	34	80.1	6e-15	29494	hypothetical protein [Vibrio furnissii]	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio furnissii
