qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|156564230|ref|YP_001429597.1|	206	754572046	WP_041965330	153	33.83	45	69.3	2e-11	388741	hypothetical protein [Bacillus selenatarsenatis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus selenatarsenatis
0	gi|156564230|ref|YP_001429597.1|	206	1225039818	WP_093053895	159	28.67	41	67.4	9e-11	1601833	hypothetical protein [Salipaludibacillus aurantiacus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Salipaludibacillus	Salipaludibacillus aurantiacus
0	gi|156564093|ref|YP_001429602.1|	242	1267781870	WP_098525770	235	37.07	76	149	4e-40	1404	hypothetical protein [Bacillus megaterium]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus megaterium
0	gi|156564093|ref|YP_001429602.1|	242	1189733806	WP_085782823	234	39.78	74	147	2e-39	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|156564093|ref|YP_001429602.1|	242	446032242	WP_000110097	234	39.78	74	146	5e-39	1386	MULTISPECIES: hypothetical protein [Bacillus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
0	gi|156564093|ref|YP_001429602.1|	242	1056484116	WP_067924104	248	40	74	136	6e-35	392014	hypothetical protein [Alicyclobacillus shizuokensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Alicyclobacillaceae	Alicyclobacillus	Alicyclobacillus shizuokensis
0	gi|156564093|ref|YP_001429602.1|	242	1196942882	WP_086373243	253	32.72	71	136	6e-35	1834180	hypothetical protein [Enterococcus sp. 4E1_DIV0656]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus sp. 4E1_DIV0656
0	gi|156564093|ref|YP_001429602.1|	242	1068526370	WP_069590463	220	34.76	65	132	1e-33	1525	hypothetical protein [Moorella thermoacetica]	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Moorella	Moorella thermoacetica
0	gi|156564093|ref|YP_001429602.1|	242	1222597212	WP_090646070	247	37.31	72	128	6e-32	1502753	hypothetical protein [Paenibacillus sp. UNC496MF]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus sp. UNC496MF
0	gi|156564093|ref|YP_001429602.1|	242	918545826	WP_052512174	246	37.1	69	127	2e-31	1499968	hypothetical protein [Paenibacillus sp. TCA20]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus sp. TCA20
0	gi|156564093|ref|YP_001429602.1|	242	1215912769	WP_089097236	257	34.9	67	125	6e-31	883812	hypothetical protein [Geobacillus galactosidasius]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Geobacillus	Geobacillus galactosidasius
0	gi|156564093|ref|YP_001429602.1|	242	1325658218	WP_101561875	250	36.96	68	124	2e-30	1648923	hypothetical protein [Bacillus paralicheniformis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus paralicheniformis
0	gi|156564093|ref|YP_001429602.1|	242	1172233389	WP_080623683	250	36.96	68	124	3e-30	1402	hypothetical protein [Bacillus licheniformis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus licheniformis
0	gi|156564093|ref|YP_001429602.1|	242	740413480	WP_038246722	255	35.64	67	116	2e-27	1462526	hypothetical protein [Virgibacillus massiliensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Virgibacillus	Virgibacillus massiliensis
0	gi|156564093|ref|YP_001429602.1|	242	749201230	WP_040113863	209	38.06	59	115	3e-27	1561	hypothetical protein [Clostridium baratii]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium baratii
0	gi|156564093|ref|YP_001429602.1|	242	506995928	WP_016084617	250	33.88	62	114	9e-27	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|156564093|ref|YP_001429602.1|	242	1268130965	WP_098687404	250	33.88	62	114	1e-26	155322	hypothetical protein [Bacillus toyonensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus toyonensis
0	gi|156564093|ref|YP_001429602.1|	242	1267373007	WP_098205198	250	33.88	62	114	1e-26	86661	MULTISPECIES: hypothetical protein [Bacillus cereus group]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
0	gi|156564098|ref|YP_001429607.1|	635	917533231	WP_052139648	624	42.83	260	446	1e-144	1561	hypothetical protein [Clostridium baratii]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium baratii
0	gi|156564098|ref|YP_001429607.1|	635	1068526398	WP_069590477	547	33.21	187	285	1e-83	1525	hypothetical protein [Moorella thermoacetica]	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Moorella	Moorella thermoacetica
0	gi|156564098|ref|YP_001429607.1|	635	1222597196	WP_090646054	585	34.11	191	284	5e-83	1502753	hypothetical protein [Paenibacillus sp. UNC496MF]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus sp. UNC496MF
0	gi|156564098|ref|YP_001429607.1|	635	1056484133	WP_067924121	583	33.69	188	280	2e-81	392014	hypothetical protein [Alicyclobacillus shizuokensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Alicyclobacillaceae	Alicyclobacillus	Alicyclobacillus shizuokensis
0	gi|156564098|ref|YP_001429607.1|	635	740413465	WP_038246707	586	33.64	183	271	3e-78	1462526	hypothetical protein [Virgibacillus massiliensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Virgibacillus	Virgibacillus massiliensis
0	gi|156564098|ref|YP_001429607.1|	635	506996164	WP_016084853	588	31.43	204	269	2e-77	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|156564098|ref|YP_001429607.1|	635	918545851	WP_052512176	586	34.48	191	267	1e-76	1499968	hypothetical protein [Paenibacillus sp. TCA20]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus sp. TCA20
0	gi|156564098|ref|YP_001429607.1|	635	1268128187	WP_098685644	588	31.12	202	266	3e-76	86661	MULTISPECIES: hypothetical protein [Bacillus cereus group]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
0	gi|156564098|ref|YP_001429607.1|	635	1267373013	WP_098205204	588	30.97	201	265	1e-75	1428	hypothetical protein [Bacillus thuringiensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
0	gi|156564098|ref|YP_001429607.1|	635	1172233594	WP_080623888	595	32.34	185	264	2e-75	653685	MULTISPECIES: hypothetical protein [Bacillus subtilis group]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
0	gi|156564098|ref|YP_001429607.1|	635	445999593	WP_000077448	964	31.75	181	237	2e-63	1386	MULTISPECIES: hypothetical protein [Bacillus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
0	gi|156564098|ref|YP_001429607.1|	635	1267443659	WP_098265227	964	32.8	186	235	6e-63	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|156564098|ref|YP_001429607.1|	635	1189733811	WP_085782828	964	32.63	185	234	1e-62	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|156564098|ref|YP_001429607.1|	635	1267781903	WP_098525803	963	32.09	181	228	2e-60	1404	hypothetical protein [Bacillus megaterium]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus megaterium
0	gi|156564098|ref|YP_001429607.1|	635	1196942872	WP_086373233	428	29.47	117	143	2e-33	1834180	hypothetical protein [Enterococcus sp. 4E1_DIV0656]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus sp. 4E1_DIV0656
0	gi|156564098|ref|YP_001429607.1|	635	1215912763	WP_089097230	171	40.76	64	104	5e-22	883812	hypothetical protein [Geobacillus galactosidasius]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Geobacillus	Geobacillus galactosidasius
0	gi|156564098|ref|YP_001429607.1|	635	1215912761	WP_089097228	219	30.22	81	95.1	3e-18	883812	hypothetical protein [Geobacillus galactosidasius]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Geobacillus	Geobacillus galactosidasius
0	gi|156564098|ref|YP_001429607.1|	635	1215912760	WP_089097227	229	33.86	43	88.6	5e-16	883812	hypothetical protein [Geobacillus galactosidasius]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Geobacillus	Geobacillus galactosidasius
0	gi|156564100|ref|YP_001429609.1|	401	1068526535	WP_069590548	508	31.77	163	203	5e-56	1525	hypothetical protein [Moorella thermoacetica]	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Moorella	Moorella thermoacetica
0	gi|156564100|ref|YP_001429609.1|	401	843084697	WP_047913091	458	28.44	122	171	2e-44	1499968	hypothetical protein [Paenibacillus sp. TCA20]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus sp. TCA20
0	gi|156564100|ref|YP_001429609.1|	401	1057318908	WP_068680087	364	28.46	111	110	9e-24	1844972	hypothetical protein [Paenibacillus oryzae]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus oryzae
0	gi|156564100|ref|YP_001429609.1|	401	489431693	WP_003337267	410	28.81	123	105	1e-21	1465	hypothetical protein [Brevibacillus laterosporus]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus laterosporus
0	gi|156564100|ref|YP_001429609.1|	401	670465993	WP_031414770	410	29.04	124	103	4e-21	1465	hypothetical protein [Brevibacillus laterosporus]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus laterosporus
0	gi|156564100|ref|YP_001429609.1|	401	517500467	WP_018671044	410	29.51	126	103	4e-21	1465	hypothetical protein [Brevibacillus laterosporus]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus laterosporus
0	gi|156564100|ref|YP_001429609.1|	401	1057492176	WP_068793432	410	28.81	123	103	6e-21	1465	hypothetical protein [Brevibacillus laterosporus]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus laterosporus
0	gi|156564100|ref|YP_001429609.1|	401	1252981504	WP_096885362	410	28.34	121	102	9e-21	1465	hypothetical protein [Brevibacillus laterosporus]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus laterosporus
0	gi|156564100|ref|YP_001429609.1|	401	1234066882	WP_094701652	410	29.27	125	102	1e-20	1465	hypothetical protein [Brevibacillus laterosporus]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus laterosporus
0	gi|156564100|ref|YP_001429609.1|	401	1325767827	WP_101668116	410	28.81	123	101	2e-20	1465	hypothetical protein [Brevibacillus laterosporus]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus laterosporus
0	gi|156564100|ref|YP_001429609.1|	401	550158573	WP_022584830	410	28.81	123	101	2e-20	1465	hypothetical protein [Brevibacillus laterosporus]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus laterosporus
0	gi|156564100|ref|YP_001429609.1|	401	1028847852	WP_064016815	407	28.81	123	100	4e-20	1247872	hypothetical protein, partial [Brevibacillus sp. SKDU10]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus sp. SKDU10
0	gi|156564100|ref|YP_001429609.1|	401	494671489	WP_007429430	406	27.52	112	99	2e-19	1050222	hypothetical protein [Paenibacillus sp. Aloe-11]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus sp. Aloe-11
