qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|119952181|ref|YP_950480.1|	161	563481657	WP_023705286	152	39.82	45	79.7	1e-15	1287313	hypothetical protein [Mesorhizobium sp. LSJC255A00]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp. LSJC255A00
0	gi|119952181|ref|YP_950480.1|	161	1181506182	WP_084798739	128	39.8	39	68.6	1e-11	472693	hypothetical protein [Pantoea eucrina]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Pantoea eucrina
0	gi|119952182|ref|YP_950481.1|	104	822544284	WP_046973410	104	97.12	101	214	2e-69	231455	hypothetical protein [Dyella japonica]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Dyella	Dyella japonica
0	gi|119952183|ref|YP_950482.1|	145	779847788	WP_045346992	117	48.87	65	112	1e-28	158836	hypothetical protein [Enterobacter hormaechei]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter hormaechei
0	gi|119952188|ref|YP_950487.1|	104	822544298	WP_046973424	104	98.08	102	208	8e-67	231455	hypothetical protein [Dyella japonica]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Dyella	Dyella japonica
0	gi|119952191|ref|YP_950490.1|	122	1258456466	WP_097652851	109	56.47	48	95.1	4e-22	1506545	DUF4326 domain-containing protein [Candidatus Chloroploca asiatica]	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Oscillochloridaceae	Candidatus Chloroploca	Candidatus Chloroploca asiatica
0	gi|119952191|ref|YP_950490.1|	122	1198997759	WP_087106869	91	52.13	49	94	7e-22	1960125	DUF4326 domain-containing protein [Endozoicomonas sp. S-B4-1U]	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Endozoicomonaceae	Parendozoicomonas	Parendozoicomonas haliclonae
0	gi|119952191|ref|YP_950490.1|	122	502797051	WP_013032027	102	50.54	47	94	9e-22	133539	DUF4326 domain-containing protein [Nitrosococcus halophilus]	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Nitrosococcus	Nitrosococcus halophilus
0	gi|119952191|ref|YP_950490.1|	122	554674422	WP_023175694	129	48.98	48	84.7	4e-18	1416614	DUF4326 domain-containing protein [Gloeobacter kilaueensis]	Bacteria	Cyanobacteria	Gloeobacteria	Gloeobacterales	Gloeobacteraceae	Gloeobacter	Gloeobacter kilaueensis
0	gi|119952191|ref|YP_950490.1|	122	518196728	WP_019366936	97	48.39	45	80.5	9e-17	286	MULTISPECIES: DUF4326 domain-containing protein [Pseudomonas]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	
