qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|148747808|ref|YP_001285774.1|	682	1180523982	WP_084020701	557	26.58	126	110	8e-22	217168	hypothetical protein [Microvirga flocculans]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Microvirga	Microvirga flocculans
0	gi|148747808|ref|YP_001285774.1|	682	1242662269	WP_095788192	545	28.7	128	98.2	6e-18	2029411	DNA primase [Mesorhizobium sp. WSM4312]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp. WSM4312
0	gi|148747808|ref|YP_001285774.1|	682	491171952	WP_005030319	598	24.79	118	96.7	2e-17	35833	topoisomerase [Bilophila wadsworthia]	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Bilophila	Bilophila wadsworthia
0	gi|148747808|ref|YP_001285774.1|	682	503268019	WP_013502680	541	29.33	100	95.5	4e-17	1076	DNA primase [Rhodopseudomonas palustris]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Rhodopseudomonas	Rhodopseudomonas palustris
0	gi|148747808|ref|YP_001285774.1|	682	1172265320	WP_080654659	634	29.5	82	95.1	7e-17	382	hypothetical protein [Sinorhizobium meliloti]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium meliloti
0	gi|148747808|ref|YP_001285774.1|	682	740800660	WP_038585943	543	27.64	102	94	1e-16	399	DNA primase [Neorhizobium galegae]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Neorhizobium	Neorhizobium galegae
0	gi|148747808|ref|YP_001285774.1|	682	1325904062	WP_101778067	521	30.43	84	93.6	2e-16	110321	topoisomerase [Sinorhizobium medicae]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium medicae
0	gi|148747808|ref|YP_001285774.1|	682	1258290717	WP_097587427	520	29.86	83	93.2	2e-16	380	topoisomerase [Sinorhizobium fredii]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium fredii
0	gi|148747808|ref|YP_001285774.1|	682	495472774	WP_008197462	539	26.07	128	88.6	6e-15	388408	topoisomerase [Labrenzia alexandrii]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Labrenzia	Labrenzia alexandrii
0	gi|148747808|ref|YP_001285774.1|	682	496661481	WP_009303974	563	24.11	108	88.2	8e-15	665942	topoisomerase [Desulfovibrio sp. 6_1_46AFAA]	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio sp. 6_1_46AFAA
0	gi|148747808|ref|YP_001285774.1|	682	1173203903	WP_081093590	498	26.06	129	85.9	4e-14	358	hypothetical protein [Agrobacterium tumefaciens]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Agrobacterium tumefaciens
0	gi|148747808|ref|YP_001285774.1|	682	1180279514	WP_083798319	587	29.27	60	85.9	5e-14	638849	topoisomerase [Pyramidobacter piscolens]	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Pyramidobacter	Pyramidobacter piscolens
0	gi|148747808|ref|YP_001285774.1|	682	1159279338	WP_079211880	570	25.35	126	85.1	8e-14	571256	hypothetical protein [Ochrobactrum pituitosum]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Ochrobactrum	Ochrobactrum pituitosum
0	gi|148747808|ref|YP_001285774.1|	682	1183828027	WP_085025233	547	28.09	109	84.7	1e-13	1708715	DNA primase [Ensifer aridi]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ensifer	Ensifer aridi
0	gi|148747808|ref|YP_001285774.1|	682	1175466799	WP_082009606	551	27.6	101	84.7	1e-13	1339244	DNA primase [Methylobacterium sp. ZNC0032]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium sp. ZNC0032
0	gi|148747808|ref|YP_001285774.1|	682	739117100	WP_036986693	542	26.99	105	84	2e-13	78327	DNA primase [Pseudomonas mosselii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas mosselii
0	gi|148747808|ref|YP_001285774.1|	682	1035782134	WP_064590839	542	26.99	105	84	2e-13	303	DNA primase [Pseudomonas putida]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas putida
0	gi|148747808|ref|YP_001285774.1|	682	1175373234	WP_081921026	553	28.18	104	83.6	2e-13	1500301	DNA primase [Rhizobium sp. CF097]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium sp. CF097
0	gi|148747808|ref|YP_001285774.1|	682	1175502071	WP_082044719	544	26.74	104	82.8	4e-13	1586081	DNA primase [Pseudomonas sp. C5pp]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. C5pp
0	gi|148747808|ref|YP_001285774.1|	682	516836718	WP_018123393	491	24.43	107	82.4	5e-13	63560	DNA primase [Desulfovibrio oxyclinae]	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio oxyclinae
0	gi|148747808|ref|YP_001285774.1|	682	983338198	WP_060518979	542	27.01	104	82.4	5e-13	1661049	DNA primase [Pseudomonas sp. NBRC 111134]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. NBRC 111134
0	gi|148747808|ref|YP_001285774.1|	682	727229472	WP_033690344	542	26.74	104	82.4	5e-13	286	MULTISPECIES: DNA primase [Pseudomonas]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	
0	gi|148747808|ref|YP_001285774.1|	682	494819731	WP_007555139	537	25.55	104	82.4	6e-13	309120	DNA primase/helicase [Dialister micraerophilus]	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Dialister	Dialister micraerophilus
0	gi|148747808|ref|YP_001285774.1|	682	898337623	WP_049587543	534	26.74	104	81.6	1e-12	303	DNA primase [Pseudomonas putida]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas putida
0	gi|148747808|ref|YP_001285774.1|	682	445968658	WP_000046513	544	24.9	120	81.3	1e-12	666	DNA primase [Vibrio cholerae]	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio cholerae
0	gi|148747808|ref|YP_001285774.1|	682	1002826504	WP_061405615	483	26.74	104	80.5	2e-12	303;160488	bifunctional DNA primase/helicase [Pseudomonas putida]	NA	NA	NA	NA	NA	NA	NA
0	gi|148747808|ref|YP_001285774.1|	682	498391851	WP_010705744	637	31.8	69	81.3	2e-12	33047	phage related protein [Bartonella vinsonii]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bartonellaceae	Bartonella	Bartonella vinsonii
0	gi|148747808|ref|YP_001285774.1|	682	729043952	WP_033928509	544	24.69	119	80.9	2e-12	666	DNA primase [Vibrio cholerae]	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio cholerae
0	gi|148747808|ref|YP_001285774.1|	682	1067223416	WP_069548567	544	25.05	120	80.1	3e-12	670	DNA primase [Vibrio parahaemolyticus]	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio parahaemolyticus
0	gi|148747808|ref|YP_001285774.1|	682	503337174	WP_013571835	544	24.9	120	80.1	3e-12	662	MULTISPECIES: DNA primase [Vibrio]	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	
0	gi|148747808|ref|YP_001285774.1|	682	1122268592	WP_074000111	544	24.9	120	80.1	3e-12	670	DNA primase [Vibrio parahaemolyticus]	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio parahaemolyticus
0	gi|148747808|ref|YP_001285774.1|	682	658982843	WP_029824407	544	24.9	120	80.1	3e-12	670	DNA primase [Vibrio parahaemolyticus]	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio parahaemolyticus
0	gi|148747808|ref|YP_001285774.1|	682	563544245	WP_023750224	552	26.98	99	79.3	6e-12	1287268	DNA primase [Mesorhizobium sp. LNJC384A00]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp. LNJC384A00
0	gi|148747808|ref|YP_001285774.1|	682	665871365	WP_031238572	552	26.98	99	79	7e-12	1287281	hypothetical protein [Mesorhizobium sp. LNJC405B00]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp. LNJC405B00
0	gi|148747808|ref|YP_001285774.1|	682	1189160560	WP_085589331	553	30	90	79	7e-12	1981745	DNA primase [Pseudomonas sp. B14(2017)]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. B14(2017)
0	gi|148747808|ref|YP_001285774.1|	682	505212264	WP_015399366	637	31.34	68	78.2	1e-11	33047	phage related protein [Bartonella vinsonii]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bartonellaceae	Bartonella	Bartonella vinsonii
0	gi|148747808|ref|YP_001285774.1|	682	1180349606	WP_083868406	429	33.33	69	77.4	1e-11	481138	DNA primase, partial [Bartonella queenslandensis]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bartonellaceae	Bartonella	Bartonella queenslandensis
0	gi|148747808|ref|YP_001285774.1|	682	494587763	WP_007346359	641	32.52	67	77.4	3e-11	270250	DNA primase [Bartonella rattimassiliensis]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bartonellaceae	Bartonella	Bartonella rattimassiliensis
0	gi|148747808|ref|YP_001285774.1|	682	1279549801	WP_100131264	430	32.85	68	76.3	3e-11	85701	DNA primase, partial [Bartonella tribocorum]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bartonellaceae	Bartonella	Bartonella tribocorum
0	gi|148747808|ref|YP_001285774.1|	682	1119270867	WP_072249629	558	25.05	120	76.3	4e-11	363953	hypothetical protein [Chelatococcus sambhunathii]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Chelatococcaceae	Chelatococcus	Chelatococcus sambhunathii
0	gi|148747808|ref|YP_001285774.1|	682	736435615	WP_034457675	796	31.58	66	76.6	5e-11	92181	bifunctional DNA primase/helicase [Bartonella koehlerae]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bartonellaceae	Bartonella	Bartonella koehlerae
0	gi|148747808|ref|YP_001285774.1|	682	505211381	WP_015398483	613	30.22	81	75.9	8e-11	388640	phage related protein [Bartonella australis]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bartonellaceae	Bartonella	Bartonella australis
0	gi|148747808|ref|YP_001285774.1|	682	1200056143	WP_087502354	557	26.64	114	75.5	8e-11	1986221	DNA primase [Pseudomonas sp. SID14000]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. SID14000
