qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|190151416|ref|YP_001974327.1|	355	1330708922	WP_102574156	355	96.9	344	708	0	1338	site-specific integrase [Streptococcus intermedius]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus intermedius
0	gi|190151416|ref|YP_001974327.1|	355	1183680250	WP_084911812	355	93.8	333	689	0	1303	site-specific integrase [Streptococcus oralis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus oralis
0	gi|190151416|ref|YP_001974327.1|	355	1183621441	WP_084856280	355	92.96	330	684	0	1303	site-specific integrase [Streptococcus oralis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus oralis
0	gi|190151416|ref|YP_001974327.1|	355	881047075	WP_048765924	355	90.99	323	672	0	45634	site-specific integrase [Streptococcus cristatus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus cristatus
0	gi|190151416|ref|YP_001974327.1|	355	881076117	WP_048792181	355	90.14	320	667	0	45634	site-specific integrase [Streptococcus cristatus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus cristatus
0	gi|190151416|ref|YP_001974327.1|	355	896607494	WP_049490407	355	88.73	315	657	0	1303	site-specific integrase [Streptococcus oralis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus oralis
0	gi|190151416|ref|YP_001974327.1|	355	881068303	WP_048785342	355	82.54	293	623	0	1338	site-specific integrase [Streptococcus intermedius]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus intermedius
0	gi|190151416|ref|YP_001974327.1|	355	1225647570	WP_093650249	355	80.85	287	617	0	1608583	site-specific integrase [Streptococcus varani]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus varani
0	gi|190151416|ref|YP_001974327.1|	355	446254428	WP_000332283	355	80.56	286	616	0	1301	MULTISPECIES: site-specific integrase [Streptococcus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
0	gi|190151416|ref|YP_001974327.1|	355	746719368	WP_039677527	355	80.28	285	616	0	76860	site-specific integrase [Streptococcus constellatus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus constellatus
0	gi|190151416|ref|YP_001974327.1|	355	912621951	WP_050198771	355	79.44	282	613	0	1311	site-specific integrase [Streptococcus agalactiae]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus agalactiae
0	gi|190151416|ref|YP_001974327.1|	355	950652809	WP_057489509	355	80.28	285	605	0	1328	site-specific integrase [Streptococcus anginosus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus anginosus
