qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|84662594|ref|YP_453559.1|	72	924516585	WP_053520526	74	58.57	41	84.7	3e-19	347	hypothetical protein [Xanthomonas oryzae]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas oryzae
0	gi|84662595|ref|YP_453560.1|	101	924516584	WP_053520525	102	82.61	76	161	2e-48	347	hypothetical protein [Xanthomonas oryzae]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas oryzae
0	gi|84662595|ref|YP_453560.1|	101	916815021	WP_051422077	135	41.96	47	67.8	8e-12	1284392	hypothetical protein [Pseudomonas sp. FH1]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. FH1
0	gi|84662595|ref|YP_453560.1|	101	1332922470	WP_102882459	135	41.96	47	66.6	2e-11	380021	hypothetical protein [Pseudomonas protegens]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas protegens
0	gi|84662595|ref|YP_453560.1|	101	1175119335	WP_081667962	133	43.33	52	65.1	6e-11	53412	hypothetical protein [Pseudomonas resinovorans]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas resinovorans
0	gi|84662595|ref|YP_453560.1|	101	1183624619	WP_084859341	70	54.84	34	63.5	8e-11	303	hypothetical protein [Pseudomonas putida]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas putida
0	gi|84662597|ref|YP_453562.1|	561	924516583	WP_053520524	561	76.47	429	884	0	347	terminase large subunit [Xanthomonas oryzae]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas oryzae
0	gi|84662597|ref|YP_453562.1|	561	1057088988	WP_068489921	560	54.23	301	572	0	1285242	terminase large subunit [Magnetospirillum marisnigri]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Magnetospirillum	Magnetospirillum marisnigri
0	gi|84662597|ref|YP_453562.1|	561	924602584	WP_053524109	559	51.9	287	568	0	95486	terminase large subunit [Burkholderia cenocepacia]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia cenocepacia
0	gi|84662597|ref|YP_453562.1|	561	738459233	WP_036410254	553	49.82	271	567	0	582	terminase large subunit [Morganella morganii]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Morganella	Morganella morganii
0	gi|84662597|ref|YP_453562.1|	561	1230826274	WP_094288340	553	51.55	282	561	0	2004485	terminase large subunit [Acidovorax sp. KNDSW-TSA6]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. KNDSW-TSA6
