qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|410491721|ref|YP_006906943.1|	420	1133505212	WP_075986215	417	88.57	372	751	0	206662	PBSX family phage terminase large subunit [Streptomyces sp. FR-008]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. FR-008
0	gi|410491721|ref|YP_006906943.1|	420	1098702420	WP_071282724	419	87.65	369	736	0	1906740	PBSX family phage terminase large subunit [Streptomyces sp. CC53]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. CC53
0	gi|410491721|ref|YP_006906943.1|	420	1264381907	WP_097991864	419	85.51	360	728	0	1827742	PBSX family phage terminase large subunit [Streptomyces sp. f51]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. f51
0	gi|410491721|ref|YP_006906943.1|	420	664498701	WP_031017717	418	85	357	726	0	1463938	PBSX family phage terminase large subunit [Streptomyces sp. NRRL WC-3795]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. NRRL WC-3795
0	gi|410491721|ref|YP_006906943.1|	420	1011094113	WP_062028483	426	83.06	358	704	0	67340	PBSX family phage terminase large subunit [Streptomyces phaeopurpureus]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces phaeopurpureus
0	gi|410491721|ref|YP_006906943.1|	420	1011908323	WP_062723144	412	83.94	345	696	0	661399	PBSX family phage terminase large subunit [Streptomyces caeruleatus]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces caeruleatus
0	gi|410491721|ref|YP_006906943.1|	420	664039524	WP_030579153	417	83.01	342	693	0	1908	PBSX family phage terminase large subunit [Streptomyces globisporus]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces globisporus
0	gi|410491721|ref|YP_006906943.1|	420	915460277	WP_050799810	421	81.86	343	691	0	998084	PBSX family phage terminase large subunit [Streptomyces himastatinicus]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces himastatinicus
0	gi|410491721|ref|YP_006906943.1|	420	1268741364	WP_099015520	418	83.21	342	687	0	92644	PBSX family phage terminase large subunit [Streptomyces malaysiensis]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces malaysiensis
0	gi|410491721|ref|YP_006906943.1|	420	970977354	WP_058846085	418	81.19	341	687	0	1765722	PBSX family phage terminase large subunit [Streptomyces silvensis]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces silvensis
0	gi|410491721|ref|YP_006906943.1|	420	654253537	WP_027768987	414	80.77	336	679	0	1288081	PBSX family phage terminase large subunit [Streptomyces sp. CNQ865]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. CNQ865
0	gi|410491721|ref|YP_006906943.1|	420	654244370	WP_027759981	422	81.27	334	676	0	1288079	PBSX family phage terminase large subunit [Streptomyces sp. CNT318]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. CNT318
0	gi|410491721|ref|YP_006906943.1|	420	1160360306	WP_079405462	425	78.15	329	665	0	1964449	PBSX family phage terminase large subunit [Streptomyces sp. 3211]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. 3211
0	gi|410491721|ref|YP_006906943.1|	420	1288863818	WP_100581159	429	77.41	329	663	0	2020327	PBSX family phage terminase large subunit [Streptomyces sp. CB02120-2]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. CB02120-2
0	gi|410491721|ref|YP_006906943.1|	420	665612585	WP_031174710	418	81.27	334	657	0	1883	MULTISPECIES: PBSX family phage terminase large subunit [Streptomyces]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	
0	gi|410491721|ref|YP_006906943.1|	420	664490853	WP_031010671	423	77.64	323	655	0	1463871	PBSX family phage terminase large subunit [Streptomyces sp. NRRL F-5727]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. NRRL F-5727
0	gi|410491721|ref|YP_006906943.1|	420	1289007279	WP_100601804	415	77.7	317	638	0	2020330	PBSX family phage terminase large subunit [Streptomyces sp. CB02959]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. CB02959
0	gi|410491721|ref|YP_006906943.1|	420	1206275006	WP_087885420	415	77.04	312	632	0	67267	PBSX family phage terminase large subunit [Streptomyces alboflavus]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces alboflavus
0	gi|410491721|ref|YP_006906943.1|	420	1332967138	WP_102924302	415	75.54	312	629	0	1971	PBSX family phage terminase large subunit [Streptomyces noursei]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces noursei
0	gi|410491721|ref|YP_006906943.1|	420	663234914	WP_030271212	418	75	312	627	0	1463833	PBSX family phage terminase large subunit [Streptomyces sp. NRRL B-24484]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. NRRL B-24484
0	gi|410491721|ref|YP_006906943.1|	420	739826526	WP_037677992	416	76.28	312	625	0	66875	PBSX family phage terminase large subunit [Streptomyces catenulae]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces catenulae
0	gi|410491721|ref|YP_006906943.1|	420	759760508	WP_043470999	424	74.57	302	614	0	1444769	PBSX family phage terminase large subunit [Kitasatospora sp. MBT66]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Kitasatospora	Kitasatospora sp. MBT66
0	gi|410491721|ref|YP_006906943.1|	420	702739943	WP_033251383	418	74.45	303	613	0	2065	terminase [Kitasatospora phosalacinea]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Kitasatospora	Kitasatospora phosalacinea
0	gi|410491721|ref|YP_006906943.1|	420	943990267	WP_055584506	416	73.15	297	607	0	42236	terminase [Streptomyces diastatochromogenes]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces diastatochromogenes
0	gi|410491721|ref|YP_006906943.1|	420	1225866483	WP_093861081	424	74.81	303	605	0	1855352	PBSX family phage terminase large subunit [Streptomyces sp. TLI_053]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. TLI_053
0	gi|410491721|ref|YP_006906943.1|	420	1130891597	WP_075662874	412	73.22	298	597	0	42234	PBSX family phage terminase large subunit [Streptomyces acidiscabies]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces acidiscabies
0	gi|410491721|ref|YP_006906943.1|	420	917134365	WP_051741077	435	71.57	297	591	0	285514	PBSX family phage terminase large subunit [Streptomyces xylophagus]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces xylophagus
0	gi|410491721|ref|YP_006906943.1|	420	1178590899	WP_083105849	420	72.53	301	589	0	553510	PBSX family phage terminase large subunit [Streptomyces gilvosporeus]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces gilvosporeus
