qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|643655116|ref|YP_009037194.1|	392	494942839	WP_007668867	422	30.31	117	144	4e-35	331869	ATP-binding protein [alpha proteobacterium BAL199]	Bacteria	Proteobacteria	Alphaproteobacteria				alpha proteobacterium BAL199
0	gi|643655116|ref|YP_009037194.1|	392	916637040	WP_051244131	424	30.85	120	142	2e-34	455360	ATP-binding protein [Thalassobaculum salexigens]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Thalassobaculum	Thalassobaculum salexigens
0	gi|643655116|ref|YP_009037194.1|	392	1332879855	WP_102841951	422	29.92	111	142	2e-34	199596	ATP-binding protein [Methylocella silvestris]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylocella	Methylocella silvestris
0	gi|643655116|ref|YP_009037194.1|	392	1223645151	WP_091680865	461	31.38	118	142	3e-34	1612308	ATP-binding protein [Methylocapsa palsarum]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylocapsa	Methylocapsa palsarum
0	gi|643655116|ref|YP_009037194.1|	392	1258478348	WP_097668229	443	30.26	115	141	7e-34	931866	ATP-binding protein [Bradyrhizobium ottawaense]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium ottawaense
0	gi|643655116|ref|YP_009037194.1|	392	1180996128	WP_084409650	406	32.91	104	139	3e-33	937218	ATP-binding protein [Fulvimarina manganoxydans]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Aurantimonadaceae	Fulvimarina	Fulvimarina manganoxydans
0	gi|643655116|ref|YP_009037194.1|	392	1175323423	WP_081871216	384	28.65	106	136	1e-32	472175	ATP-binding protein [Nitratireductor basaltis]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Nitratireductor	Nitratireductor basaltis
0	gi|643655116|ref|YP_009037194.1|	392	1225279609	WP_093290745	428	32.08	119	136	4e-32	1882753	ATP-binding protein [Thermoactinomyces sp. DSM 45892]	Bacteria	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae	Thermoactinomyces	Thermoactinomyces sp. DSM 45892
0	gi|643655116|ref|YP_009037194.1|	392	1143024221	WP_077067501	445	27.97	106	135	5e-32	1329640	ATP-binding protein [Alkalispirochaeta odontotermitis]	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Alkalispirochaeta	Alkalispirochaeta odontotermitis
0	gi|643655116|ref|YP_009037194.1|	392	503259806	WP_013494467	410	30.91	119	135	7e-32	73919	ATP-binding protein [Thermaerobacter marianensis]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XVII. Incertae Sedis	Thermaerobacter	Thermaerobacter marianensis
0	gi|643655116|ref|YP_009037194.1|	392	1246904061	WP_096488002	417	30	111	135	8e-32	223967	ATP-binding protein [Methylobacterium populi]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium populi
0	gi|643655116|ref|YP_009037194.1|	392	1223650700	WP_091686343	464	31.91	97	134	2e-31	1612308	ATP-binding protein [Methylocapsa palsarum]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylocapsa	Methylocapsa palsarum
0	gi|643655116|ref|YP_009037194.1|	392	947840072	WP_056500895	406	32.28	102	133	2e-31	1736381	ATP-binding protein [Aureimonas sp. Leaf454]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Aurantimonadaceae	Aureimonas	Aureimonas sp. Leaf454
0	gi|643655116|ref|YP_009037194.1|	392	1223858236	WP_091891157	427	27.95	102	132	6e-31	1761800	ATP-binding protein [Methylobacterium sp. yr596]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium sp. yr596
0	gi|643655116|ref|YP_009037194.1|	392	1119943703	WP_072824927	504	29.71	101	133	6e-31	1437360	hypothetical protein [Bradyrhizobium erythrophlei]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium erythrophlei
0	gi|643655116|ref|YP_009037194.1|	392	1154791152	WP_078707080	406	31.68	102	132	7e-31	1881059	ATP-binding protein [Aurantimonas sp. USBA 369]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Aurantimonadaceae	Aurantimonas	Aurantimonas sp. USBA 369
0	gi|643655116|ref|YP_009037194.1|	392	1180882852	WP_084327425	476	29.11	108	132	1e-30	552063	ATP-binding protein [Salinarimonas rosea]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Salinarimonas	Salinarimonas rosea
0	gi|643655116|ref|YP_009037194.1|	392	1180540366	WP_084032723	438	28.76	107	131	2e-30	935840	ATP-binding protein [Chelativorans sp. J32]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Chelativorans	Chelativorans sp. J32
0	gi|643655116|ref|YP_009037194.1|	392	1174957754	WP_081630973	406	30.74	95	130	2e-30	401562	ATP-binding protein [Aureimonas ureilytica]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Aurantimonadaceae	Aureimonas	Aureimonas ureilytica
0	gi|643655116|ref|YP_009037194.1|	392	1120190094	WP_073058284	441	32.31	105	130	2e-30	446684	ATP-binding protein [Kaistia soli]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Kaistia	Kaistia soli
0	gi|643655116|ref|YP_009037194.1|	392	948038223	WP_056697390	418	31.65	100	130	3e-30	414371	MULTISPECIES: ATP-binding protein [Aureimonas]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Aurantimonadaceae	Aureimonas	
0	gi|643655116|ref|YP_009037194.1|	392	946921786	WP_055844374	438	30.97	96	130	3e-30	1736378	ATP-binding protein [Aurantimonas sp. Leaf443]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Aurantimonadaceae	Aurantimonas	Aurantimonas sp. Leaf443
0	gi|643655116|ref|YP_009037194.1|	392	920137227	WP_052954708	385	30.88	105	130	3e-30	1225564	ATP-binding protein [Microvirga vignae]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Microvirga	Microvirga vignae
0	gi|643655116|ref|YP_009037194.1|	392	917349245	WP_051955957	769	31	93	133	3e-30	231434	hypothetical protein [Beijerinckia mobilis]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Beijerinckia	Beijerinckia mobilis
0	gi|643655116|ref|YP_009037194.1|	392	1175192341	WP_081740254	456	31.31	98	130	3e-30	1429916	ATP-binding protein [Afipia sp. P52-10]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Afipia	Afipia sp. P52-10
0	gi|643655116|ref|YP_009037194.1|	392	1176678372	WP_082505352	430	31.53	99	129	6e-30	1736336	ATP-binding protein [Aureimonas sp. Leaf324]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Aurantimonadaceae	Aureimonas	Aureimonas sp. Leaf324
0	gi|643655116|ref|YP_009037194.1|	392	1179941478	WP_083463833	444	29.43	108	129	8e-30	665126	ATP-binding protein [Prosthecomicrobium hirschii]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Prosthecomicrobium	Prosthecomicrobium hirschii
0	gi|643655116|ref|YP_009037194.1|	392	764539067	WP_044412242	423	29	107	129	9e-30	1076	ATP-binding protein [Rhodopseudomonas palustris]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Rhodopseudomonas	Rhodopseudomonas palustris
0	gi|643655116|ref|YP_009037194.1|	392	1177328133	WP_082653327	430	32.15	100	128	1e-29	1638162	ATP-binding protein [Aureimonas sp. AU22]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Aurantimonadaceae	Aureimonas	Aureimonas sp. AU22
0	gi|643655116|ref|YP_009037194.1|	392	1222915454	WP_090958238	430	31.96	101	128	2e-29	1166078	ATP-binding protein [Aureimonas phyllosphaerae]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Aurantimonadaceae	Aurantimonas	Aureimonas phyllosphaerae
0	gi|643655116|ref|YP_009037194.1|	392	494127688	WP_007067460	448	31.43	99	128	2e-29	217511	ATP-binding protein [Fulvimarina pelagi]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Aurantimonadaceae	Fulvimarina	Fulvimarina pelagi
0	gi|643655116|ref|YP_009037194.1|	392	655018668	WP_028467626	422	28.42	106	128	2e-29	390877	ATP-binding protein [Nisaea denitrificans]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Nisaea	Nisaea denitrificans
