qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|327198315|ref|YP_004306889.1|	173	951365403	WP_057741785	174	80.23	138	291	3e-97	480931	preQ(1) synthase [Lactobacillus capillatus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus capillatus
0	gi|327198315|ref|YP_004306889.1|	173	951511133	WP_057876718	174	80.95	136	286	2e-95	392566	preQ(1) synthase [Lactobacillus aquaticus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus aquaticus
0	gi|327198315|ref|YP_004306889.1|	173	951502770	WP_057869210	175	81.55	137	286	2e-95	468911	preQ(1) synthase [Lactobacillus hordei]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus hordei
0	gi|327198315|ref|YP_004306889.1|	173	951361137	WP_057737734	174	80.95	136	285	5e-95	303240	preQ(1) synthase [Lactobacillus uvarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus uvarum
0	gi|327198315|ref|YP_004306889.1|	173	489787606	WP_003691497	175	78.57	132	278	4e-92	1618	preQ(1) synthase [Lactobacillus mali]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus mali
0	gi|327198315|ref|YP_004306889.1|	173	736992712	WP_034988701	174	79.17	133	274	1e-90	519050	preQ(1) synthase [Lactobacillus sucicola]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus sucicola
0	gi|327198315|ref|YP_004306889.1|	173	938977700	WP_054755718	177	70.06	124	259	1e-84	259059	preQ(1) synthase [Lactobacillus satsumensis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus satsumensis
0	gi|327198315|ref|YP_004306889.1|	173	498265742	WP_010579898	176	71.01	120	253	1e-82	238015	preQ(1) synthase [Lactobacillus vini]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus vini
0	gi|327198315|ref|YP_004306889.1|	173	736998765	WP_034994653	176	70.41	119	251	1e-81	238015	preQ(1) synthase [Lactobacillus vini]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus vini
0	gi|327198315|ref|YP_004306889.1|	173	1120295634	WP_073161466	170	73.24	104	223	2e-70	832	MULTISPECIES: NADPH-dependent 7-cyano-7-deazaguanine reductase QueF [Fibrobacter]	Bacteria	Fibrobacteres	Fibrobacteria	Fibrobacterales	Fibrobacteraceae	Fibrobacter	
0	gi|327198315|ref|YP_004306889.1|	173	1120366631	WP_073230701	167	73.05	103	221	5e-70	1896209	NADPH-dependent 7-cyano-7-deazaguanine reductase QueF [Fibrobacter sp. UWEL]	Bacteria	Fibrobacteres	Fibrobacteria	Fibrobacterales	Fibrobacteraceae	Fibrobacter	Fibrobacter sp. UWEL
0	gi|327198315|ref|YP_004306889.1|	173	763043542	WP_043927401	165	74.82	104	219	3e-69	1925021	NADPH-dependent 7-cyano-7-deazaguanine reductase QueF [Bacillus haynesii]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus haynesii
0	gi|327198315|ref|YP_004306889.1|	173	745780023	WP_039073756	165	69.54	105	219	4e-69	1071061	NADPH-dependent 7-cyano-7-deazaguanine reductase QueF [Bacillus sp. MSP13]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. MSP13
0	gi|327198315|ref|YP_004306889.1|	173	493688370	WP_006638440	165	74.82	104	218	6e-69	119858	NADPH-dependent 7-cyano-7-deazaguanine reductase QueF [Bacillus sonorensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sonorensis
0	gi|327198315|ref|YP_004306889.1|	173	498014382	WP_010328538	165	74.82	104	218	1e-68	72361	NADPH-dependent 7-cyano-7-deazaguanine reductase QueF [Bacillus vallismortis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus vallismortis
