qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|593775937|ref|YP_009013793.1|	660	1125681090	WP_075042107	643	28.79	167	206	1e-53	94625	hypothetical protein [Ochrobactrum intermedium]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Ochrobactrum	Ochrobactrum intermedium
0	gi|593775937|ref|YP_009013793.1|	660	1224812929	WP_092829996	632	29.6	169	197	8e-51	1380357	hypothetical protein [Rhodospirillales bacterium URHD0017]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales			Rhodospirillales bacterium URHD0017
0	gi|593775937|ref|YP_009013793.1|	660	1049014820	WP_065815631	626	28.45	161	195	4e-50	204799	hypothetical protein [Nitratireductor aquibiodomus]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Nitratireductor	Nitratireductor aquibiodomus
0	gi|593775937|ref|YP_009013793.1|	660	981934257	WP_060116547	627	28.21	165	177	4e-44	101571	hypothetical protein [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|593775937|ref|YP_009013793.1|	660	955298547	WP_058099420	677	24.88	150	159	5e-38	1745182	hypothetical protein [Paracoccus sp. MKU1]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Paracoccus sp. MKU1
0	gi|593775937|ref|YP_009013793.1|	660	737289819	WP_035272967	649	24.79	151	152	1e-35	511	hypothetical protein [Alcaligenes faecalis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Alcaligenes	Alcaligenes faecalis
0	gi|593775937|ref|YP_009013793.1|	660	522188005	WP_020696553	651	28.2	163	151	2e-35	445220	hypothetical protein [Reyranella massiliensis]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales		Reyranella	Reyranella massiliensis
0	gi|593775937|ref|YP_009013793.1|	660	517501038	WP_018671615	567	23.42	122	103	1e-19	1465	hypothetical protein [Brevibacillus laterosporus]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus laterosporus
0	gi|593775937|ref|YP_009013793.1|	660	1133940506	WP_076313000	568	23.94	124	100	2e-18	44249	MULTISPECIES: hypothetical protein [Paenibacillus]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	
0	gi|593775937|ref|YP_009013793.1|	660	1219265543	WP_089282350	572	23.26	130	85.9	4e-14	312168	hypothetical protein [Anaerovirgula multivorans]	Bacteria	Firmicutes	Clostridia	Clostridiales		Anaerovirgula	Anaerovirgula multivorans
0	gi|593775937|ref|YP_009013793.1|	660	1124298616	WP_074592634	269	30.32	57	80.1	4e-13	1516	hypothetical protein [Thermoanaerobacter thermohydrosulfuricus]	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Thermoanaerobacter	Thermoanaerobacter thermohydrosulfuricus
