qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|593774714|ref|YP_009012582.1|	541	1020132761	WP_063256607	527	30.62	154	185	8e-48	1776083	hypothetical protein [Microbacterium sp. T32]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium sp. T32
0	gi|593774714|ref|YP_009012582.1|	541	1175164511	WP_081712432	405	34.43	115	176	2e-45	89053	hypothetical protein [Gordonia amicalis]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Gordoniaceae	Gordonia	Gordonia amicalis
0	gi|593774714|ref|YP_009012582.1|	541	1180485414	WP_083990497	515	31.05	145	165	8e-41	33883	hypothetical protein [Microbacterium arborescens]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium arborescens
0	gi|593774715|ref|YP_009012583.1|	742	503349374	WP_013584035	750	30.46	212	245	2e-66	2033	histone acetyltransferase HPA2 [Microbacterium testaceum]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium testaceum
0	gi|593774715|ref|YP_009012583.1|	742	1056834826	WP_068254063	725	26.28	185	176	3e-43	33888	hypothetical protein [Rathayibacter tritici]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Rathayibacter	Rathayibacter tritici
0	gi|593774715|ref|YP_009012583.1|	742	947164953	WP_055936030	580	27.56	172	147	6e-34	1736288	hypothetical protein [Microbacterium sp. Leaf179]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium sp. Leaf179
0	gi|593774715|ref|YP_009012583.1|	742	551258037	WP_022878272	683	23.99	172	145	1e-32	96765	hypothetical protein [Microbacterium sp. B19]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium sp. B19
0	gi|593774715|ref|YP_009012583.1|	742	1134250462	WP_076491345	616	25.2	159	129	6e-28	1907391	hypothetical protein [Microbacterium sp. RURRCA19A]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium sp. RURRCA19A
0	gi|593774715|ref|YP_009012583.1|	742	1183610208	WP_084846524	646	25	175	129	1e-27	43767	hypothetical protein [Rhodococcus hoagii]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus hoagii
0	gi|593774715|ref|YP_009012583.1|	742	1183737335	WP_084962025	646	25.21	176	129	1e-27	43767	hypothetical protein [Rhodococcus hoagii]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus hoagii
0	gi|593774715|ref|YP_009012583.1|	742	1110709373	WP_071935257	697	23.1	167	119	2e-24	1570939	hypothetical protein [Rhodococcus sp. 2G]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus sp. 2G
