qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|593779738|ref|YP_009017566.1|	384	750360721	WP_040642638	384	86.72	333	712	0	248452	site-specific integrase [Psychrobacter aquaticus]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter	Psychrobacter aquaticus
0	gi|593779738|ref|YP_009017566.1|	384	1205108506	WP_087814147	384	86.2	331	709	0	282669	site-specific integrase [Psychrobacter cibarius]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter	Psychrobacter cibarius
0	gi|593779738|ref|YP_009017566.1|	384	1125786262	WP_075101701	384	82.03	315	677	0	1926479	site-specific integrase [Psychrobacter sp. Rd 27.2]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter	Psychrobacter sp. Rd 27.2
0	gi|593779738|ref|YP_009017566.1|	384	1240306218	WP_095568814	384	81.77	314	667	0	2024406	site-specific integrase [Psychrobacter sp. JB193]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter	Psychrobacter sp. JB193
0	gi|593779738|ref|YP_009017566.1|	384	655475330	WP_028858163	380	73.68	280	603	0	29432	site-specific integrase [Psychrobacter phenylpyruvicus]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter	Psychrobacter phenylpyruvicus
0	gi|593779738|ref|YP_009017566.1|	384	1148711594	WP_077448548	380	73.42	279	602	0	1945520	site-specific integrase [Psychrobacter pasteurii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter	Psychrobacter pasteurii
0	gi|593779738|ref|YP_009017566.1|	384	497271650	WP_009585867	383	69.19	265	563	0	469	MULTISPECIES: site-specific integrase [Acinetobacter]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	
0	gi|593779738|ref|YP_009017566.1|	384	1004348023	WP_061525520	382	66.15	254	556	0	52133	site-specific integrase [Acinetobacter venetianus]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter venetianus
0	gi|593779738|ref|YP_009017566.1|	384	1228054763	WP_094148291	385	65.8	252	549	0	40214	site-specific integrase [Acinetobacter johnsonii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter johnsonii
0	gi|593779738|ref|YP_009017566.1|	384	1268164463	WP_098713704	383	65.36	251	541	0	470	site-specific integrase [Acinetobacter baumannii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii
0	gi|593779738|ref|YP_009017566.1|	384	446685815	WP_000763161	383	65.1	250	539	0	470	site-specific integrase [Acinetobacter baumannii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii
0	gi|593779738|ref|YP_009017566.1|	384	446685814	WP_000763160	383	65.1	250	538	0	470	site-specific integrase [Acinetobacter baumannii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii
0	gi|593779738|ref|YP_009017566.1|	384	1254146568	WP_097078419	382	63.02	242	536	0	1096779	site-specific integrase [Acinetobacter puyangensis]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter puyangensis
0	gi|593779738|ref|YP_009017566.1|	384	1134316374	WP_076556278	383	64.51	249	529	0	34061	site-specific integrase [Moraxella cuniculi]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxella	Moraxella cuniculi
0	gi|593779738|ref|YP_009017566.1|	384	518676752	WP_019838445	382	62.5	240	520	0	1209355	site-specific integrase [Acinetobacter sp. MDS7A]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter sp. MDS7A
0	gi|593779738|ref|YP_009017566.1|	384	1011648777	WP_062498684	383	63.21	244	519	2e-180	477	site-specific integrase [Moraxella lacunata]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxella	Moraxella lacunata
0	gi|593779738|ref|YP_009017566.1|	384	1196804222	WP_086261805	386	63.14	245	519	2e-180	470	site-specific integrase [Acinetobacter baumannii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii
0	gi|593779738|ref|YP_009017566.1|	384	728813642	WP_033919919	386	63.14	245	518	8e-180	909768	MULTISPECIES: site-specific integrase [Acinetobacter calcoaceticus/baumannii complex]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	
0	gi|593779738|ref|YP_009017566.1|	384	1231423925	WP_094327908	386	62.89	244	518	9e-180	470	site-specific integrase [Acinetobacter baumannii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii
0	gi|593779738|ref|YP_009017566.1|	384	490973948	WP_004835739	386	62.89	244	517	1e-179	470	site-specific integrase [Acinetobacter baumannii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii
0	gi|593779738|ref|YP_009017566.1|	384	691115518	WP_032035948	386	62.89	244	516	3e-179	470	site-specific integrase [Acinetobacter baumannii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii
