qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|589890554|ref|YP_009006410.1|	205	914019030	WP_050501589	176	36.41	67	117	9e-29	666	hypothetical protein [Vibrio cholerae]	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio cholerae
0	gi|589890554|ref|YP_009006410.1|	205	939110862	WP_054824898	175	36.57	64	109	4e-26	696485	hypothetical protein [Vibrio owensii]	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio owensii
0	gi|589890554|ref|YP_009006410.1|	205	917534725	WP_052141142	171	36.72	65	101	6e-23	645	hypothetical protein [Aeromonas salmonicida]	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas salmonicida
0	gi|589890554|ref|YP_009006410.1|	205	1033020226	WP_064336406	171	35.03	62	100	1e-22	654	hypothetical protein [Aeromonas veronii]	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas veronii
0	gi|589890554|ref|YP_009006410.1|	205	754588419	WP_041979954	171	34.83	62	100	2e-22	654	hypothetical protein [Aeromonas veronii]	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas veronii
0	gi|589890554|ref|YP_009006410.1|	205	757633148	WP_042872956	171	35.59	63	99.8	3e-22	600645	hypothetical protein [Aeromonas piscicola]	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas piscicola
0	gi|589890554|ref|YP_009006410.1|	205	754646555	WP_042031465	171	35.39	63	98.2	1e-21	650	hypothetical protein [Aeromonas jandaei]	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas jandaei
0	gi|589890554|ref|YP_009006410.1|	205	1333392395	WP_102953371	176	30.77	56	94.4	3e-20	685	hypothetical protein [Vibrio diazotrophicus]	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio diazotrophicus
0	gi|589890554|ref|YP_009006410.1|	205	670461844	WP_031410635	173	29.21	52	94	4e-20	670	hypothetical protein [Vibrio parahaemolyticus]	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio parahaemolyticus
0	gi|589890554|ref|YP_009006410.1|	205	780281629	WP_045545287	173	29.21	52	92	2e-19	1620394	hypothetical protein [Vibrio sp. S512-13]	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio sp. S512-13
0	gi|589890554|ref|YP_009006410.1|	205	446421655	WP_000499510	177	35.91	65	92	2e-19	470	hypothetical protein [Acinetobacter baumannii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii
0	gi|589890554|ref|YP_009006410.1|	205	446421654	WP_000499509	177	35.91	65	92	2e-19	470	hypothetical protein [Acinetobacter baumannii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii
0	gi|589890554|ref|YP_009006410.1|	205	489206419	WP_003115423	177	35.91	65	92	2e-19	470	hypothetical protein [Acinetobacter baumannii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii
0	gi|589890554|ref|YP_009006410.1|	205	1231896111	WP_094444317	176	31.49	57	90.1	1e-18	2012679	hypothetical protein [Janthinobacterium sp. PC23-8]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Janthinobacterium	Janthinobacterium sp. PC23-8
0	gi|589890554|ref|YP_009006410.1|	205	752537293	WP_041208806	172	33.14	58	86.3	3e-17	650	hypothetical protein [Aeromonas jandaei]	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas jandaei
0	gi|589890554|ref|YP_009006410.1|	205	734952297	WP_034151922	175	31.35	58	80.9	2e-15	294	hypothetical protein [Pseudomonas fluorescens]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas fluorescens
0	gi|589890554|ref|YP_009006410.1|	205	915860533	WP_050915416	174	33.7	61	79.3	7e-15	630	hypothetical protein [Yersinia enterocolitica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia enterocolitica
0	gi|589890554|ref|YP_009006410.1|	205	814583461	WP_046382673	173	35.33	65	77	4e-14	76761	hypothetical protein [Pseudomonas veronii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas veronii
