qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|461474958|ref|YP_007518383.1|	252	506607417	WP_016071116	252	100	252	488	3e-172	1061	hypothetical protein [Rhodobacter capsulatus]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	Rhodobacter capsulatus
0	gi|461474958|ref|YP_007518383.1|	252	565834029	WP_023917623	252	92.86	234	385	8e-132	1061	hypothetical protein [Rhodobacter capsulatus]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	Rhodobacter capsulatus
0	gi|461474958|ref|YP_007518383.1|	252	1134243153	WP_076484686	252	69.32	174	267	2e-85	453582	hypothetical protein [Rhodobacter aestuarii]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	Rhodobacter aestuarii
0	gi|461474958|ref|YP_007518383.1|	252	1254150790	WP_097082577	256	67.84	173	263	1e-83	570013	hypothetical protein [Rhodobacter sp. JA431]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	Rhodobacter sp. JA431
0	gi|461474958|ref|YP_007518383.1|	252	1178686656	WP_083195186	255	45.24	114	171	6e-48	1786003	hypothetical protein [Rhodobacter sp. CCB-MM2]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	Rhodobacter sp. CCB-MM2
0	gi|461474958|ref|YP_007518383.1|	252	1119981822	WP_072858347	240	43.24	96	152	8e-41	366533	hypothetical protein [Loktanella atrilutea]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Loktanella	Loktanella atrilutea
0	gi|461474958|ref|YP_007518383.1|	252	1199473096	WP_087211875	234	42.99	92	151	8e-41	245188	hypothetical protein [Loktanella vestfoldensis]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Loktanella	Loktanella vestfoldensis
0	gi|461474958|ref|YP_007518383.1|	252	935594334	WP_054463801	259	44.16	102	152	1e-40	1225647	hypothetical protein [Phaeobacter sp. 11ANDIMAR09]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Phaeobacter	Phaeobacter sp. 11ANDIMAR09
0	gi|461474958|ref|YP_007518383.1|	252	1123494878	WP_074219708	238	48.56	101	150	3e-40	1882821	hypothetical protein [Rhodovulum sp. ES.010]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodovulum	Rhodovulum sp. ES.010
0	gi|461474958|ref|YP_007518383.1|	252	1134286620	WP_076526972	232	42.27	93	145	2e-38	405559	hypothetical protein [Paracoccus saliphilus]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Paracoccus saliphilus
