qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|148727179|ref|YP_001285625.1|	350	743523640	WP_039040887	350	97.14	340	707	0	648	site-specific integrase [Aeromonas caviae]	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas caviae
0	gi|148727179|ref|YP_001285625.1|	350	516393202	WP_017782601	349	91.93	319	672	0	644	site-specific integrase [Aeromonas hydrophila]	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas hydrophila
0	gi|148727179|ref|YP_001285625.1|	350	759394783	WP_043119412	349	92.22	320	669	0	644	site-specific integrase [Aeromonas hydrophila]	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas hydrophila
0	gi|148727179|ref|YP_001285625.1|	350	983423100	WP_060587451	350	84.57	296	619	0	652	site-specific integrase [Aeromonas schubertii]	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas schubertii
0	gi|148727179|ref|YP_001285625.1|	350	895966440	WP_049045809	350	85.14	298	619	0	644	site-specific integrase [Aeromonas hydrophila]	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas hydrophila
0	gi|148727179|ref|YP_001285625.1|	350	1268689951	WP_098982233	356	84.75	300	618	0	2033032	site-specific integrase [Aeromonas sp. CA23]	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas sp. CA23
0	gi|148727179|ref|YP_001285625.1|	350	757650313	WP_042889267	350	84.57	296	618	0	196024	site-specific integrase [Aeromonas dhakensis]	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas dhakensis
0	gi|148727179|ref|YP_001285625.1|	350	973368973	WP_059112488	366	84.75	300	616	0	645	site-specific integrase [Aeromonas salmonicida]	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas salmonicida
0	gi|148727179|ref|YP_001285625.1|	350	752543008	WP_041214448	352	84.66	298	613	0	648	site-specific integrase [Aeromonas caviae]	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas caviae
0	gi|148727179|ref|YP_001285625.1|	350	1043560381	WP_065402219	352	86.3	296	612	0	600645	site-specific integrase [Aeromonas piscicola]	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas piscicola
0	gi|148727179|ref|YP_001285625.1|	350	491462591	WP_005320365	353	84.62	297	612	0	645	site-specific integrase [Aeromonas salmonicida]	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas salmonicida
0	gi|148727179|ref|YP_001285625.1|	350	1316629470	WP_101316865	352	82.91	291	607	0	646	site-specific integrase [Aeromonas sobria]	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas sobria
0	gi|148727179|ref|YP_001285625.1|	350	1240331154	WP_095591441	354	85.27	301	607	0	196024	site-specific integrase [Aeromonas dhakensis]	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas dhakensis
0	gi|148727179|ref|YP_001285625.1|	350	1333388047	WP_102949137	350	84.53	295	606	0	648	integrase [Aeromonas caviae]	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas caviae
0	gi|148727179|ref|YP_001285625.1|	350	756825982	WP_042643211	353	82.95	292	602	0	649	integrase [Aeromonas eucrenophila]	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas eucrenophila
0	gi|148727179|ref|YP_001285625.1|	350	1245816285	WP_096117873	353	82.95	292	602	0	645	site-specific integrase [Aeromonas salmonicida]	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas salmonicida
0	gi|148727179|ref|YP_001285625.1|	350	1189320612	WP_085736072	351	85.04	290	602	0	644	site-specific integrase [Aeromonas hydrophila]	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas hydrophila
0	gi|148727179|ref|YP_001285625.1|	350	1333388014	WP_102949104	350	81.45	281	581	0	648	integrase [Aeromonas caviae]	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas caviae
0	gi|148727179|ref|YP_001285625.1|	350	498358860	WP_010673016	350	81.16	280	578	0	648	site-specific integrase [Aeromonas caviae]	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas caviae
0	gi|148727179|ref|YP_001285625.1|	350	1045370151	WP_065475626	349	81.45	281	577	0	644	integrase [Aeromonas hydrophila]	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas hydrophila
0	gi|148727179|ref|YP_001285625.1|	350	1176254000	WP_082182198	370	80.87	279	576	0	654	site-specific integrase [Aeromonas veronii]	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas veronii
0	gi|148727179|ref|YP_001285625.1|	350	1234061483	WP_094696608	347	82.25	278	575	0	1983805	site-specific integrase [Aeromonas sp. A35_P]	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas sp. A35_P
0	gi|148727179|ref|YP_001285625.1|	350	983423070	WP_060587421	350	80.87	279	575	0	652	site-specific integrase [Aeromonas schubertii]	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas schubertii
0	gi|148727179|ref|YP_001285625.1|	350	640506884	WP_024943322	349	80.87	279	573	0	644	site-specific integrase [Aeromonas hydrophila]	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas hydrophila
0	gi|148727179|ref|YP_001285625.1|	350	914774859	WP_050717581	350	79.71	275	572	0	324617	integrase [Aeromonas tecta]	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas tecta
0	gi|148727179|ref|YP_001285625.1|	350	1293253590	WP_100644923	350	80.29	277	569	0	654	integrase [Aeromonas veronii]	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas veronii
0	gi|148727179|ref|YP_001285625.1|	350	759439675	WP_043161906	350	80	276	569	0	644	site-specific integrase [Aeromonas hydrophila]	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas hydrophila
0	gi|148727179|ref|YP_001285625.1|	350	1043560363	WP_065402201	350	79.71	275	565	0	600645	site-specific integrase [Aeromonas piscicola]	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas piscicola
0	gi|148727179|ref|YP_001285625.1|	350	766626117	WP_044801234	346	78.49	270	561	0	644	site-specific integrase [Aeromonas hydrophila]	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas hydrophila
0	gi|148727179|ref|YP_001285625.1|	350	518275175	WP_019445383	348	60.92	212	429	4e-146	1216961	site-specific integrase [Aeromonas sp. 159]	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas sp. 159
0	gi|148727179|ref|YP_001285625.1|	350	753787431	WP_041543074	333	60.95	206	419	3e-142	511062	site-specific integrase [Oceanimonas sp. GK1]	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Oceanimonas	Oceanimonas sp. GK1
0	gi|148727179|ref|YP_001285625.1|	350	515980617	WP_017411200	348	59.25	205	416	7e-141	644	site-specific integrase [Aeromonas hydrophila]	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas hydrophila
0	gi|148727179|ref|YP_001285625.1|	350	518776717	WP_019934006	333	60.36	204	415	1e-140	264574	site-specific integrase [Oceanimonas smirnovii]	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Oceanimonas	Oceanimonas smirnovii
0	gi|148727179|ref|YP_001285625.1|	350	516388994	WP_017778670	351	60.69	210	415	1e-140	644	integrase [Aeromonas hydrophila]	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas hydrophila
0	gi|148727179|ref|YP_001285625.1|	350	953969399	WP_058056141	349	58.64	207	414	3e-140	654	site-specific integrase [Aeromonas veronii]	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas veronii
